,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1753823717,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,
1,1753823722,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,
2,1753823727,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,
3,1753823732,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,
4,1753823737,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,
5,1753823742,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,0.01078719517609127
6,1753823747,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,0.013904016852678574
7,1753823752,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,0.017020838529265878
8,1753823757,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,0.009914241753154758
9,1753823762,1.0,0.0,0.0,0.0,1.0,1.182484,1.528472,14.0,-213.0,0.011408813595927648
10,1753823767,1.0,0.0,1.0,0.0,1.0,0.698941,0.007702,14.0,-192.0,0.012903385438700538
11,1753823772,1.0,0.0,1.0,0.0,1.0,0.698941,0.007702,14.0,-192.0,0.010967061694631611
12,1753823777,1.0,0.0,1.0,0.0,1.0,0.698941,0.007702,14.0,-192.0,0.01209279935262254
13,1753823782,1.0,0.0,1.0,0.0,1.0,0.698941,0.007702,14.0,-192.0,0.013218537010613467
14,1753823787,1.0,0.0,1.0,0.0,1.0,0.698941,0.007702,14.0,-192.0,0.0034656283230124463
