,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753811454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753811459,0.0,0.0,0.0,13.0,0.0,0.0,0.0,70.0,-211.0,0.0012287476609563253
2,1753811464,5.0,0.0,5.0,13.0,5.0,22.492406,31.786784,70.0,257.0,0.006817787167667837
3,1753811469,5.0,0.0,5.0,13.0,5.0,22.492406,31.786784,70.0,257.0,0.013329859932411306
4,1753811474,5.0,0.0,5.0,13.0,5.0,22.492406,31.786784,70.0,257.0,0.015275158837041121
5,1753811479,5.0,0.0,5.0,13.0,5.0,22.492406,31.786784,70.0,257.0,0.025733943748101805
6,1753811484,5.0,0.0,5.0,13.0,5.0,22.492406,31.786784,70.0,257.0,0.043079382465334465
7,1753811489,5.0,0.0,5.0,0.0,5.0,22.492406,31.786784,70.0,257.0,0.05403722909660015
8,1753811494,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.0876478764204737
9,1753811499,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.1062162257177796
10,1753811504,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.14288321133693657
11,1753811509,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.1956628214524889
12,1753811514,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.21598823464918093
13,1753811519,5.0,0.0,5.0,0.0,5.0,40.874202,6.300139,70.0,282.0,0.2360927173141976
14,1753811524,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.3075326422217819
15,1753811529,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.3365443855655134
16,1753811534,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.3654673437631125
17,1753811539,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.35839516929063936
18,1753811544,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.396019277263398
19,1753811549,5.0,0.0,5.0,0.0,5.0,34.898208,22.08127,70.0,266.0,0.38487702147513897
20,1753811554,5.0,0.0,5.0,0.0,5.0,17.823365,15.62538,70.0,273.0,0.4077309302860888
21,1753811559,5.0,0.0,5.0,0.0,5.0,17.823365,15.62538,70.0,273.0,0.4088287116593165
