,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753837957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753837962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753837967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753837972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.004521368919321364
4,1753837977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.012027564713681434
5,1753837982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.016045544165598415
6,1753837987,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.018729269948511682
7,1753837992,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.025759796685293258
8,1753837997,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.04078748948636945
9,1753838002,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.06768220943179769
10,1753838007,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.09856466678953085
11,1753838012,5.0,0.0,5.0,0.0,5.0,51.813154,152.937298,70.0,136.0,0.10863579487666462
12,1753838017,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.13193950264391419
13,1753838022,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.1730281610333498
14,1753838027,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.1965465351570792
15,1753838032,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.22481035209550768
16,1753838037,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.2443159743678123
17,1753838042,5.0,0.0,5.0,0.0,5.0,51.927052,6.981211,70.0,282.0,0.25011779863415046
18,1753838047,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.2766829812035169
19,1753838052,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.2929196627537227
20,1753838057,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.3029294319218818
21,1753838062,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.3283614025126175
22,1753838067,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.3375789869615539
23,1753838072,5.0,0.0,5.0,0.0,5.0,26.743672,12.084657,70.0,276.0,0.3311437604894546
24,1753838077,5.0,0.0,5.0,0.0,5.0,68.070403,335.684221,70.0,-47.0,0.3206139932843572
25,1753838082,5.0,0.0,5.0,0.0,5.0,68.070403,335.684221,70.0,-47.0,0.3329974633349224
26,1753838087,5.0,0.0,5.0,0.0,5.0,68.070403,335.684221,70.0,-47.0,0.3379061953968284
27,1753838092,5.0,0.0,5.0,0.0,5.0,68.070403,335.684221,70.0,-47.0,0.3452226145007337
28,1753838097,5.0,0.0,5.0,0.0,5.0,68.070403,335.684221,70.0,-47.0,0.3640318528031083
