,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753838860,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1753838865,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1753838870,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1753838875,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
4,1753838880,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,0.011508662959660044
5,1753838885,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.022880500639950237
6,1753838890,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.028147402177398848
7,1753838895,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.024722777560459767
8,1753838900,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.025030951702286607
9,1753838905,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.028369394162888598
10,1753838910,5.0,0.0,5.0,0.0,5.0,3.082306,0.036918,70.0,288.0,0.031837603086142224
11,1753838915,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.035392229157849966
12,1753838920,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.03628848978295856
13,1753838925,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.033829547596351275
14,1753838930,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.03668924217495397
15,1753838935,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.03825374894041402
16,1753838940,5.0,0.0,5.0,0.0,5.0,1.261115,0.071026,70.0,288.0,0.04727285263716925
17,1753838945,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.05439035613896936
18,1753838950,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.05587842934032979
19,1753838955,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.058100895827395735
20,1753838960,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.05814831413848469
21,1753838965,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.057558421837088314
22,1753838970,5.0,0.0,5.0,0.0,5.0,0.084951,0.119336,70.0,288.0,0.05783677054926452
23,1753838975,5.0,0.0,5.0,0.0,5.0,0.113486,0.113577,70.0,288.0,0.0606470834553296
24,1753838980,5.0,0.0,5.0,0.0,5.0,0.113486,0.113577,70.0,288.0,0.058117562795494085
