,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753837127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753837132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753837137,0.0,0.0,0.0,0.04192829584484502,0.0,0.0,0.0,70.0,-211.0,
3,1753837142,0.0,0.0,0.0,0.04192829584484502,0.0,0.0,0.0,70.0,-211.0,
4,1753837147,1.0,0.0,1.0,0.04192829584484502,1.0,3.84273,0.033553,70.0,-112.0,0.0051078675742128946
5,1753837152,1.0,0.0,1.0,0.04192829584484502,1.0,3.84273,0.033553,70.0,-112.0,0.006414479268365818
6,1753837157,1.0,0.0,1.0,0.04192829584484502,1.0,3.84273,0.033553,70.0,-112.0,0.007721090962518741
7,1753837162,1.0,0.0,1.0,0.04192829584484502,1.0,3.84273,0.033553,70.0,-112.0,0.008715242195867143
8,1753837167,1.0,0.0,1.0,0.13274450606234361,1.0,3.84273,0.033553,70.0,-112.0,0.009975681106475245
9,1753837172,1.0,0.0,1.0,0.13274450606234361,1.0,3.84273,0.033553,70.0,-112.0,0.011236120017083347
10,1753837177,1.0,0.0,1.0,0.13274450606234361,1.0,1.437616,0.117332,70.0,-112.0,0.016906971369479995
11,1753837182,1.0,0.0,1.0,0.13274450606234361,1.0,1.437616,0.117332,70.0,-112.0,0.018618963687593682
12,1753837187,1.0,0.0,1.0,0.13274450606234361,1.0,1.437616,0.117332,70.0,-112.0,0.020330956005707366
13,1753837192,1.0,0.0,1.0,0.13274450606234361,1.0,1.437616,0.117332,70.0,-112.0,0.027316494052355724
14,1753837197,1.0,0.0,1.0,0.33931120624696676,1.0,1.437616,0.117332,70.0,-112.0,0.028973105810761932
15,1753837202,1.0,0.0,1.0,0.33931120624696676,1.0,1.437616,0.117332,70.0,-112.0,0.028973105810761932
16,1753837207,1.0,0.0,1.0,0.33931120624696676,1.0,0.214829,0.384465,70.0,-112.0,0.034986068903264625
17,1753837212,1.0,0.0,1.0,0.33931120624696676,1.0,0.214829,0.384465,70.0,-112.0,0.040043365169680954
18,1753837217,1.0,0.0,1.0,0.33931120624696676,1.0,0.214829,0.384465,70.0,-112.0,0.040043365169680954
19,1753837222,1.0,0.0,1.0,0.33931120624696676,1.0,0.214829,0.384465,70.0,-112.0,0.05131959653556232
20,1753837227,1.0,0.0,1.0,0.12119944474379646,1.0,0.214829,0.384465,70.0,-112.0,0.05131959653556232
21,1753837232,1.0,0.0,1.0,0.12119944474379646,1.0,0.214829,0.384465,70.0,-112.0,0.05131959653556232
22,1753837237,1.0,0.0,1.0,0.12119944474379646,1.0,0.318393,0.074324,70.0,-112.0,0.04201120090493008
23,1753837242,1.0,0.0,1.0,0.12119944474379646,1.0,0.318393,0.074324,70.0,-112.0,0.048572853747895835
24,1753837247,1.0,0.0,1.0,0.12119944474379646,1.0,0.318393,0.074324,70.0,-112.0,0.04538771407438314
25,1753837252,1.0,0.0,1.0,0.12119944474379646,1.0,0.318393,0.074324,70.0,-112.0,0.036172393744558114
26,1753837257,1.0,0.0,1.0,0.16671164532262833,1.0,0.318393,0.074324,70.0,-112.0,0.04313740748802786
27,1753837262,1.0,0.0,1.0,0.16671164532262833,1.0,0.318393,0.074324,70.0,-112.0,0.03500624582879843
28,1753837267,1.0,0.0,1.0,0.16671164532262833,1.0,0.214405,0.178776,70.0,-112.0,0.042629818500849924
29,1753837272,1.0,0.0,1.0,0.16671164532262833,1.0,0.214405,0.178776,70.0,-112.0,0.034372132520033495
30,1753837277,1.0,0.0,1.0,0.16671164532262833,1.0,0.214405,0.178776,70.0,-112.0,0.034372132520033495
31,1753837282,1.0,0.0,1.0,0.16671164532262833,1.0,0.214405,0.178776,70.0,-112.0,0.04071518830525272
32,1753837287,1.0,0.0,1.0,0.1614798157832767,1.0,0.214405,0.178776,70.0,-112.0,0.04071518830525272
33,1753837292,1.0,0.0,1.0,0.1614798157832767,1.0,0.214405,0.178776,70.0,-112.0,0.04071518830525272
34,1753837297,1.0,0.0,1.0,0.1614798157832767,1.0,0.169647,0.199595,70.0,-112.0,0.04242047138593963
35,1753837302,1.0,0.0,1.0,0.1614798157832767,1.0,0.169647,0.199595,70.0,-112.0,0.04242047138593963
36,1753837307,1.0,0.0,1.0,0.1614798157832767,1.0,0.169647,0.199595,70.0,-112.0,0.04379057783478003
37,1753837312,1.0,0.0,1.0,0.1614798157832767,1.0,0.169647,0.199595,70.0,-112.0,0.04379057783478003
38,1753837317,1.0,0.0,1.0,0.21882187116681515,1.0,0.169647,0.199595,70.0,-112.0,0.04379057783478003
39,1753837322,1.0,0.0,1.0,0.21882187116681515,1.0,0.169647,0.199595,70.0,-112.0,0.04379057783478003
40,1753837327,1.0,0.0,1.0,0.21882187116681515,1.0,0.213582,0.199175,70.0,-112.0,0.04429798792287427
41,1753837332,1.0,0.0,1.0,0.21882187116681515,1.0,0.213582,0.199175,70.0,-112.0,0.04429798792287427
42,1753837337,1.0,0.0,1.0,0.21882187116681515,1.0,0.213582,0.199175,70.0,-112.0,0.04429798792287426
43,1753837342,1.0,0.0,1.0,0.21882187116681515,1.0,0.213582,0.199175,70.0,-112.0,0.04644247382335186
44,1753837347,1.0,0.0,1.0,0.112973368023649,1.0,0.213582,0.199175,70.0,-112.0,0.04644247382335186
45,1753837352,1.0,0.0,1.0,0.112973368023649,1.0,0.213582,0.199175,70.0,-112.0,0.04644247382335186
46,1753837357,1.0,0.0,1.0,0.112973368023649,1.0,0.212439,0.181636,70.0,-112.0,0.04657691445229284
47,1753837362,1.0,0.0,1.0,0.112973368023649,1.0,0.212439,0.181636,70.0,-112.0,0.04590705261822333
