,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753839692,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1753839697,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1753839702,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1753839707,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
4,1753839712,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,0.00387477418425015
5,1753839717,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,0.008789949941978618
6,1753839722,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,0.011800468761935811
7,1753839727,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.015449028476137229
8,1753839732,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.021307498966994354
9,1753839737,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.02435787377536186
10,1753839742,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.031229560539180277
11,1753839747,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.03676415077544483
12,1753839752,5.0,0.0,5.0,0.0,5.0,3.108849,0.085029,70.0,288.0,0.042104425014399524
13,1753839757,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.04478752301093856
14,1753839762,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.056216008121900536
15,1753839767,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.05985600602077237
16,1753839772,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.06465294646284982
17,1753839777,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.06812044644358883
18,1753839782,5.0,0.0,5.0,0.0,5.0,1.505191,0.175387,70.0,288.0,0.07278507238519946
19,1753839787,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.07616177308345605
20,1753839792,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.07820339690803406
21,1753839797,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.07933015643727898
22,1753839802,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.07453089339152029
23,1753839807,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.08304233859359882
24,1753839812,5.0,0.0,5.0,0.0,5.0,0.22785,0.287547,70.0,288.0,0.08372299583649034
25,1753839817,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.08320450249459876
26,1753839822,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.07891154556135725
27,1753839827,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.08177979133428949
28,1753839832,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.07889725362426976
29,1753839837,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.08130937094032009
30,1753839842,5.0,0.0,5.0,0.0,5.0,0.266886,0.1977,70.0,288.0,0.08177040708168734
31,1753839847,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.07564819979742365
32,1753839852,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.08273817720706876
33,1753839857,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.08076957736053836
34,1753839862,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.082362846324976
35,1753839867,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.08630371053571075
36,1753839872,5.0,0.0,5.0,0.0,5.0,0.250161,0.289713,70.0,288.0,0.08483489367072627
37,1753839877,5.0,0.0,5.0,0.0,5.0,0.27739,0.192349,70.0,288.0,0.08189608934520727
