,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753839692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753839697,0.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,
2,1753839702,0.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,
3,1753839707,0.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,
4,1753839712,0.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.00820279874024303
5,1753839717,0.0,0.0,0.0,18.0,5.0,1.0,1.0,70.0,-212.0,0.012454823706250649
6,1753839722,0.0,0.0,0.0,18.0,5.0,1.0,1.0,70.0,-212.0,0.024106879565021336
7,1753839727,5.0,0.0,5.0,18.0,5.0,79.974212,116.30778,70.0,172.0,0.04899865785745326
8,1753839732,5.0,0.0,5.0,18.0,5.0,79.974212,116.30778,70.0,172.0,0.05637857243912443
9,1753839737,5.0,0.0,5.0,18.0,5.0,79.974212,116.30778,70.0,172.0,0.07084435543358318
10,1753839742,5.0,0.0,5.0,18.0,5.0,79.974212,116.30778,70.0,172.0,0.1034112291494234
11,1753839747,5.0,0.0,5.0,0.0,5.0,79.974212,116.30778,70.0,172.0,0.12562003735902827
12,1753839752,5.0,0.0,5.0,0.0,5.0,79.974212,116.30778,70.0,172.0,0.14952572954934548
13,1753839757,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.18623026662478764
14,1753839762,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.22077640465088055
15,1753839767,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.2505090801280498
16,1753839772,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.27069840677449447
17,1753839777,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.31849683122680505
18,1753839782,5.0,0.0,5.0,0.0,5.0,45.8445,12.540429,70.0,276.0,0.3345770492622039
