,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1753828715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753828720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753828725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753828730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753828735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
5,1753828740,0.0,0.0,0.0,150.42179239419318,0.0,0.0,0.0,70.0,-211.0,
6,1753828745,2.0,0.0,1.0,150.42179239419318,2.0,63.067955,108.974552,70.0,-220.0,
7,1753828750,2.0,0.0,1.0,150.42179239419318,2.0,63.067955,108.974552,70.0,-220.0,
8,1753828755,2.0,0.0,1.0,150.42179239419318,2.0,63.067955,108.974552,70.0,-220.0,
9,1753828760,2.0,0.0,1.0,150.42179239419318,2.0,63.067955,108.974552,70.0,-220.0,0.20924400296835471
10,1753828765,2.0,0.0,1.0,150.42179239419318,2.0,63.067955,108.974552,70.0,-220.0,0.2551222315918985
11,1753828770,2.0,0.0,1.0,1.947203598192438,2.0,63.067955,108.974552,70.0,-220.0,0.3010004602154423
12,1753828775,2.0,0.0,1.0,1.947203598192438,2.0,33.902068,12.859088,70.0,-124.0,0.4284687641777694
13,1753828780,2.0,0.0,1.0,1.947203598192438,2.0,33.902068,12.859088,70.0,-124.0,0.4851590671352539
14,1753828785,2.0,0.0,1.0,1.947203598192438,2.0,33.902068,12.859088,70.0,-124.0,0.5418493700927384
15,1753828790,2.0,0.0,1.0,1.947203598192438,2.0,33.902068,12.859088,70.0,-124.0,0.5985396730502229
16,1753828795,2.0,0.0,1.0,1.947203598192438,2.0,33.902068,12.859088,70.0,-124.0,0.6552299760077073
17,1753828800,2.0,0.0,1.0,396.7361691539832,2.0,33.902068,12.859088,70.0,-124.0,0.5487682583333332
18,1753828805,5.0,0.0,3.0,396.7361691539832,5.0,81.816005,287.164974,70.0,-199.0,0.5292942733574825
19,1753828810,5.0,0.0,3.0,396.7361691539832,5.0,81.816005,287.164974,70.0,-199.0,0.46102114261973237
20,1753828815,5.0,0.0,3.0,396.7361691539832,5.0,81.816005,287.164974,70.0,-199.0,0.4557070967481356
21,1753828820,5.0,0.0,3.0,396.7361691539832,5.0,81.816005,287.164974,70.0,-199.0,0.18409353852352087
22,1753828825,5.0,0.0,3.0,396.7361691539832,5.0,81.816005,287.164974,70.0,-199.0,0.19574736909828166
23,1753828830,5.0,0.0,3.0,1.7882370346997254,5.0,81.816005,287.164974,70.0,-199.0,0.3024959989015593
24,1753828835,5.0,0.0,2.0,1.7882370346997254,5.0,79.819908,2.108381,70.0,-14.0,0.3493580525216148
25,1753828840,5.0,0.0,2.0,1.7882370346997254,5.0,79.819908,2.108381,70.0,-14.0,0.4300415889012113
