,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753825339,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1753825344,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1753825349,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,
3,1753825354,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.015737946948964483
4,1753825359,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.024414808847453916
5,1753825364,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.028150527682535845
6,1753825369,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.0329151466301278
7,1753825374,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.03625082879275966
8,1753825379,5.0,0.0,5.0,0.0,5.0,7.629702,0.058859,70.0,288.0,0.03993105659016219
9,1753825384,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.04456521666816881
10,1753825389,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.04681888862320652
11,1753825394,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.050582961667912936
12,1753825399,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.045600000795381214
13,1753825404,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.04517520747924227
14,1753825409,5.0,0.0,5.0,0.0,5.0,2.594146,0.064576,70.0,288.0,0.045381944850913396
15,1753825414,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.04567054991520044
16,1753825419,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.04493112626350039
17,1753825424,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.04633337710012761
18,1753825429,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.046755970983819076
19,1753825434,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.04822132446662783
20,1753825439,5.0,0.0,5.0,0.0,5.0,0.071168,0.059755,70.0,288.0,0.05000019131586431
21,1753825444,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.05303230349513936
22,1753825449,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.05507063659098385
23,1753825454,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.05318539968710612
24,1753825459,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.05493998483992941
25,1753825464,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.054735409475977104
26,1753825469,5.0,0.0,5.0,0.0,5.0,0.084573,0.093809,70.0,288.0,0.06042160177389436
27,1753825474,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.061591918721344535
28,1753825479,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.0611731954461059
29,1753825484,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.06057697459019609
30,1753825489,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.060348465931672785
31,1753825494,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.06022286129350683
32,1753825499,5.0,0.0,5.0,0.0,5.0,0.098469,0.112935,70.0,288.0,0.06153353524928969
33,1753825504,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.06047828304204084
34,1753825509,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.059110001227249145
35,1753825514,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.058509031743936915
36,1753825519,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.05809020095324752
37,1753825524,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.05631504550200377
38,1753825529,5.0,0.0,5.0,0.0,5.0,0.097123,0.091839,70.0,288.0,0.057160524225521134
39,1753825534,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.05680369857023601
40,1753825539,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.05339794907251799
41,1753825544,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.055115646766929746
42,1753825549,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.0551874315664341
43,1753825554,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.05645983594270258
44,1753825559,5.0,0.0,5.0,0.0,5.0,0.092849,0.098158,70.0,288.0,0.059462514450585896
45,1753825564,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.05906735860749025
46,1753825569,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.05554892123802986
47,1753825574,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.0574527685025715
48,1753825579,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.06016759315719046
49,1753825584,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.05818661851397031
50,1753825589,5.0,0.0,5.0,0.0,5.0,0.100423,0.107667,70.0,288.0,0.059994576770990765
51,1753825594,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.05955952271383393
52,1753825599,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.05636999326766898
53,1753825604,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.0586127313379876
54,1753825609,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.05466609368739416
55,1753825614,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.053185743065019025
56,1753825619,5.0,0.0,5.0,0.0,5.0,0.104227,0.098088,70.0,288.0,0.05806831128039177
57,1753825624,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.06070513730018384
58,1753825629,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.059529647230235516
59,1753825634,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.062213189033313694
60,1753825639,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.06326765017424871
61,1753825644,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.06351644269253816
62,1753825649,5.0,0.0,5.0,0.0,5.0,0.100247,0.109937,70.0,288.0,0.06290092281555984
63,1753825654,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.06276334364301563
64,1753825659,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.05841720942695624
65,1753825664,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.06271748733721857
66,1753825669,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.06262103490143381
67,1753825674,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.06296778507734915
68,1753825679,5.0,0.0,5.0,0.0,5.0,0.108444,0.107914,70.0,288.0,0.05795561931489295
69,1753825684,5.0,0.0,5.0,0.0,5.0,0.111269,0.128433,70.0,288.0,0.062316372792056866
70,1753825689,5.0,0.0,5.0,0.0,5.0,0.111269,0.128433,70.0,288.0,0.06027634640277913
