,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753892097,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753892102,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753892107,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753892112,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,0.001473873534549992
4,1753892117,5.0,0.0,5.0,,5.0,1.580657,0.04397,70.0,288.0,0.0052243100759388535
5,1753892122,5.0,0.0,5.0,,5.0,1.580657,0.04397,70.0,288.0,0.011755044862928308
6,1753892127,5.0,0.0,5.0,0.0,5.0,1.580657,0.04397,70.0,288.0,0.01839009616343773
7,1753892132,5.0,0.0,5.0,0.0,5.0,1.580657,0.04397,70.0,288.0,0.02211051658167378
8,1753892137,5.0,0.0,5.0,0.0,5.0,1.580657,0.04397,70.0,288.0,0.026846604785511475
9,1753892142,5.0,0.0,5.0,0.0,5.0,1.580657,0.04397,70.0,288.0,0.03328435906017181
10,1753892147,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.04716189243058867
11,1753892152,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.050555981497141834
12,1753892157,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.06558545594386832
13,1753892162,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.0731447063464811
14,1753892167,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.08686646765562071
15,1753892172,5.0,0.0,5.0,0.0,5.0,0.655231,0.353331,70.0,288.0,0.09861331066835298
16,1753892177,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.10089186547938468
17,1753892182,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.11565629933728566
18,1753892187,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.11416331213041521
19,1753892192,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.12311642954456331
20,1753892197,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.12104961135989178
21,1753892202,5.0,0.0,5.0,0.0,5.0,0.240336,0.333899,70.0,288.0,0.11716400513040579
22,1753892207,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.11322256840266917
23,1753892212,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.11328579805172527
24,1753892217,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.10753272080075085
25,1753892222,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.10340367122264595
26,1753892227,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.09995056614674594
27,1753892232,5.0,0.0,5.0,0.0,5.0,0.284152,0.252304,70.0,288.0,0.09796263305957592
28,1753892237,5.0,0.0,5.0,0.0,5.0,0.237242,0.212086,70.0,288.0,0.0928006348353328
