Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753920245,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920246,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920247,18,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920248,36,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920249,54,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920250,72,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920251,90,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920252,108,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920253,126,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753920254,144,,Aggregated,0.000000,0.000000,1300,2300,3300,4300,4300,5300,5300,5300,5300,5300,5300,61,0,1300.0,1851.569142452151,36.31385508924723,5292.157758958638,538.9016393442623
1753920255,162,,Aggregated,0.000000,0.000000,1300,2300,3300,4300,4300,5300,5300,5300,5300,5300,5300,61,0,1300.0,1851.569142452151,36.31385508924723,5292.157758958638,538.9016393442623
1753920256,180,,Aggregated,0.000000,0.000000,1300,2300,3300,4300,4300,5300,5300,5300,5300,5300,5300,61,0,1300.0,1851.569142452151,36.31385508924723,5292.157758958638,538.9016393442623
1753920257,198,,Aggregated,7.777778,0.000000,1300,3200,4300,5300,9200,10000,10000,10000,11000,11000,11000,119,0,1300.0,2640.5456483035405,6.355988793075085,10594.047627411783,410.0
1753920258,216,,Aggregated,7.777778,0.000000,1300,3200,4300,5300,9200,10000,10000,10000,11000,11000,11000,119,0,1300.0,2640.5456483035405,6.355988793075085,10594.047627411783,410.0
1753920259,234,,Aggregated,7.777778,0.000000,1300,3200,4300,5300,9200,10000,10000,10000,11000,11000,11000,119,0,1300.0,2640.5456483035405,6.355988793075085,10594.047627411783,410.0
1753920260,252,,Aggregated,27.100000,0.000000,1300,2900,4300,5300,8600,9600,11000,11000,11000,11000,11000,330,0,1300.0,2645.727112787691,6.355988793075085,10786.78927384317,213.46666666666667
1753920261,270,,Aggregated,27.100000,0.000000,1300,2900,4300,5300,8600,9600,11000,11000,11000,11000,11000,330,0,1300.0,2645.727112787691,6.355988793075085,10786.78927384317,213.46666666666667
1753920262,288,,Aggregated,27.100000,0.000000,1300,2900,4300,5300,8600,9600,11000,11000,11000,11000,11000,330,0,1300.0,2645.727112787691,6.355988793075085,10786.78927384317,213.46666666666667
1753920263,306,,Aggregated,41.200000,0.000000,53,120,1800,2300,5600,8600,10000,11000,11000,11000,11000,596,0,53,1483.567370769049,6.355988793075085,10786.78927384317,196.3020134228188
1753920264,324,,Aggregated,41.200000,0.000000,53,120,1800,2300,5600,8600,10000,11000,11000,11000,11000,596,0,53,1483.567370769049,6.355988793075085,10786.78927384317,196.3020134228188
1753920265,342,,Aggregated,41.200000,0.000000,53,120,1800,2300,5600,8600,10000,11000,11000,11000,11000,596,0,53,1483.567370769049,6.355988793075085,10786.78927384317,196.3020134228188
1753920266,360,,Aggregated,58.700000,0.000000,39,78,110,1300,4200,7800,9600,10000,11000,11000,11000,865,0,39,1034.057151983799,6.355988793075085,10786.78927384317,195.1387283236994
1753920267,378,,Aggregated,58.700000,0.000000,39,78,110,1300,4200,7800,9600,10000,11000,11000,11000,865,0,39,1034.057151983799,6.355988793075085,10786.78927384317,195.1387283236994
1753920268,396,,Aggregated,58.700000,0.000000,39,78,110,1300,4200,7800,9600,10000,11000,11000,11000,865,0,39,1034.057151983799,6.355988793075085,10786.78927384317,195.1387283236994
1753920269,414,,Aggregated,82.500000,0.000000,36,61,87,110,2800,6200,9200,10000,11000,11000,11000,1136,0,36,796.8418261136295,6.355988793075085,10786.78927384317,194.7262323943662
1753920270,432,,Aggregated,82.500000,0.000000,36,61,87,110,2800,6200,9200,10000,11000,11000,11000,1136,0,36,796.8418261136295,6.355988793075085,10786.78927384317,194.7262323943662
1753920271,450,,Aggregated,82.500000,0.000000,36,61,87,110,2800,6200,9200,10000,11000,11000,11000,1136,0,36,796.8418261136295,6.355988793075085,10786.78927384317,194.7262323943662
