,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1753912368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753912373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753912378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753912383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753912388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
5,1753912393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.013066397478374065
6,1753912398,1.0,0.0,1.0,0.0,1.0,11.602863,0.466311,70.0,-112.0,0.016520678573528177
7,1753912403,1.0,0.0,1.0,0.0,1.0,11.602863,0.466311,70.0,-112.0,0.019974959668682287
8,1753912408,1.0,0.0,1.0,0.39651665639396944,1.0,11.602863,0.466311,70.0,-112.0,0.02974662354998111
9,1753912413,1.0,0.0,1.0,0.39651665639396944,1.0,11.602863,0.466311,70.0,-112.0,0.034158461074356536
10,1753912418,1.0,0.0,1.0,0.39651665639396944,1.0,11.602863,0.466311,70.0,-112.0,0.03857029859873196
11,1753912423,1.0,0.0,1.0,0.39651665639396944,1.0,11.602863,0.466311,70.0,-112.0,0.042982136123107396
12,1753912428,1.0,0.0,1.0,0.39651665639396944,1.0,5.044956,0.326265,70.0,-112.0,0.05238470854335621
13,1753912433,1.0,0.0,1.0,0.39651665639396944,1.0,5.044956,0.326265,70.0,-112.0,0.05726748562798919
14,1753912438,1.0,0.0,1.0,4.033681511560669,1.0,5.044956,0.326265,70.0,-112.0,0.06424777384625732
15,1753912443,1.0,0.0,1.0,4.033681511560669,1.0,5.044956,0.326265,70.0,-112.0,0.26714742957196785
16,1753912448,1.0,0.0,1.0,4.033681511560669,1.0,5.044956,0.326265,70.0,-112.0,0.2916661904451009
17,1753912453,1.0,0.0,1.0,4.033681511560669,1.0,5.044956,0.326265,70.0,-112.0,0.33765882389761387
18,1753912458,1.0,0.0,1.0,4.033681511560669,1.0,1.605125,2.920896,70.0,-114.0,0.3716491234878341
19,1753912463,1.0,0.0,1.0,4.033681511560669,1.0,1.605125,2.920896,70.0,-114.0,0.605717000612293
20,1753912468,1.0,0.0,1.0,2.788081196331793,1.0,1.605125,2.920896,70.0,-114.0,0.6826300940921098
21,1753912473,1.0,0.0,1.0,2.788081196331793,1.0,1.605125,2.920896,70.0,-114.0,0.7533505851522522
22,1753912478,1.0,0.0,1.0,2.788081196331793,1.0,1.605125,2.920896,70.0,-114.0,0.8655597091127232
23,1753912483,1.0,0.0,1.0,2.788081196331793,1.0,1.605125,2.920896,70.0,-114.0,0.893991138801089
24,1753912488,1.0,0.0,1.0,2.788081196331793,1.0,2.743987,2.563483,70.0,-114.0,0.9994251631095876
25,1753912493,1.0,0.0,1.0,2.788081196331793,1.0,2.743987,2.563483,70.0,-114.0,0.9994251631095876
26,1753912498,1.0,0.0,1.0,2.9688280124882382,1.0,2.743987,2.563483,70.0,-114.0,0.9983872284701896
27,1753912503,1.0,0.0,1.0,2.9688280124882382,1.0,2.743987,2.563483,70.0,-114.0,0.826717309338439
28,1753912508,1.0,0.0,1.0,2.9688280124882382,1.0,2.743987,2.563483,70.0,-114.0,0.9979407855909418
29,1753912513,1.0,0.0,1.0,2.9688280124882382,1.0,2.743987,2.563483,70.0,-114.0,0.9979407855909418
30,1753912518,1.0,0.0,1.0,2.9688280124882382,1.0,2.795685,2.991366,70.0,-114.0,0.9979407855909418
31,1753912523,1.0,0.0,1.0,2.9688280124882382,1.0,2.795685,2.991366,70.0,-114.0,0.9972874235121184
32,1753912528,1.0,0.0,1.0,2.3329374297601344,1.0,2.795685,2.991366,70.0,-114.0,0.9980562953478446
33,1753912533,1.0,0.0,1.0,2.3329374297601344,1.0,2.795685,2.991366,70.0,-114.0,0.9980562953478446
34,1753912538,1.0,0.0,1.0,2.3329374297601344,1.0,2.795685,2.991366,70.0,-114.0,0.9990957111625515
35,1753912543,1.0,0.0,1.0,2.3329374297601344,1.0,2.795685,2.991366,70.0,-114.0,0.9989159885734072
36,1753912548,1.0,0.0,1.0,2.3329374297601344,1.0,2.753728,2.527834,70.0,-114.0,0.9989159885734072
37,1753912553,1.0,0.0,1.0,2.3329374297601344,1.0,2.753728,2.527834,70.0,-114.0,0.9995703827011602
38,1753912558,1.0,0.0,1.0,3.641942825356138,1.0,2.753728,2.527834,70.0,-114.0,0.9998039405827126
39,1753912563,1.0,0.0,1.0,3.641942825356138,1.0,2.753728,2.527834,70.0,-114.0,0.9998039405827126
40,1753912568,1.0,0.0,1.0,3.641942825356138,1.0,2.753728,2.527834,70.0,-114.0,0.694245875
41,1753912573,1.0,0.0,1.0,3.641942825356138,1.0,2.753728,2.527834,70.0,-114.0,0.9983824266127616
42,1753912578,1.0,0.0,1.0,3.641942825356138,1.0,2.863264,2.85275,70.0,-114.0,0.9983824266127616
43,1753912583,1.0,0.0,1.0,3.641942825356138,1.0,2.863264,2.85275,70.0,-114.0,0.9983824266127616
44,1753912588,1.0,0.0,1.0,2.913996109871093,1.0,2.863264,2.85275,70.0,-114.0,0.8287564098482857
45,1753912593,1.0,0.0,1.0,2.913996109871093,1.0,2.863264,2.85275,70.0,-114.0,0.9991642315742415
46,1753912598,1.0,0.0,1.0,2.913996109871093,1.0,2.863264,2.85275,70.0,-114.0,0.9991642315742415
47,1753912603,1.0,0.0,1.0,2.913996109871093,1.0,2.863264,2.85275,70.0,-114.0,0.9985537096469702
48,1753912608,1.0,0.0,1.0,2.913996109871093,1.0,2.891175,3.035263,70.0,-115.0,0.9985537096469702
49,1753912613,1.0,0.0,1.0,2.913996109871093,1.0,2.891175,3.035263,70.0,-115.0,0.8297476422188512
50,1753912618,1.0,0.0,1.0,4.100916176123482,1.0,2.891175,3.035263,70.0,-115.0,0.999217747860918
51,1753912623,1.0,0.0,1.0,4.100916176123482,1.0,2.891175,3.035263,70.0,-115.0,0.999217747860918
52,1753912628,1.0,0.0,1.0,4.100916176123482,1.0,2.891175,3.035263,70.0,-115.0,0.9993918387413964
53,1753912633,1.0,0.0,1.0,4.100916176123482,1.0,2.891175,3.035263,70.0,-115.0,0.8324557111254176
54,1753912638,1.0,0.0,1.0,4.100916176123482,1.0,2.919593,2.808945,70.0,-114.0,0.9987837186764505
55,1753912643,1.0,0.0,1.0,4.100916176123482,1.0,2.919593,2.808945,70.0,-114.0,0.8014434766605137
56,1753912648,1.0,0.0,1.0,2.8838282689458343,1.0,2.919593,2.808945,70.0,-114.0,0.9990830700016066
57,1753912653,1.0,0.0,1.0,2.8838282689458343,1.0,2.919593,2.808945,70.0,-114.0,0.9989231420424162
58,1753912658,1.0,0.0,1.0,2.8838282689458343,1.0,2.919593,2.808945,70.0,-114.0,0.9989231420424162
59,1753912663,1.0,0.0,1.0,2.8838282689458343,1.0,2.919593,2.808945,70.0,-114.0,0.9994746043044969
60,1753912668,1.0,0.0,1.0,2.8838282689458343,1.0,3.031535,3.120154,70.0,-115.0,0.9994746043044967
61,1753912673,1.0,0.0,1.0,2.8838282689458343,1.0,3.031535,3.120154,70.0,-115.0,0.9990430896702558
62,1753912678,1.0,0.0,1.0,3.223561931581755,1.0,3.031535,3.120154,70.0,-115.0,0.9990430896702558
63,1753912683,1.0,0.0,1.0,3.223561931581755,1.0,3.031535,3.120154,70.0,-115.0,0.9990430896702558
64,1753912688,1.0,0.0,1.0,3.223561931581755,1.0,3.031535,3.120154,70.0,-115.0,0.6903982750000005
65,1753912693,1.0,0.0,1.0,3.223561931581755,1.0,3.031535,3.120154,70.0,-115.0,0.999013416693287
66,1753912698,1.0,0.0,1.0,3.223561931581755,1.0,3.032529,3.532325,70.0,-115.0,0.999013416693287
67,1753912703,1.0,0.0,1.0,3.223561931581755,1.0,3.032529,3.532325,70.0,-115.0,0.999013416693287
68,1753912708,1.0,0.0,1.0,3.3450083258482453,1.0,3.032529,3.532325,70.0,-115.0,0.9984284645348711
69,1753912713,1.0,0.0,1.0,3.3450083258482453,1.0,3.032529,3.532325,70.0,-115.0,0.9984284645348711
70,1753912718,1.0,0.0,1.0,3.3450083258482453,1.0,3.032529,3.532325,70.0,-115.0,0.9984284645348711
71,1753912723,1.0,0.0,1.0,3.3450083258482453,1.0,3.032529,3.532325,70.0,-115.0,0.9998482835460072
72,1753912728,1.0,0.0,1.0,3.3450083258482453,1.0,3.624535,3.286108,70.0,-115.0,0.9998482835460072
73,1753912733,1.0,0.0,1.0,3.3450083258482453,1.0,3.624535,3.286108,70.0,-115.0,0.9999347708379798
74,1753912738,1.0,0.0,1.0,1.727807154353403,1.0,3.624535,3.286108,70.0,-115.0,0.9989688938605181
75,1753912743,1.0,0.0,1.0,1.727807154353403,1.0,3.624535,3.286108,70.0,-115.0,0.9989688938605181
76,1753912748,1.0,0.0,1.0,1.727807154353403,1.0,3.624535,3.286108,70.0,-115.0,0.9989688938605181
77,1753912753,1.0,0.0,1.0,1.727807154353403,1.0,3.624535,3.286108,70.0,-115.0,0.8294220634613021
78,1753912758,1.0,0.0,1.0,1.727807154353403,1.0,3.086383,1.925535,70.0,-113.0,1.0000660092615568
79,1753912763,1.0,0.0,1.0,1.727807154353403,1.0,3.086383,1.925535,70.0,-113.0,1.0000660092615568
80,1753912768,1.0,0.0,1.0,2.235171894665465,1.0,3.086383,1.925535,70.0,-113.0,0.9988081952145166
81,1753912773,1.0,0.0,1.0,2.235171894665465,1.0,3.086383,1.925535,70.0,-113.0,0.9991764612167671
82,1753912778,1.0,0.0,1.0,2.235171894665465,1.0,3.086383,1.925535,70.0,-113.0,0.9991764612167671
83,1753912783,1.0,0.0,1.0,2.235171894665465,1.0,3.086383,1.925535,70.0,-113.0,1.0001289642999478
84,1753912788,1.0,0.0,1.0,2.235171894665465,1.0,2.046443,1.959503,70.0,-113.0,1.0001289642999478
85,1753912793,1.0,0.0,1.0,2.235171894665465,1.0,2.046443,1.959503,70.0,-113.0,0.9892245901339709
86,1753912798,1.0,0.0,1.0,0.6644428465205467,1.0,2.046443,1.959503,70.0,-113.0,0.9834998475398462
87,1753912803,1.0,0.0,1.0,0.6644428465205467,1.0,2.046443,1.959503,70.0,-113.0,0.9834998475398462
88,1753912808,1.0,0.0,1.0,0.6644428465205467,1.0,2.046443,1.959503,70.0,-113.0,0.7527832051664917
89,1753912813,1.0,0.0,1.0,0.6644428465205467,1.0,2.046443,1.959503,70.0,-113.0,0.7527832051664917
