,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753914230,0.0,0.0,0.0,,0.0,0.0,0.0,140.0,-211.0,
1,1753914235,0.0,0.0,0.0,40.23848473837275,0.0,0.0,0.0,140.0,-211.0,
2,1753914240,0.0,0.0,0.0,40.23848473837275,0.0,0.0,0.0,140.0,-211.0,
3,1753914245,0.0,0.0,0.0,40.23848473837275,0.0,0.0,0.0,140.0,-211.0,0.0037647658074926055
4,1753914250,0.0,0.0,0.0,40.23848473837275,0.0,0.0,0.0,140.0,-211.0,0.01571266165345156
5,1753914255,0.0,0.0,0.0,40.23848473837275,0.0,0.0,0.0,140.0,-211.0,0.02708173118970827
6,1753914260,5.0,0.0,5.0,40.23848473837275,5.0,21.361548,1.453874,140.0,787.0,0.03620122641665331
7,1753914265,5.0,0.0,5.0,0.0,5.0,21.361548,1.453874,140.0,787.0,0.05196203120154615
8,1753914270,5.0,0.0,5.0,0.0,5.0,21.361548,1.453874,140.0,787.0,0.06422162350725139
9,1753914275,5.0,0.0,5.0,0.0,5.0,21.361548,1.453874,140.0,787.0,0.09029997190512387
10,1753914280,5.0,0.0,5.0,0.0,5.0,21.361548,1.453874,140.0,787.0,0.10855992515695724
11,1753914285,5.0,0.0,5.0,0.0,5.0,21.361548,1.453874,140.0,787.0,0.1253867509837322
12,1753914290,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.1332964841742065
13,1753914295,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.16330274764332217
14,1753914300,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.17937304733715034
15,1753914305,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.1862708616098476
16,1753914310,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.19461900385253844
17,1753914315,5.0,0.0,5.0,0.0,5.0,11.497291,3.716026,140.0,785.0,0.19851424868663747
18,1753914320,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.21266045171799125
19,1753914325,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.21689583869326678
20,1753914330,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.21621114211368128
21,1753914335,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.1992459809341023
22,1753914340,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.22659400195879253
23,1753914345,5.0,0.0,5.0,0.0,5.0,4.160963,4.630716,140.0,784.0,0.22693078353745139
24,1753914350,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.2135604254813734
25,1753914355,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.2118668670549189
26,1753914360,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.21149163101468182
27,1753914365,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.21392768693307518
28,1753914370,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.2170818526496959
29,1753914375,5.0,0.0,5.0,0.0,5.0,3.774338,2.583385,140.0,786.0,0.21603316571394104
30,1753914380,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.20555512253398556
31,1753914385,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.21509163999992675
32,1753914390,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.21555935934330173
33,1753914395,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.20752754760819778
34,1753914400,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.2157681437021909
35,1753914405,5.0,0.0,5.0,0.0,5.0,3.138641,3.226669,140.0,785.0,0.21065928406769552
36,1753914410,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.220077252450171
37,1753914415,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.22049657009309898
38,1753914420,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.2220991894637422
39,1753914425,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.2160657524240492
40,1753914430,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.21468185055278924
41,1753914435,5.0,0.0,5.0,0.0,5.0,3.231589,3.191214,140.0,785.0,0.22517504201114313
42,1753914440,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.22730093940302473
43,1753914445,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.22497023780469352
44,1753914450,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.22752581654439138
45,1753914455,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.2296490386315337
46,1753914460,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.22403472820458448
47,1753914465,5.0,0.0,5.0,0.0,5.0,3.451648,5.201892,140.0,783.0,0.2318072809787313
48,1753914470,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.2290204880879526
49,1753914475,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.2237886290127358
50,1753914480,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.23501348729943478
51,1753914485,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.23156602021704853
52,1753914490,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.2367691498568713
53,1753914495,5.0,0.0,5.0,0.0,5.0,4.858843,6.26559,140.0,782.0,0.23178400167576882
54,1753914500,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.2106041333277332
55,1753914505,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.22761630167615748
56,1753914510,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.21720379300556925
57,1753914515,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.20639002032315046
58,1753914520,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.20739485481662107
59,1753914525,5.0,0.0,5.0,0.0,5.0,6.669414,7.519512,140.0,781.0,0.20274463070950552
60,1753914530,5.0,0.0,5.0,0.0,5.0,7.486242,7.965126,140.0,781.0,0.2011419914794273
