,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753915923,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753915928,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753915933,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753915938,5.0,0.0,2.0,,5.0,21.061153,12.945435,70.0,-24.0,0.00410888355377106
4,1753915943,5.0,0.0,2.0,,5.0,21.061153,12.945435,70.0,-24.0,0.010381054842896637
5,1753915948,5.0,0.0,2.0,0.0,5.0,21.061153,12.945435,70.0,-24.0,0.034805613389135626
6,1753915953,5.0,0.0,2.0,0.0,5.0,21.061153,12.945435,70.0,-24.0,0.04084428376848947
7,1753915958,5.0,0.0,2.0,0.0,5.0,21.061153,12.945435,70.0,-24.0,0.04871690055493882
8,1753915963,5.0,0.0,2.0,0.0,5.0,21.061153,12.945435,70.0,-24.0,0.0532803983567331
9,1753915968,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.06429793494235252
10,1753915973,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.06880801568887222
11,1753915978,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.0820362412278294
12,1753915983,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.0898924963356354
13,1753915988,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.08515690797621307
14,1753915993,5.0,0.0,5.0,0.0,5.0,5.014741,0.17592,70.0,288.0,0.09478721739041554
15,1753915998,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.09828841796141904
16,1753916003,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.09706506170046138
17,1753916008,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.10405481372792842
18,1753916013,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.10478363665296386
19,1753916018,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.10806890956884645
20,1753916023,5.0,0.0,5.0,0.0,5.0,0.178861,0.201122,70.0,288.0,0.10632488528717117
