,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753910690,1.0,0.0,1.0,,0.0,0.0,0.0,140.0,-11.0,0.0006178061325857082
1,1753910695,1.0,0.0,1.0,46.27577931976502,0.0,0.0,0.0,140.0,-11.0,0.0006178061325857082
2,1753910700,1.0,0.0,1.0,46.27577931976502,0.0,0.0,0.0,140.0,-11.0,0.0006178061325857082
3,1753910705,1.0,0.0,1.0,46.27577931976502,0.0,0.0,0.0,140.0,-11.0,0.0032657679577858113
4,1753910710,1.0,0.0,1.0,46.27577931976502,0.0,0.0,0.0,140.0,-11.0,0.015202282429491145
5,1753910715,1.0,0.0,1.0,46.27577931976502,0.0,0.0,0.0,140.0,-11.0,0.024154263770724157
6,1753910720,5.0,0.0,5.0,46.27577931976502,5.0,3.907095,1.683432,140.0,787.0,0.03906574598887299
7,1753910725,5.0,0.0,5.0,0.0,5.0,3.907095,1.683432,140.0,787.0,0.06618422440493382
8,1753910730,5.0,0.0,5.0,0.0,5.0,3.907095,1.683432,140.0,787.0,0.07496144257907443
9,1753910735,5.0,0.0,5.0,0.0,5.0,3.907095,1.683432,140.0,787.0,0.0855185666390029
10,1753910740,5.0,0.0,5.0,0.0,5.0,3.907095,1.683432,140.0,787.0,0.11244129162635552
11,1753910745,5.0,0.0,5.0,0.0,5.0,3.907095,1.683432,140.0,787.0,0.1417336339987124
12,1753910750,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.15597060075174687
13,1753910755,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.17725907324926876
14,1753910760,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.2036033820575487
15,1753910765,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.21736891773827524
16,1753910770,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.22836526678089528
17,1753910775,5.0,0.0,5.0,0.0,5.0,4.818533,1.209236,140.0,787.0,0.23330791911238855
18,1753910780,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.22700436001464525
19,1753910785,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.21261394554164326
20,1753910790,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.2343726444231788
21,1753910795,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.22641960623482488
22,1753910800,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.21177983856105986
23,1753910805,5.0,0.0,5.0,0.0,5.0,1.864506,1.942852,140.0,787.0,0.2337726111134442
24,1753910810,5.0,0.0,5.0,0.0,5.0,2.119829,4.059374,140.0,784.0,0.2337726111134442
