,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753913321,0.0,0.0,0.0,,0.0,-1e-06,0.0,140.0,-211.0,
1,1753913326,5.0,0.0,5.0,,5.0,13.569213,13.569213,140.0,-225.0,
2,1753913331,5.0,0.0,5.0,,5.0,13.569213,13.569213,140.0,-225.0,
3,1753913336,5.0,0.0,5.0,0.0,5.0,13.569213,13.569213,140.0,-225.0,0.006961274096548376
4,1753913341,5.0,0.0,5.0,0.0,5.0,13.569213,13.569213,140.0,-225.0,0.018352048524344952
5,1753913346,5.0,0.0,5.0,0.0,5.0,13.569213,13.569213,140.0,-225.0,0.02117443678549663
6,1753913351,5.0,0.0,5.0,0.0,5.0,13.569213,13.569213,140.0,-225.0,0.034325679212919964
7,1753913356,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.05712227084599682
8,1753913361,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.073192913010626
9,1753913366,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.08047691016873622
10,1753913371,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.1146412050592095
11,1753913376,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.12169671704796074
12,1753913381,5.0,0.0,5.0,0.0,5.0,8.27962,1.868871,140.0,787.0,0.14251207369721067
13,1753913386,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.17705266581308238
14,1753913391,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.19245500451698008
15,1753913396,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.2060093158427308
16,1753913401,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.22212141934550794
17,1753913406,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.22212141934550794
18,1753913411,5.0,0.0,5.0,0.0,5.0,4.3029,1.398197,140.0,787.0,0.22559631885229436
19,1753913416,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.23426548547717108
20,1753913421,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.23815725425273043
21,1753913426,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.2412047920637972
22,1753913431,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.24385174969409604
23,1753913436,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.2329708780410622
24,1753913441,5.0,0.0,5.0,0.0,5.0,1.755432,1.777511,140.0,787.0,0.22989002765454936
25,1753913446,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.23370047647017542
26,1753913451,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.23370047647017542
27,1753913456,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.2239212563565413
28,1753913461,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.21019646410670126
29,1753913466,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.22368596190740322
30,1753913471,5.0,0.0,5.0,0.0,5.0,1.657523,1.21184,140.0,787.0,0.21065268014220248
31,1753913476,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.21929904356214777
32,1753913481,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.2170934095385439
33,1753913486,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.21850747922799293
34,1753913491,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.21292844436942812
35,1753913496,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.1977178545163784
36,1753913501,5.0,0.0,5.0,0.0,5.0,1.915486,4.531486,140.0,784.0,0.2017368684296782
37,1753913506,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.20482032382505028
38,1753913511,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.2112309816285926
39,1753913516,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.2119646495110991
40,1753913521,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.2056696995126976
41,1753913526,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.21374689486236487
42,1753913531,5.0,0.0,5.0,0.0,5.0,3.386183,4.550626,140.0,784.0,0.21701204641302674
43,1753913536,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.22009937631437215
44,1753913541,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.2088497326366675
45,1753913546,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.21450115554306887
46,1753913551,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.21761083306509105
47,1753913556,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.2242279120837914
48,1753913561,5.0,0.0,5.0,0.0,5.0,4.359236,4.156796,140.0,784.0,0.22449443981530398
49,1753913566,5.0,0.0,5.0,0.0,5.0,4.766285,7.572504,140.0,781.0,0.20322564086291126
50,1753913571,5.0,0.0,5.0,0.0,5.0,4.766285,7.572504,140.0,781.0,0.23041123343383027
