,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753917659,0.0,0.0,0.0,,0.0,0.0,0.0,140.0,-211.0,
1,1753917664,0.0,0.0,0.0,,0.0,0.0,0.0,140.0,-211.0,
2,1753917669,0.0,0.0,0.0,,0.0,0.0,0.0,140.0,-211.0,
3,1753917674,0.0,0.0,0.0,,0.0,0.0,0.0,140.0,-211.0,0.008472967410673049
4,1753917679,5.0,0.0,5.0,,5.0,26.126358,1.909504,140.0,787.0,0.019371667661997452
5,1753917684,5.0,0.0,5.0,,5.0,26.126358,1.909504,140.0,787.0,0.02656082669593908
6,1753917689,5.0,0.0,5.0,0.0,5.0,26.126358,1.909504,140.0,787.0,0.028290316591361088
7,1753917694,5.0,0.0,5.0,0.0,5.0,26.126358,1.909504,140.0,787.0,0.05559818796691542
8,1753917699,5.0,0.0,5.0,0.0,5.0,26.126358,1.909504,140.0,787.0,0.08156678651067353
9,1753917704,5.0,0.0,5.0,0.0,5.0,26.126358,1.909504,140.0,787.0,0.09772026081892504
10,1753917709,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.111621147989986
11,1753917714,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.1302775279409742
12,1753917719,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.1479851197688161
13,1753917724,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.17446933012038737
14,1753917729,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.19140181047157379
15,1753917734,5.0,0.0,5.0,0.0,5.0,9.508502,1.78764,140.0,787.0,0.1909368634368641
16,1753917739,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.2079193479778886
17,1753917744,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.21487235060059312
18,1753917749,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.2023750227369473
19,1753917754,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.21551485345947907
20,1753917759,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.22296205121172033
21,1753917764,5.0,0.0,5.0,0.0,5.0,1.736794,2.19714,140.0,786.0,0.2259486987891973
22,1753917769,5.0,0.0,5.0,0.0,5.0,1.846722,1.384407,140.0,787.0,0.2277345134218583
23,1753917774,5.0,0.0,5.0,0.0,5.0,1.846722,1.384407,140.0,787.0,0.22862622822493825
24,1753917779,5.0,0.0,5.0,0.0,5.0,1.846722,1.384407,140.0,787.0,0.221559125091155
