,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1753925513,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753925518,0.0,0.0,0.0,5.730263495289799,0.0,0.0,0.0,70.0,-211.0,
2,1753925523,0.0,0.0,0.0,5.730263495289799,0.0,0.0,0.0,70.0,-211.0,
3,1753925528,0.0,0.0,0.0,5.730263495289799,0.0,0.0,0.0,70.0,-211.0,0.002939602572295894
4,1753925533,0.0,0.0,0.0,5.730263495289799,0.0,0.0,0.0,70.0,-211.0,0.021183979868207803
5,1753925538,5.0,0.0,5.0,5.730263495289799,5.0,2.400022,0.05037,70.0,288.0,0.031172941960227758
6,1753925543,5.0,0.0,5.0,5.730263495289799,5.0,2.400022,0.05037,70.0,288.0,0.03502521761855202
7,1753925548,5.0,0.0,5.0,0.0,5.0,2.400022,0.05037,70.0,288.0,0.03801153110334912
8,1753925553,5.0,0.0,5.0,0.0,5.0,2.400022,0.05037,70.0,288.0,0.03831033858010173
9,1753925558,5.0,0.0,5.0,0.0,5.0,2.400022,0.05037,70.0,288.0,0.04327337713334811
10,1753925563,5.0,0.0,5.0,0.0,5.0,2.400022,0.05037,70.0,288.0,0.04559753271390776
11,1753925568,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.05008294722761718
12,1753925573,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.053572674745607285
13,1753925578,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.04747714285429854
14,1753925583,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.048329440456356974
15,1753925588,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.04776114104345496
16,1753925593,5.0,0.0,5.0,0.0,5.0,1.038997,0.097959,70.0,288.0,0.05511729293066442
17,1753925598,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.05688585298051618
18,1753925603,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.0604030213350015
19,1753925608,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.06209848099176671
20,1753925613,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.06308709023538168
21,1753925618,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.05761128273543785
22,1753925623,5.0,0.0,5.0,0.0,5.0,0.109364,0.128299,70.0,288.0,0.06352203173934481
23,1753925628,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.06422492089275536
24,1753925633,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.06045152769009383
25,1753925638,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.06078450330158316
26,1753925643,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.0586002594326429
27,1753925648,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.05985968098349864
28,1753925653,5.0,0.0,5.0,0.0,5.0,0.131095,0.138478,70.0,288.0,0.05795468110084029
29,1753925658,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.058703501975794006
30,1753925663,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.05360169289351671
31,1753925668,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.055526008373683676
32,1753925673,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.05731738750706218
33,1753925678,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.054410049637896286
34,1753925683,5.0,0.0,5.0,0.0,5.0,0.11968,0.104693,70.0,288.0,0.05667726430126311
35,1753925688,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.05763164813158691
36,1753925693,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.05800451584862376
37,1753925698,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.05836570367965249
38,1753925703,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.061375975900262766
39,1753925708,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.06177596230305725
40,1753925713,5.0,0.0,5.0,0.0,5.0,0.110199,0.122398,70.0,288.0,0.063047389074301
41,1753925718,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.06174836817568435
42,1753925723,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.0591931964166579
43,1753925728,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.05981610052087952
44,1753925733,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.05867849185170084
45,1753925738,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.059480883375812914
46,1753925743,5.0,0.0,5.0,0.0,5.0,0.112206,0.093415,70.0,288.0,0.05855016635485946
47,1753925748,5.0,0.0,5.0,0.0,5.0,0.107781,0.119672,70.0,288.0,0.056475517922100364
48,1753925753,5.0,0.0,5.0,0.0,5.0,0.107781,0.119672,70.0,288.0,0.05662458911733858
49,1753925758,5.0,0.0,5.0,0.0,5.0,0.107781,0.119672,70.0,288.0,0.05711327863854781
50,1753925763,5.0,0.0,5.0,0.0,5.0,0.107781,0.119672,70.0,288.0,0.05796993715241115
