,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1753926582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753926587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753926592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753926597,0.0,0.0,0.0,0.097674019382199,0.0,0.0,0.0,70.0,-211.0,
4,1753926602,0.0,0.0,0.0,0.097674019382199,0.0,0.0,0.0,70.0,-211.0,0.006534998993936971
5,1753926607,0.0,0.0,0.0,0.097674019382199,0.0,0.0,0.0,70.0,-211.0,0.008685108927976548
6,1753926612,0.0,0.0,0.0,0.097674019382199,0.0,0.0,0.0,70.0,-211.0,0.015901175752392954
7,1753926617,1.0,0.0,1.0,0.097674019382199,1.0,5.36963,0.410743,70.0,-112.0,0.01911102062291835
8,1753926622,1.0,0.0,1.0,0.097674019382199,1.0,5.36963,0.410743,70.0,-112.0,0.022320865493443753
9,1753926627,1.0,0.0,1.0,0.4676240390485119,1.0,5.36963,0.410743,70.0,-112.0,0.018385916666666665
10,1753926632,1.0,0.0,1.0,0.4676240390485119,1.0,5.36963,0.410743,70.0,-112.0,0.039290107278246715
11,1753926637,1.0,0.0,1.0,0.4676240390485119,1.0,5.36963,0.410743,70.0,-112.0,0.0437014409241983
12,1753926642,1.0,0.0,1.0,0.4676240390485119,1.0,5.36963,0.410743,70.0,-112.0,0.048112774570149903
13,1753926647,1.0,0.0,1.0,0.4676240390485119,1.0,2.824884,0.589445,70.0,-112.0,0.058597663482750244
14,1753926652,1.0,0.0,1.0,0.4676240390485119,1.0,2.824884,0.589445,70.0,-112.0,0.06464178819658006
15,1753926657,1.0,0.0,1.0,4.048899032002283,1.0,2.824884,0.589445,70.0,-112.0,0.06655279226278023
16,1753926662,1.0,0.0,1.0,4.048899032002283,1.0,2.824884,0.589445,70.0,-112.0,0.25277550069034943
17,1753926667,1.0,0.0,1.0,4.048899032002283,1.0,2.824884,0.589445,70.0,-112.0,0.2757957197804305
18,1753926672,1.0,0.0,1.0,4.048899032002283,1.0,2.824884,0.589445,70.0,-112.0,0.4525805146024429
19,1753926677,1.0,0.0,1.0,4.048899032002283,1.0,1.569846,2.748921,70.0,-114.0,0.5005562657936398
20,1753926682,1.0,0.0,1.0,4.048899032002283,1.0,1.569846,2.748921,70.0,-114.0,0.5485320169848366
21,1753926687,1.0,0.0,1.0,3.6916758981398914,1.0,1.569846,2.748921,70.0,-114.0,0.6763898170105829
22,1753926692,1.0,0.0,1.0,3.6916758981398914,1.0,1.569846,2.748921,70.0,-114.0,0.7742745341701469
23,1753926697,1.0,0.0,1.0,3.6916758981398914,1.0,1.569846,2.748921,70.0,-114.0,0.8476742391498988
24,1753926702,1.0,0.0,1.0,3.6916758981398914,1.0,1.569846,2.748921,70.0,-114.0,0.9076625745417066
25,1753926707,1.0,0.0,1.0,3.6916758981398914,1.0,2.618024,1.86218,70.0,-113.0,0.9983294627247343
26,1753926712,1.0,0.0,1.0,3.6916758981398914,1.0,2.618024,1.86218,70.0,-113.0,0.8601800770454063
27,1753926717,1.0,0.0,1.0,1.7361148150744254,1.0,2.618024,1.86218,70.0,-113.0,0.9984336741156248
28,1753926722,1.0,0.0,1.0,1.7361148150744254,1.0,2.618024,1.86218,70.0,-113.0,0.9982046764444028
29,1753926727,1.0,0.0,1.0,1.7361148150744254,1.0,2.618024,1.86218,70.0,-113.0,0.9982046764444028
30,1753926732,1.0,0.0,1.0,1.7361148150744254,1.0,2.618024,1.86218,70.0,-113.0,0.8251298753535874
31,1753926737,1.0,0.0,1.0,1.7361148150744254,1.0,2.194479,1.60769,70.0,-113.0,0.9998008605310107
32,1753926742,1.0,0.0,1.0,1.7361148150744254,1.0,2.194479,1.60769,70.0,-113.0,0.9998008605310107
33,1753926747,1.0,0.0,1.0,2.036408069273411,1.0,2.194479,1.60769,70.0,-113.0,0.9991667429343448
