,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753936317,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753936322,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753936327,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753936332,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
4,1753936337,5.0,0.0,5.0,,5.0,19.142465,0.063113,70.0,288.0,0.004716575599771129
5,1753936342,5.0,0.0,5.0,,5.0,19.142465,0.063113,70.0,288.0,0.015853539791534192
6,1753936347,5.0,0.0,5.0,0.0,5.0,19.142465,0.063113,70.0,288.0,0.020545415573432223
7,1753936352,5.0,0.0,5.0,0.0,5.0,19.142465,0.063113,70.0,288.0,0.026644200948783153
8,1753936357,5.0,0.0,5.0,0.0,5.0,19.142465,0.063113,70.0,288.0,0.036414040677020934
9,1753936362,5.0,0.0,5.0,0.0,5.0,19.142465,0.063113,70.0,288.0,0.03951508880069087
10,1753936367,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.04670905766574296
11,1753936372,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.06185047730548616
12,1753936377,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.06820598462366506
13,1753936382,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.07454346146199659
14,1753936387,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.08325199428098931
15,1753936392,5.0,0.0,5.0,0.0,5.0,4.91126,0.226814,70.0,288.0,0.09176017991473338
16,1753936397,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.09300392338885335
17,1753936402,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.09488298169178103
18,1753936407,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.09436170366075958
19,1753936412,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.08913183792601241
20,1753936417,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.0900213929053209
21,1753936422,5.0,0.0,5.0,0.0,5.0,0.173366,0.139863,70.0,288.0,0.08807045772041668
22,1753936427,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.09147113359839742
23,1753936432,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.08712968589710905
24,1753936437,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.09550483857967923
25,1753936442,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.09209375661750405
26,1753936447,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.0905739141177682
27,1753936452,5.0,0.0,5.0,0.0,5.0,0.180599,0.229695,70.0,288.0,0.09490751446393704
28,1753936457,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.09417594516899007
29,1753936462,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.09013771480711007
30,1753936467,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.09077999431587026
31,1753936472,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.08852064835437898
32,1753936477,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.08653818488499468
33,1753936482,5.0,0.0,5.0,0.0,5.0,0.218908,0.187946,70.0,288.0,0.08385897811287567
