,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753930946,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753930951,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753930956,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753930961,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
4,1753930966,5.0,0.0,5.0,,5.0,10.083365,0.185029,70.0,288.0,0.006537205102803229
5,1753930971,5.0,0.0,5.0,,5.0,10.083365,0.185029,70.0,288.0,0.018833499750748953
6,1753930976,5.0,0.0,5.0,0.0,5.0,10.083365,0.185029,70.0,288.0,0.02962868071150388
7,1753930981,5.0,0.0,5.0,0.0,5.0,10.083365,0.185029,70.0,288.0,0.038798982534552474
8,1753930986,5.0,0.0,5.0,0.0,5.0,10.083365,0.185029,70.0,288.0,0.060932707720430225
9,1753930991,5.0,0.0,5.0,0.0,5.0,10.083365,0.185029,70.0,288.0,0.07334806816250777
10,1753930996,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.08003596157787465
11,1753931001,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.10159781159375413
12,1753931006,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.11439348262108719
13,1753931011,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.12439847922533956
14,1753931016,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.14060872062023133
15,1753931021,5.0,0.0,5.0,0.0,5.0,3.494205,0.5845,70.0,288.0,0.14426273444012963
16,1753931026,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.1410060132942599
17,1753931031,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.14119786754976216
18,1753931036,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.14347116694627673
19,1753931041,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.1383321177670274
20,1753931046,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.14493909889538825
21,1753931051,5.0,0.0,5.0,0.0,5.0,0.473792,0.451984,70.0,288.0,0.14687065368119337
22,1753931056,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.14179718708702332
23,1753931061,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.14574110400769685
24,1753931066,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.15517953912943688
25,1753931071,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.15822275493340754
26,1753931076,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.14691514511622847
27,1753931081,5.0,0.0,5.0,0.0,5.0,0.56359,0.852843,70.0,288.0,0.16378090751673605
28,1753931086,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.1590263921008578
29,1753931091,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.15733919281249367
30,1753931096,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.16241274049051602
31,1753931101,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.1584721828644936
32,1753931106,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.15774075990751452
33,1753931111,5.0,0.0,5.0,0.0,5.0,0.632513,0.622912,70.0,288.0,0.15685629449188213
34,1753931116,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.16376604992439261
35,1753931121,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.15475724290511733
36,1753931126,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.15999284503325062
37,1753931131,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.16436373182998482
38,1753931136,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.1584745930481044
39,1753931141,5.0,0.0,5.0,0.0,5.0,0.648715,0.487876,70.0,288.0,0.16365063427917173
40,1753931146,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.1562689471222309
41,1753931151,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.14829098803188406
42,1753931156,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.154142353191622
43,1753931161,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.15129076994730856
44,1753931166,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.15123899248312941
45,1753931171,5.0,0.0,5.0,0.0,5.0,0.556558,0.3997,70.0,288.0,0.1503949491418671
46,1753931176,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.1493466328219178
47,1753931181,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.14543552668500265
48,1753931186,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.1508330730395766
49,1753931191,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.1481161621318456
50,1753931196,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.15533748172481499
51,1753931201,5.0,0.0,5.0,0.0,5.0,0.494814,0.494111,70.0,288.0,0.15776529810423218
52,1753931206,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.15942152885844837
53,1753931211,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.15270040519833414
54,1753931216,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.15697675567831337
55,1753931221,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.16065540965067898
56,1753931226,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.16168711163999508
57,1753931231,5.0,0.0,5.0,0.0,5.0,0.548895,0.684101,70.0,288.0,0.16952821702058743
58,1753931236,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.1550346130286035
59,1753931241,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.16489779332780516
60,1753931246,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.16373232548856195
61,1753931251,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.16323593818794255
62,1753931256,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.15697487531186555
63,1753931261,5.0,0.0,5.0,0.0,5.0,0.59749,0.498043,70.0,288.0,0.1597185952136489
64,1753931266,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.16257715781314003
65,1753931271,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.16331809443727274
66,1753931276,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.16336665623859453
67,1753931281,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.15689365967456903
68,1753931286,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.16372867864611473
69,1753931291,5.0,0.0,5.0,0.0,5.0,0.611051,0.609751,70.0,288.0,0.16678445620538437
70,1753931296,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.167753529459906
71,1753931301,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.15934666736822117
72,1753931306,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.16125795568275014
73,1753931311,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.15955324609151394
74,1753931316,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.15738769183922702
75,1753931321,5.0,0.0,5.0,0.0,5.0,0.600216,0.533442,70.0,288.0,0.1573602950236999
76,1753931326,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.1429289889277201
77,1753931331,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.15355644023804027
78,1753931336,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.15134898549951425
79,1753931341,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.15167528940942548
80,1753931346,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.14638435133087657
81,1753931351,5.0,0.0,5.0,0.0,5.0,0.569482,0.493643,70.0,288.0,0.14600824695766146
82,1753931356,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.14870239722870762
83,1753931361,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.1549026899217485
84,1753931366,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.1514154109994252
85,1753931371,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.15332661052027824
86,1753931376,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.1394015884241304
87,1753931381,5.0,0.0,5.0,0.0,5.0,0.589828,0.640318,70.0,288.0,0.15681850271035774
88,1753931386,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.15257715116829432
89,1753931391,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.15647622494840077
90,1753931396,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.15351335470021726
91,1753931401,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.1522538337633082
92,1753931406,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.15065770929967934
93,1753931411,5.0,0.0,5.0,0.0,5.0,0.588471,0.651415,70.0,288.0,0.15104577589255191
94,1753931416,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.14883832927959376
95,1753931421,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.14956227826807011
96,1753931426,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.15366157616919895
97,1753931431,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.15307911280954561
98,1753931436,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.14793147088996206
99,1753931441,5.0,0.0,5.0,0.0,5.0,0.561491,0.580763,70.0,288.0,0.15631471206011455
100,1753931446,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.15717259311232296
101,1753931451,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.14623039477206287
102,1753931456,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.15332975589889788
103,1753931461,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.15017351826054606
104,1753931466,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.15979632867938337
105,1753931471,5.0,0.0,5.0,0.0,5.0,0.625952,0.761212,70.0,288.0,0.16031141769745527
106,1753931476,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.1612930865785031
107,1753931481,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.15966948274373086
108,1753931486,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.16146005112925044
109,1753931491,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.1599879740910996
110,1753931496,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.14655059617208416
111,1753931501,5.0,0.0,5.0,0.0,5.0,0.647244,0.574302,70.0,288.0,0.15489825794587234
112,1753931506,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.14681141739513615
113,1753931511,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.15977063687772916
114,1753931516,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.1581929708893873
115,1753931521,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.15306087331394275
116,1753931526,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.14214560620547462
117,1753931531,5.0,0.0,5.0,0.0,5.0,0.604667,0.640739,70.0,288.0,0.1569639427178011
118,1753931536,5.0,0.0,5.0,0.0,5.0,0.629842,0.562522,70.0,288.0,0.1569639427178011
119,1753931541,5.0,0.0,5.0,0.0,5.0,0.629842,0.562522,70.0,288.0,0.158116934296447
120,1753931546,5.0,0.0,5.0,0.0,5.0,0.629842,0.562522,70.0,288.0,0.1426510122594362
