,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753942725,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753942730,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753942735,0.0,0.0,0.0,0.5352398838435548,0.0,0.0,0.0,70.0,-211.0,
3,1753942740,0.0,0.0,0.0,0.5352398838435548,0.0,0.0,0.0,70.0,-211.0,0.01719362362866757
4,1753942745,0.0,0.0,0.0,0.5352398838435548,0.0,0.0,0.0,70.0,-211.0,0.03112161611315113
5,1753942750,0.0,0.0,0.0,0.5352398838435548,0.0,0.0,0.0,70.0,-211.0,0.04645854364336231
6,1753942755,5.0,0.0,5.0,0.5352398838435548,5.0,6.321995,0.201536,70.0,288.0,0.049139869585939584
7,1753942760,5.0,0.0,5.0,0.5352398838435548,5.0,6.321995,0.201536,70.0,288.0,0.06342552450679059
8,1753942765,5.0,0.0,5.0,0.0,5.0,6.321995,0.201536,70.0,288.0,0.07169846011209724
9,1753942770,5.0,0.0,5.0,0.0,5.0,6.321995,0.201536,70.0,288.0,0.0812485602998192
10,1753942775,5.0,0.0,5.0,0.0,5.0,6.321995,0.201536,70.0,288.0,0.08611881401831019
11,1753942780,5.0,0.0,5.0,0.0,5.0,6.321995,0.201536,70.0,288.0,0.09779465217047015
12,1753942785,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.10577649778461029
13,1753942790,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.09834630878169226
14,1753942795,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.100940269189143
15,1753942800,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.10123041383856221
16,1753942805,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.1027227261468889
17,1753942810,5.0,0.0,5.0,0.0,5.0,3.08015,0.160717,70.0,288.0,0.10216724852109553
18,1753942815,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.10722691560081399
19,1753942820,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.11085419092411863
20,1753942825,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.1089655422803853
21,1753942830,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.11224067948742453
22,1753942835,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.11074643157580336
23,1753942840,5.0,0.0,5.0,0.0,5.0,0.181558,0.226277,70.0,288.0,0.11540128695027904
24,1753942845,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.11308275467042705
25,1753942850,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.11122959083009361
26,1753942855,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.10154091302275778
27,1753942860,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.1097033527244109
28,1753942865,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.10998546901181623
29,1753942870,5.0,0.0,5.0,0.0,5.0,0.189369,0.148619,70.0,288.0,0.11460359365635125
30,1753942875,5.0,0.0,5.0,0.0,5.0,0.208311,0.249289,70.0,288.0,0.11608850269037405
31,1753942880,5.0,0.0,5.0,0.0,5.0,0.208311,0.249289,70.0,288.0,0.11832614131838441
