,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753942725,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753942730,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753942735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753942740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753942745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
5,1753942750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.03138651734331786
6,1753942755,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.038611612253602504
7,1753942760,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.04995600518499303
8,1753942765,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.07231466951288619
9,1753942770,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.08223564203102712
10,1753942775,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.09076631552550816
11,1753942780,5.0,0.0,5.0,0.0,5.0,4.282332,0.447027,70.0,288.0,0.10569277291136144
12,1753942785,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.11812621566720335
13,1753942790,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.12773482261839214
14,1753942795,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.13983396244626048
15,1753942800,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.14739625905038287
16,1753942805,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.15042243419857598
17,1753942810,5.0,0.0,5.0,0.0,5.0,2.185408,0.338022,70.0,288.0,0.14981068945514758
18,1753942815,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.14623428170584896
19,1753942820,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.1521001717899505
20,1753942825,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.16029719528719266
21,1753942830,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.1555606318109591
22,1753942835,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.1506508040757316
23,1753942840,5.0,0.0,5.0,0.0,5.0,0.40605,0.460621,70.0,288.0,0.15757737489598064
24,1753942845,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.16039630850405673
25,1753942850,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.15360408640217327
26,1753942855,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.1573652554234542
27,1753942860,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.14598344863624682
28,1753942865,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.15558581592433907
29,1753942870,5.0,0.0,5.0,0.0,5.0,0.418214,0.355569,70.0,288.0,0.16088850562862722
30,1753942875,5.0,0.0,5.0,0.0,5.0,0.466372,0.52544,70.0,288.0,0.16274078999428634
31,1753942880,5.0,0.0,5.0,0.0,5.0,0.466372,0.52544,70.0,288.0,0.16716104372438056
32,1753942885,5.0,0.0,5.0,0.0,5.0,0.466372,0.52544,70.0,288.0,0.16821323729399001
