,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753941903,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753941908,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753941913,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753941918,5.0,0.0,5.0,,5.0,19.27838,19.27838,70.0,-231.0,
4,1753941923,5.0,0.0,5.0,,5.0,19.27838,19.27838,70.0,-231.0,
5,1753941928,5.0,0.0,5.0,0.0,5.0,19.27838,19.27838,70.0,-231.0,
6,1753941933,5.0,0.0,5.0,0.0,5.0,19.27838,19.27838,70.0,-231.0,0.026734407388988586
7,1753941938,5.0,0.0,5.0,0.0,5.0,19.27838,19.27838,70.0,-231.0,0.03299523167731361
8,1753941943,5.0,0.0,5.0,0.0,5.0,19.27838,19.27838,70.0,-231.0,0.04228224788586668
9,1753941948,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.04904498380080116
10,1753941953,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.05661468070335367
11,1753941958,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.05484007240672685
12,1753941963,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.07085186136868668
13,1753941968,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.07785403226145578
14,1753941973,5.0,0.0,5.0,0.0,5.0,11.085344,0.15873,70.0,288.0,0.07601878979000266
15,1753941978,5.0,0.0,5.0,0.0,5.0,5.254948,0.16766,70.0,288.0,0.08958787147623806
16,1753941983,5.0,0.0,5.0,0.0,5.0,5.254948,0.16766,70.0,288.0,0.08769321511809866
17,1753941988,5.0,0.0,5.0,0.0,5.0,5.254948,0.16766,70.0,288.0,0.09014658215066237
