,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753939290,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753939295,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753939300,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753939305,5.0,0.0,5.0,,5.0,28.995672,1.181571,70.0,287.0,0.009247929921011777
4,1753939310,5.0,0.0,5.0,,5.0,28.995672,1.181571,70.0,287.0,0.016529429169617336
5,1753939315,5.0,0.0,5.0,0.0,5.0,28.995672,1.181571,70.0,287.0,0.027446903599771054
6,1753939320,5.0,0.0,5.0,0.0,5.0,28.995672,1.181571,70.0,287.0,0.060110335948444456
7,1753939325,5.0,0.0,5.0,0.0,5.0,28.995672,1.181571,70.0,287.0,0.07052756907571797
8,1753939330,5.0,0.0,5.0,0.0,5.0,28.995672,1.181571,70.0,287.0,0.08264134603382113
9,1753939335,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.11983822182736449
10,1753939340,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.13355637958765712
11,1753939345,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.15205622497711904
12,1753939350,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.1688885165672481
13,1753939355,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.18869356816003915
14,1753939360,5.0,0.0,5.0,0.0,5.0,10.690211,1.556997,70.0,287.0,0.19816986193134117
15,1753939365,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.2046157073776349
16,1753939370,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.2144665716261186
17,1753939375,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.21360378016398662
18,1753939380,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.21787563219983955
19,1753939385,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.21787563219983955
20,1753939390,5.0,0.0,5.0,0.0,5.0,1.988321,1.841376,70.0,287.0,0.2134088032866608
21,1753939395,5.0,0.0,5.0,0.0,5.0,2.57844,5.377884,70.0,283.0,0.2163858571078386
22,1753939400,5.0,0.0,5.0,0.0,5.0,2.57844,5.377884,70.0,283.0,0.2237594831846564
