,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754000835,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
1,1754000840,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
2,1754000845,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
3,1754000850,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
4,1754000855,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.03553995075423684
5,1754000860,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.044418576135599915
6,1754000865,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.05099589157965262
7,1754000870,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.045977673442534756
8,1754000875,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.05185054064207124
9,1754000880,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.058172130179245565
10,1754000885,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.06363590637001663
11,1754000890,5.0,0.0,5.0,0.0,5.0,1.638123,0.096629,70.0,288.0,0.06524126512723914
12,1754000895,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.07049554538523703
13,1754000900,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.05162822188087445
14,1754000905,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.054639922609422784
15,1754000910,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.0551345170146577
16,1754000915,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.054380196264230546
17,1754000920,5.0,0.0,5.0,0.0,5.0,0.783885,0.103593,70.0,288.0,0.0581677939263513
18,1754000925,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.05768372390391823
19,1754000930,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.05692702422474105
20,1754000935,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.0585426781278366
21,1754000940,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.05746012372633964
22,1754000945,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.06029483251428389
23,1754000950,5.0,0.0,5.0,0.0,5.0,0.102114,0.101748,70.0,288.0,0.05792464622175761
24,1754000955,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.05982905870541248
25,1754000960,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.06052992532413208
26,1754000965,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.05954318677687964
27,1754000970,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.060222731585429755
28,1754000975,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.05751526840666522
29,1754000980,5.0,0.0,5.0,0.0,5.0,0.103484,0.110841,70.0,288.0,0.056086927496146105
30,1754000985,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.05840252991512373
31,1754000990,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.05911612892209453
32,1754000995,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.059038987558587934
33,1754001000,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.06030941258493252
34,1754001005,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.05908193552596444
35,1754001010,5.0,0.0,5.0,0.0,5.0,0.112244,0.142778,70.0,288.0,0.06359036191111994
36,1754001015,5.0,0.0,5.0,0.0,5.0,0.137306,0.13329,70.0,288.0,0.06492673954712337
