,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754006795,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754006800,0.0,0.0,0.0,24.967991653061702,0.0,0.0,0.0,70.0,-211.0,
2,1754006805,5.0,0.0,3.0,24.967991653061702,5.0,21.883112,21.066136,70.0,67.0,
3,1754006810,5.0,0.0,3.0,24.967991653061702,5.0,21.883112,21.066136,70.0,67.0,0.005453419590643275
4,1754006815,5.0,0.0,3.0,24.967991653061702,5.0,21.883112,21.066136,70.0,67.0,0.015265132838965287
5,1754006820,5.0,0.0,3.0,24.967991653061702,5.0,21.883112,21.066136,70.0,67.0,0.04868381591364057
6,1754006825,5.0,0.0,3.0,24.967991653061702,5.0,21.883112,21.066136,70.0,67.0,0.057118463212912265
7,1754006830,5.0,0.0,3.0,0.0,5.0,21.883112,21.066136,70.0,67.0,0.06477973184680949
8,1754006835,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.06870522755752106
9,1754006840,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.07757590692281427
10,1754006845,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.0803971300580855
11,1754006850,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.09539727830820574
12,1754006855,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.10464483117932931
13,1754006860,5.0,0.0,5.0,0.0,5.0,3.755223,0.172691,70.0,288.0,0.0931122080218328
14,1754006865,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.10305239781590393
15,1754006870,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.10340471786353503
16,1754006875,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.10556540732778544
17,1754006880,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.10219526960362403
18,1754006885,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.10333368002127535
19,1754006890,5.0,0.0,5.0,0.0,5.0,0.156732,0.1672,70.0,288.0,0.09922141652936903
20,1754006895,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.10864614008581314
21,1754006900,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.10810323239088031
22,1754006905,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.10984225483793152
23,1754006910,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.10921850579432442
24,1754006915,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.10985283454369403
25,1754006920,5.0,0.0,5.0,0.0,5.0,0.181361,0.196971,70.0,288.0,0.11086549017276148
26,1754006925,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.11012515308328935
27,1754006930,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.10653342430154748
28,1754006935,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.1065151609608083
29,1754006940,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.10946078630378835
30,1754006945,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.10753536087846705
31,1754006950,5.0,0.0,5.0,0.0,5.0,0.181699,0.159932,70.0,288.0,0.11386344415199781
32,1754006955,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.11575704390905252
33,1754006960,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.11632131184577121
34,1754006965,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.11328069543598172
35,1754006970,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.12177869270413862
36,1754006975,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.12177869270413862
37,1754006980,5.0,0.0,5.0,0.0,5.0,0.19808,0.261727,70.0,288.0,0.12725559048775437
38,1754006985,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.12262651930639167
39,1754006990,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.1228988842976187
40,1754006995,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.11887784476083257
41,1754007000,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.11561045519412111
42,1754007005,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.11066045414259801
43,1754007010,5.0,0.0,5.0,0.0,5.0,0.225169,0.203118,70.0,288.0,0.10083904905122255
44,1754007015,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09812230041710203
45,1754007020,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09723185617941246
46,1754007025,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09581066382081178
47,1754007030,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09434050243352307
48,1754007035,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09711187800747585
49,1754007040,5.0,0.0,5.0,0.0,5.0,0.206908,0.190029,70.0,288.0,0.09701522187487911
50,1754007045,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.0961100300316251
51,1754007050,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.09523683427638777
52,1754007055,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.09435838138729646
53,1754007060,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.0937768170621144
54,1754007065,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.08866389673974737
55,1754007070,5.0,0.0,5.0,0.0,5.0,0.193499,0.185659,70.0,288.0,0.087540615247944
