,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754002735,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754002740,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754002745,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1754002750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.014491888445512035
4,1754002755,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.033589651631697144
5,1754002760,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.04235835434693852
6,1754002765,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.04312047188846739
7,1754002770,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.05045904355083781
8,1754002775,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.050010023288793726
9,1754002780,5.0,0.0,5.0,0.0,5.0,2.760195,0.067732,70.0,288.0,0.05293348455317079
10,1754002785,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.05886539247663572
11,1754002790,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.06132418142441191
12,1754002795,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.0684416403752006
13,1754002800,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.05017144678761111
14,1754002805,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.051602626837904966
15,1754002810,5.0,0.0,5.0,0.0,5.0,1.161195,0.102341,70.0,288.0,0.04984112763950929
16,1754002815,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.05347736670848159
17,1754002820,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.05632465692699551
18,1754002825,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.05409810471395293
19,1754002830,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.05658737374409488
20,1754002835,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.054521676514596815
21,1754002840,5.0,0.0,5.0,0.0,5.0,0.097472,0.086077,70.0,288.0,0.058946661178209944
22,1754002845,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.05916189366162599
23,1754002850,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.056125939926067736
24,1754002855,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.05939797732478549
25,1754002860,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.062297449498046546
26,1754002865,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.06357418164486972
27,1754002870,5.0,0.0,5.0,0.0,5.0,0.104542,0.111952,70.0,288.0,0.0630125084445352
28,1754002875,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.06292195559478993
29,1754002880,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.05874167001505956
30,1754002885,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.06394313291733142
31,1754002890,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.06430760059287761
32,1754002895,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.06229643484589251
33,1754002900,5.0,0.0,5.0,0.0,5.0,0.113898,0.114625,70.0,288.0,0.06527312584962412
34,1754002905,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.0648664731486141
35,1754002910,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.06957460163207661
36,1754002915,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.07240470017498428
37,1754002920,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.07302744907567862
38,1754002925,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.07231906526201466
39,1754002930,5.0,0.0,5.0,0.0,5.0,0.137743,0.194732,70.0,288.0,0.07124772935886256
40,1754002935,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.07084201700557102
41,1754002940,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.06452952674420599
42,1754002945,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.06463769486926049
43,1754002950,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.05928464718638765
44,1754002955,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.061793820164775914
45,1754002960,5.0,0.0,5.0,0.0,5.0,0.140775,0.098773,70.0,288.0,0.0602707527657403
46,1754002965,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.05727895538544236
47,1754002970,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.05935077307635589
48,1754002975,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.054796385140785706
49,1754002980,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.05743286806192265
50,1754002985,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.05543580440234106
51,1754002990,5.0,0.0,5.0,0.0,5.0,0.118037,0.131536,70.0,288.0,0.0580243097747159
52,1754002995,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.058120428199510465
53,1754003000,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.0582136578178402
54,1754003005,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.05843797478785597
55,1754003010,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.0557926084341311
56,1754003015,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.057396588147544544
57,1754003020,5.0,0.0,5.0,0.0,5.0,0.114562,0.105307,70.0,288.0,0.053668110844984185
58,1754003025,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.05675801486158277
59,1754003030,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.057322614231667936
60,1754003035,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.05744480608199758
61,1754003040,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.05515404215782494
62,1754003045,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.05596674689318653
63,1754003050,5.0,0.0,5.0,0.0,5.0,0.105252,0.109797,70.0,288.0,0.058370054230180546
64,1754003055,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.056966842424360335
65,1754003060,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.05667196589866024
66,1754003065,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.060134615491511806
67,1754003070,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.061778618775594735
68,1754003075,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.06188184710447085
69,1754003080,5.0,0.0,5.0,0.0,5.0,0.114435,0.128798,70.0,288.0,0.05970308176702892
70,1754003085,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.06107759218013689
71,1754003090,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.05791780986733039
72,1754003095,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.05954788543263326
73,1754003100,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.055656886017530924
74,1754003105,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.0594127169374528
75,1754003110,5.0,0.0,5.0,0.0,5.0,0.119079,0.109576,70.0,288.0,0.06091045690173115
76,1754003115,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.06256936722346772
77,1754003120,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.06021660835504137
78,1754003125,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.06582382342855615
79,1754003130,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.06784610115765642
80,1754003135,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.07042397786257697
81,1754003140,5.0,0.0,5.0,0.0,5.0,0.124651,0.162859,70.0,288.0,0.07141457710222873
82,1754003145,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.07022948317150032
83,1754003150,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.07268780932610336
84,1754003155,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.0721004895026447
85,1754003160,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.06831463642580111
86,1754003165,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.06893485482550508
87,1754003170,5.0,0.0,5.0,0.0,5.0,0.146758,0.117543,70.0,288.0,0.07001396222632032
88,1754003175,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.06957143622268697
89,1754003180,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.06655078951487424
90,1754003185,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.06892351445757015
91,1754003190,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.06889818684956643
92,1754003195,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.0679858770967127
93,1754003200,5.0,0.0,5.0,0.0,5.0,0.144722,0.133991,70.0,288.0,0.07099960884531918
94,1754003205,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.06824361694175549
95,1754003210,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.07105131453900385
96,1754003215,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.06800765938299422
97,1754003220,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.06763475718613503
98,1754003225,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.06528838342027307
99,1754003230,5.0,0.0,5.0,0.0,5.0,0.136656,0.13071,70.0,288.0,0.0676467179771223
100,1754003235,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.06846477533322526
101,1754003240,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.07104759620769964
102,1754003245,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.0669905461787839
103,1754003250,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.06808008277684237
104,1754003255,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.06549303116350391
105,1754003260,5.0,0.0,5.0,0.0,5.0,0.139269,0.159138,70.0,288.0,0.0671257283377887
106,1754003265,5.0,0.0,5.0,0.0,5.0,0.136344,0.141515,70.0,288.0,0.061873554710470235
107,1754003270,5.0,0.0,5.0,0.0,5.0,0.136344,0.141515,70.0,288.0,0.06443377449551665
108,1754003275,5.0,0.0,5.0,0.0,5.0,0.136344,0.141515,70.0,288.0,0.06088076983704185
109,1754003280,5.0,0.0,5.0,0.0,5.0,0.136344,0.141515,70.0,288.0,0.06315061997766341
110,1754003285,5.0,0.0,5.0,0.0,5.0,0.136344,0.141515,70.0,288.0,0.06141666707401119
