,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754023254,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.0009642007588416967
1,1754023259,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.0009642007588416967
2,1754023264,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.0015216854296590315
3,1754023269,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,0.035578512977563204
4,1754023274,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,0.04803068649725438
5,1754023279,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.053347558946551035
6,1754023284,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.05276707537240275
7,1754023289,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.0554542499389687
8,1754023294,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.057735208621174414
9,1754023299,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.06927418704940635
10,1754023304,5.0,0.0,5.0,0.0,5.0,0.037922,0.083728,70.0,288.0,0.07772826811334488
11,1754023309,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.08263683123499377
12,1754023314,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.09520116870631162
13,1754023319,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.07901530037012287
14,1754023324,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.0799366428507948
15,1754023329,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.08677029268302694
16,1754023334,5.0,0.0,5.0,0.0,5.0,0.114892,0.18222,70.0,288.0,0.09224400839483671
17,1754023339,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09019542147832496
18,1754023344,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09485083911549005
19,1754023349,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09278083374073205
20,1754023354,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09376943836527461
21,1754023359,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09687845399731652
22,1754023364,5.0,0.0,5.0,0.0,5.0,0.162318,0.175088,70.0,288.0,0.09764115887275403
23,1754023369,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.09733848310917517
24,1754023374,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.097750066538222
25,1754023379,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.09732987534220955
26,1754023384,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.0973606136900875
27,1754023389,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.09828705413349517
28,1754023394,5.0,0.0,5.0,0.0,5.0,0.171762,0.174338,70.0,288.0,0.09981592758740465
29,1754023399,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.0999590053154647
30,1754023404,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.0974445728033978
31,1754023409,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.10117184180918332
32,1754023414,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.09953582970579619
33,1754023419,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.09932490994889868
34,1754023424,5.0,0.0,5.0,0.0,5.0,0.179278,0.191328,70.0,288.0,0.10255540738442184
35,1754023429,5.0,0.0,5.0,0.0,5.0,0.190206,0.228002,70.0,288.0,0.1033175203899444
36,1754023434,5.0,0.0,5.0,0.0,5.0,0.190206,0.228002,70.0,288.0,0.0993226513909802
37,1754023439,5.0,0.0,5.0,0.0,5.0,0.190206,0.228002,70.0,288.0,0.10630352175653432
38,1754023444,5.0,0.0,5.0,0.0,5.0,0.190206,0.228002,70.0,288.0,0.10683743794352887
39,1754023449,5.0,0.0,5.0,0.0,5.0,0.190206,0.228002,70.0,288.0,0.10934330834315012
