,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1754017253,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,,
1,1754017258,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,,
2,1754017263,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,,
3,1754017268,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,14.0,-211.0,,
4,1754017273,0.0,0.0,0.0,2.5276447745968937,0.0,-1e-06,0.0,14.0,-211.0,,
5,1754017278,1.0,0.0,0.0,2.5276447745968937,1.0,2.815203,5.529799,14.0,-217.0,0.00810387518018018,0.00810387518018018
6,1754017283,1.0,0.0,0.0,2.5276447745968937,1.0,2.815203,5.529799,14.0,-217.0,0.010325384189189189,0.010325384189189189
7,1754017288,1.0,0.0,0.0,2.5276447745968937,1.0,2.815203,5.529799,14.0,-217.0,0.012546893198198199,0.012546893198198199
8,1754017293,1.0,0.0,0.0,2.5276447745968937,1.0,2.815203,5.529799,14.0,-217.0,0.020776120170180757,0.020776120170180757
9,1754017298,1.0,0.0,0.0,2.5276447745968937,1.0,2.815203,5.529799,14.0,-217.0,0.03176820310009086,0.03176820310009086
10,1754017303,1.0,0.0,0.0,0.028014175979435337,1.0,2.815203,5.529799,14.0,-217.0,0.03790526403786678,0.03790526403786678
11,1754017308,2.0,0.0,2.0,0.028014175979435337,2.0,6.046398,0.01174,14.0,-172.0,0.03411064136225483,0.03411064136225483
12,1754017313,2.0,0.0,2.0,0.028014175979435337,2.0,6.046398,0.01174,14.0,-172.0,0.03384875098849748,0.03384875098849748
13,1754017318,2.0,0.0,2.0,0.028014175979435337,2.0,6.046398,0.01174,14.0,-172.0,0.03321559907613468,0.03321559907613468
14,1754017323,2.0,0.0,2.0,0.028014175979435337,2.0,6.046398,0.01174,14.0,-172.0,0.0303169792869487,0.0303169792869487
15,1754017328,2.0,0.0,2.0,0.028014175979435337,2.0,6.046398,0.01174,14.0,-172.0,0.027569390460719035,0.027569390460719035
16,1754017333,2.0,0.0,2.0,0.024418640570911945,2.0,6.046398,0.01174,14.0,-172.0,0.028857551774511783,0.028857551774511783
17,1754017338,2.0,0.0,2.0,0.024418640570911945,2.0,3.889339,0.014967,14.0,-172.0,0.013132736115849955,0.013132736115849955
18,1754017343,2.0,0.0,2.0,0.024418640570911945,2.0,3.889339,0.014967,14.0,-172.0,0.014035748381724326,0.014035748381724326
