,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754022397,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0009695008237858157
1,1754022402,1.0,0.0,1.0,0.2870572784245805,0.0,0.0,0.0,70.0,-111.0,0.0011850518865095076
2,1754022407,5.0,0.0,5.0,0.2870572784245805,5.0,0.034921,0.212075,70.0,288.0,0.0026419658206087576
3,1754022412,5.0,0.0,5.0,0.2870572784245805,5.0,0.034921,0.212075,70.0,288.0,0.005043772262002633
4,1754022417,5.0,0.0,5.0,0.2870572784245805,5.0,0.034921,0.212075,70.0,288.0,0.01343255284805619
5,1754022422,5.0,0.0,5.0,0.2870572784245805,5.0,0.034921,0.212075,70.0,288.0,0.025306779153633007
6,1754022427,5.0,0.0,5.0,0.2870572784245805,5.0,0.034921,0.212075,70.0,288.0,0.02775310787706034
7,1754022432,5.0,0.0,5.0,0.0,5.0,0.034921,0.212075,70.0,288.0,0.04119983791447564
8,1754022437,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.05699794306386005
9,1754022442,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.0639294341458059
10,1754022447,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.07787801709715678
11,1754022452,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.09288187044989296
12,1754022457,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.10151108218565927
13,1754022462,5.0,0.0,5.0,0.0,5.0,0.145858,0.293218,70.0,288.0,0.11528418066001767
14,1754022467,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.12910122361800563
15,1754022472,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.13422454724079938
16,1754022477,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.13058660100410338
17,1754022482,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.14545984962663958
18,1754022487,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.14072853256756862
19,1754022492,5.0,0.0,5.0,0.0,5.0,0.330827,0.4081,70.0,288.0,0.14007784353326797
