,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754013140,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754013145,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754013150,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1754013155,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,0.01306714897142857
4,1754013160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.029542336237320596
5,1754013165,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.042529804065497105
6,1754013170,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.048721534171061315
7,1754013175,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.052644110130756205
8,1754013180,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.05154740145271237
9,1754013185,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.05807513727660897
10,1754013190,5.0,0.0,5.0,0.0,5.0,1.039325,0.064195,70.0,288.0,0.05871394755411169
11,1754013195,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.0647916431872595
12,1754013200,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.06959385443322978
13,1754013205,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.04653490028998451
14,1754013210,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.048910454760393345
15,1754013215,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.05033361668596129
16,1754013220,5.0,0.0,5.0,0.0,5.0,0.509151,0.096211,70.0,288.0,0.05256433744422968
17,1754013225,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.053947114265747
18,1754013230,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.05254467258538214
19,1754013235,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.054644140252368176
20,1754013240,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.05663153404315121
21,1754013245,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.05892055174906029
22,1754013250,5.0,0.0,5.0,0.0,5.0,0.092604,0.102942,70.0,288.0,0.060735466562828105
23,1754013255,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.05914403329976369
24,1754013260,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.06131263620907479
25,1754013265,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.062115730943534245
26,1754013270,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.060916996843582844
27,1754013275,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.05989157284380791
28,1754013280,5.0,0.0,5.0,0.0,5.0,0.101474,0.098813,70.0,288.0,0.06406941857899481
29,1754013285,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06386090716318463
30,1754013290,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06390943729269788
31,1754013295,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06199946778168672
32,1754013300,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06118577045051087
33,1754013305,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06278865191901364
34,1754013310,5.0,0.0,5.0,0.0,5.0,0.107923,0.101606,70.0,288.0,0.06231297714693736
35,1754013315,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.06281353306276137
36,1754013320,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.06143628479448638
37,1754013325,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.06220483905952082
38,1754013330,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.0627996653160825
39,1754013335,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.06309994019729188
40,1754013340,5.0,0.0,5.0,0.0,5.0,0.117089,0.152841,70.0,288.0,0.06488471688076852
41,1754013345,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.06566485728097742
42,1754013350,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.06656888947600545
43,1754013355,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.06491401065709046
44,1754013360,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.06103685854493607
45,1754013365,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.0627832132126884
46,1754013370,5.0,0.0,5.0,0.0,5.0,0.12714,0.110767,70.0,288.0,0.06179079875283375
47,1754013375,5.0,0.0,5.0,0.0,5.0,0.12443,0.126742,70.0,288.0,0.05739478867681073
48,1754013380,5.0,0.0,5.0,0.0,5.0,0.12443,0.126742,70.0,288.0,0.058611169073634097
49,1754013385,5.0,0.0,5.0,0.0,5.0,0.12443,0.126742,70.0,288.0,0.054237980159983816
50,1754013390,5.0,0.0,5.0,0.0,5.0,0.12443,0.126742,70.0,288.0,0.05750751338102214
51,1754013395,5.0,0.0,5.0,0.0,5.0,0.12443,0.126742,70.0,288.0,0.058558651748053
