,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754013140,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754013145,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1754013150,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1754013155,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
4,1754013160,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,0.017974191047070064
5,1754013165,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.022521968211438502
6,1754013170,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.029960202763892867
7,1754013175,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.05459424493611681
8,1754013180,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.06259726126020788
9,1754013185,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.07580798995983662
10,1754013190,5.0,0.0,5.0,0.0,5.0,16.396054,1.139469,70.0,287.0,0.10400406138552284
11,1754013195,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.11750430385087796
12,1754013200,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.1270591885554147
13,1754013205,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.15693690648232006
14,1754013210,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.16654260806685567
15,1754013215,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.1736862772762644
16,1754013220,5.0,0.0,5.0,0.0,5.0,8.158125,1.68286,70.0,287.0,0.20614580903179908
17,1754013225,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.20678310836025438
18,1754013230,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.20846127598184047
19,1754013235,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.215445783017228
20,1754013240,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.2168788067272374
21,1754013245,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.21781265291762184
22,1754013250,5.0,0.0,5.0,0.0,5.0,1.698184,1.772769,70.0,287.0,0.21286002192485892
23,1754013255,5.0,0.0,5.0,0.0,5.0,1.792259,1.93971,70.0,287.0,0.21964207430669425
24,1754013260,5.0,0.0,5.0,0.0,5.0,1.792259,1.93971,70.0,287.0,0.22180503988686337
25,1754013265,5.0,0.0,5.0,0.0,5.0,1.792259,1.93971,70.0,287.0,0.20402273606859375
26,1754013270,5.0,0.0,5.0,0.0,5.0,1.792259,1.93971,70.0,287.0,0.2192351657039936
