,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754021515,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754021520,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754021525,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1754021530,0.0,0.0,0.0,0.2731095943460224,0.0,0.0,0.0,70.0,-211.0,0.010334555634553357
4,1754021535,5.0,0.0,5.0,0.2731095943460224,5.0,3.206645,0.123647,70.0,288.0,0.031509392392357345
5,1754021540,5.0,0.0,5.0,0.2731095943460224,5.0,3.206645,0.123647,70.0,288.0,0.058178771059720025
6,1754021545,5.0,0.0,5.0,0.2731095943460224,5.0,3.206645,0.123647,70.0,288.0,0.06262418953000226
7,1754021550,5.0,0.0,5.0,0.2731095943460224,5.0,3.206645,0.123647,70.0,288.0,0.06661201762683458
8,1754021555,5.0,0.0,5.0,0.2731095943460224,5.0,3.206645,0.123647,70.0,288.0,0.07295866616260537
9,1754021560,5.0,0.0,5.0,0.0,5.0,3.206645,0.123647,70.0,288.0,0.07975576619354295
10,1754021565,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.08490380330932448
11,1754021570,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.09359215338196288
12,1754021575,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.0995085678756722
13,1754021580,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.08648982996130741
14,1754021585,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.08850335349815976
15,1754021590,5.0,0.0,5.0,0.0,5.0,1.32618,0.1643,70.0,288.0,0.0916226001524843
16,1754021595,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09225615123095984
17,1754021600,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09400880592508498
18,1754021605,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09391483391964886
19,1754021610,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09804276528543428
20,1754021615,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09818712593857223
21,1754021620,5.0,0.0,5.0,0.0,5.0,0.155244,0.174989,70.0,288.0,0.09566978560240495
22,1754021625,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.09512442428245046
23,1754021630,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.09914856196583277
24,1754021635,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.09925318383644291
25,1754021640,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.09517430408135798
26,1754021645,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.094140365728885
27,1754021650,5.0,0.0,5.0,0.0,5.0,0.174424,0.172581,70.0,288.0,0.0923505748645691
28,1754021655,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.10342221235991796
29,1754021660,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.0978650734631421
30,1754021665,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.10438832886765813
31,1754021670,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.10328026360149953
32,1754021675,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.1002381425955951
33,1754021680,5.0,0.0,5.0,0.0,5.0,0.186404,0.173193,70.0,288.0,0.10549182563836262
34,1754021685,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.10673571704458248
35,1754021690,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.10388887033305329
36,1754021695,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.098227995396109
37,1754021700,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.11277511166002083
38,1754021705,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.10960117142629075
39,1754021710,5.0,0.0,5.0,0.0,5.0,0.193385,0.241192,70.0,288.0,0.11439308935238984
40,1754021715,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.11760965530321017
41,1754021720,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.12076616533058457
42,1754021725,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.11827133317253363
43,1754021730,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.11917814516425794
44,1754021735,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.11910653393448592
45,1754021740,5.0,0.0,5.0,0.0,5.0,0.214784,0.174503,70.0,288.0,0.11476555264795865
46,1754021745,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.10947432824315598
47,1754021750,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.11350905125735722
48,1754021755,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.11350905125735722
49,1754021760,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.11309242275247608
50,1754021765,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.11396401896340809
51,1754021770,5.0,0.0,5.0,0.0,5.0,0.221012,0.224593,70.0,288.0,0.11724612676477528
52,1754021775,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.1181806581718468
53,1754021780,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.11824549097592542
54,1754021785,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.11530666256040846
55,1754021790,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.11323281315567582
56,1754021795,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.11709525012602154
57,1754021800,5.0,0.0,5.0,0.0,5.0,0.21164,0.197542,70.0,288.0,0.11805434439038118
58,1754021805,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.1175947491530718
59,1754021810,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.11227878111787651
60,1754021815,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.12199239005783037
61,1754021820,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.11957396096795828
62,1754021825,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.1287208261123457
63,1754021830,5.0,0.0,5.0,0.0,5.0,0.22459,0.24981,70.0,288.0,0.12513984506209064
64,1754021835,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.12560779377746828
65,1754021840,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.12073634917492637
66,1754021845,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.12434019876282512
67,1754021850,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.12357722419269151
68,1754021855,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.10930714201921901
69,1754021860,5.0,0.0,5.0,0.0,5.0,0.233578,0.203736,70.0,288.0,0.11236368689872903
70,1754021865,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.11169185260832992
71,1754021870,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.10921255056765024
72,1754021875,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.10250414078849807
73,1754021880,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.10161027109165083
74,1754021885,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.10092167988992433
75,1754021890,5.0,0.0,5.0,0.0,5.0,0.203352,0.172437,70.0,288.0,0.10022820310204893
76,1754021895,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.09810571482431854
77,1754021900,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.09810353498623033
78,1754021905,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.09832208618381066
79,1754021910,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.10533887637493693
80,1754021915,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.10857204851147276
81,1754021920,5.0,0.0,5.0,0.0,5.0,0.1799,0.218097,70.0,288.0,0.11267455856420545
82,1754021925,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.11690269429650778
83,1754021930,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.11829078123164066
84,1754021935,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.11637346384258998
85,1754021940,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.12047479472560395
86,1754021945,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.12317528868155711
87,1754021950,5.0,0.0,5.0,0.0,5.0,0.215058,0.24214,70.0,288.0,0.11866629854695582
88,1754021955,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.12411147051863049
89,1754021960,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.1216844353203108
90,1754021965,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.11446073149907131
91,1754021970,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.11642956539182792
92,1754021975,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.10571296024234934
93,1754021980,5.0,0.0,5.0,0.0,5.0,0.230745,0.197545,70.0,288.0,0.10738772245681912
94,1754021985,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.10482638493921675
95,1754021990,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.1040467663767952
96,1754021995,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.10326979856801548
97,1754022000,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.1028565963160738
98,1754022005,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.0978516689060244
99,1754022010,5.0,0.0,5.0,0.0,5.0,0.196054,0.179636,70.0,288.0,0.1048222590112282
100,1754022015,5.0,0.0,5.0,0.0,5.0,0.210738,0.306787,70.0,288.0,0.1073207006073195
101,1754022020,5.0,0.0,5.0,0.0,5.0,0.210738,0.306787,70.0,288.0,0.1062552228034196
