,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754020630,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754020635,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
2,1754020640,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
3,1754020645,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
4,1754020650,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.00947611363432817
5,1754020655,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.020540939264665818
6,1754020660,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.02493133617352405
7,1754020665,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.036488247313971565
8,1754020670,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.04755359409129338
9,1754020675,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.056406562153753496
10,1754020680,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.06847123013110315
11,1754020685,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.07999359073748767
12,1754020690,5.0,0.0,5.0,0.0,5.0,2.426749,0.387553,70.0,288.0,0.09023793252004994
13,1754020695,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.10936427803170085
14,1754020700,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.12066600431784105
15,1754020705,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.12442063824726246
16,1754020710,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.1361292272174694
17,1754020715,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.14095012562396467
18,1754020720,5.0,0.0,5.0,0.0,5.0,1.121675,0.325367,70.0,288.0,0.14342289087391635
19,1754020725,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.14746239381997028
20,1754020730,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.14435013381655706
21,1754020735,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.147777310999401
22,1754020740,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.14831698476362543
23,1754020745,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.14890784678449703
24,1754020750,5.0,0.0,5.0,0.0,5.0,0.37939,0.48891,70.0,288.0,0.1466362241234514
25,1754020755,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.146981584432711
26,1754020760,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.1482094242230529
27,1754020765,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.15246900228246674
28,1754020770,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.15351868152184156
29,1754020775,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.15291533302130292
30,1754020780,5.0,0.0,5.0,0.0,5.0,0.406307,0.405767,70.0,288.0,0.15520756034833638
31,1754020785,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.15202096333271725
32,1754020790,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.15156285365713695
33,1754020795,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.1460764976953599
34,1754020800,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.1506813271177119
35,1754020805,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.15620494141472466
36,1754020810,5.0,0.0,5.0,0.0,5.0,0.406681,0.399292,70.0,288.0,0.13695607916434116
37,1754020815,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.16020545014452378
38,1754020820,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.15861072387742464
39,1754020825,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.15746032884615055
40,1754020830,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.16266484639604037
41,1754020835,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.16369062928680256
42,1754020840,5.0,0.0,5.0,0.0,5.0,0.452366,0.556637,70.0,288.0,0.16189472986926
43,1754020845,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.16466214491870937
44,1754020850,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.16466214491870937
45,1754020855,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.1559683305850763
46,1754020860,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.16113196188840226
47,1754020865,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.160345253777337
48,1754020870,5.0,0.0,5.0,0.0,5.0,0.470493,0.429658,70.0,288.0,0.15603182766310347
49,1754020875,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.16354273870561176
50,1754020880,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.1647756637306895
51,1754020885,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.16236878343162514
52,1754020890,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.1709715403551495
53,1754020895,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.16588349562452093
54,1754020900,5.0,0.0,5.0,0.0,5.0,0.462096,0.51399,70.0,288.0,0.1745811389143166
55,1754020905,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.1704176738391909
56,1754020910,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.17580278034903948
57,1754020915,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.15462394748908617
58,1754020920,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.17179701527508623
59,1754020925,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.17749469755378847
60,1754020930,5.0,0.0,5.0,0.0,5.0,0.478142,0.528059,70.0,288.0,0.17732689277154942
61,1754020935,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.18043413847887843
62,1754020940,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.17327361739553665
63,1754020945,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.1809801749583269
64,1754020950,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.16995831819223045
65,1754020955,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.1744536100744695
66,1754020960,5.0,0.0,5.0,0.0,5.0,0.523916,0.549429,70.0,288.0,0.16504414422993102
67,1754020965,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.168461922965643
68,1754020970,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.16070411511168933
69,1754020975,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.1529693640824841
70,1754020980,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.14533317339128626
71,1754020985,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.1522103321657966
72,1754020990,5.0,0.0,5.0,0.0,5.0,0.512856,0.416238,70.0,288.0,0.14661019034262604
73,1754020995,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.13984674353619203
74,1754021000,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.14333111518866612
75,1754021005,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.13437808799218715
76,1754021010,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.14158458334814328
77,1754021015,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.13152217480000675
78,1754021020,5.0,0.0,5.0,0.0,5.0,0.438017,0.371762,70.0,288.0,0.1403965732931347
79,1754021025,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.1439580824781796
80,1754021030,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.14401744108271933
81,1754021035,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.14271523839809744
82,1754021040,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.14922829945912927
83,1754021045,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.1464090758520702
84,1754021050,5.0,0.0,5.0,0.0,5.0,0.466931,0.679863,70.0,288.0,0.1443870080750736
85,1754021055,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.15578746636259438
86,1754021060,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.1555781795436073
87,1754021065,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.15722874944356285
88,1754021070,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.15876362359034676
89,1754021075,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.1540128339483533
90,1754021080,5.0,0.0,5.0,0.0,5.0,0.538578,0.513291,70.0,288.0,0.15477386982749863
91,1754021085,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.15607107170824056
92,1754021090,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.1408495170923476
93,1754021095,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.1512358326146692
94,1754021100,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.15453250701506493
95,1754021105,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.15453176225102583
96,1754021110,5.0,0.0,5.0,0.0,5.0,0.528881,0.439918,70.0,288.0,0.14701311389454472
97,1754021115,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.15140027181698537
98,1754021120,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.1513287284465448
99,1754021125,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.15116980053583404
100,1754021130,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.14942312325015528
101,1754021135,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.160417419918287
102,1754021140,5.0,0.0,5.0,0.0,5.0,0.479681,0.535873,70.0,288.0,0.15588144384133967
103,1754021145,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.1651503526727445
104,1754021150,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.1605735315034868
105,1754021155,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.16281351209835507
106,1754021160,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.16802907084640506
107,1754021165,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.16605065222320267
108,1754021170,5.0,0.0,5.0,0.0,5.0,0.609306,0.61666,70.0,288.0,0.1660619631571069
109,1754021175,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.15386848709033613
110,1754021180,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.16100143320607294
111,1754021185,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.16070217960165978
112,1754021190,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.15694781555730128
113,1754021195,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.14920593660536757
114,1754021200,5.0,0.0,5.0,0.0,5.0,0.641137,0.548309,70.0,288.0,0.13928593691173746
115,1754021205,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.15017164046079318
116,1754021210,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.14958429533932105
117,1754021215,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.15295908742715392
118,1754021220,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.15435537929465876
119,1754021225,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.15695679158378123
120,1754021230,5.0,0.0,5.0,0.0,5.0,0.513347,0.498128,70.0,288.0,0.1543180470250214
