,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754025034,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754025039,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754025044,0.0,0.0,0.0,34.465503046713984,0.0,0.0,0.0,70.0,-211.0,
3,1754025049,5.0,0.0,3.0,34.465503046713984,5.0,14.272301,10.722063,70.0,78.0,0.00536569963747467
4,1754025054,5.0,0.0,3.0,34.465503046713984,5.0,14.272301,10.722063,70.0,78.0,0.014685314218316274
5,1754025059,5.0,0.0,3.0,34.465503046713984,5.0,14.272301,10.722063,70.0,78.0,0.04125579881085199
6,1754025064,5.0,0.0,3.0,34.465503046713984,5.0,14.272301,10.722063,70.0,78.0,0.04617872592497278
7,1754025069,5.0,0.0,3.0,34.465503046713984,5.0,14.272301,10.722063,70.0,78.0,0.05263833113661366
8,1754025074,5.0,0.0,3.0,0.0,5.0,14.272301,10.722063,70.0,78.0,0.057452249986047726
9,1754025079,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.06355903639804113
10,1754025084,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.07046182427698566
11,1754025089,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.07827964864872565
12,1754025094,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.08653712054538464
13,1754025099,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.07859668537572774
14,1754025104,5.0,0.0,5.0,0.0,5.0,3.092075,0.142814,70.0,288.0,0.08144961516336453
15,1754025109,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.07794930735425186
16,1754025114,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.09066134219842661
17,1754025119,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.08969371786353733
18,1754025124,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.09596673701154776
19,1754025129,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.09642669972135144
20,1754025134,5.0,0.0,5.0,0.0,5.0,0.141297,0.176565,70.0,288.0,0.09642669972135146
21,1754025139,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09384719788079655
22,1754025144,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09695924171096014
23,1754025149,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09344942155999596
24,1754025154,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09376717835510484
25,1754025159,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09533247952872137
26,1754025164,5.0,0.0,5.0,0.0,5.0,0.183539,0.170305,70.0,288.0,0.09583131246014653
27,1754025169,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.09539850582463535
28,1754025174,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.09853598105782077
29,1754025179,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.09998332835257615
30,1754025184,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.0924338570876042
31,1754025189,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.09746372171497054
32,1754025194,5.0,0.0,5.0,0.0,5.0,0.193908,0.181121,70.0,288.0,0.10084168433187984
33,1754025199,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.10356144521632314
34,1754025204,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.10375137913646401
35,1754025209,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.10231937828244521
36,1754025214,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.09760475163050358
37,1754025219,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.10016405599758008
38,1754025224,5.0,0.0,5.0,0.0,5.0,0.185954,0.160109,70.0,288.0,0.10110798996729432
39,1754025229,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10445065298999945
40,1754025234,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10152839944742628
41,1754025239,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10724707665144775
42,1754025244,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10809479165382026
43,1754025249,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10964440792671853
44,1754025254,5.0,0.0,5.0,0.0,5.0,0.206079,0.211889,70.0,288.0,0.10812212189288323
45,1754025259,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10375488260731602
46,1754025264,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10419332866042413
47,1754025269,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10127643160398403
48,1754025274,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10264180187229877
49,1754025279,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10091340410164978
50,1754025284,5.0,0.0,5.0,0.0,5.0,0.210618,0.192373,70.0,288.0,0.10781484419664357
51,1754025289,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.10637749822088512
52,1754025294,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.10210027479048021
53,1754025299,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.1118956357546147
54,1754025304,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.10728040782627529
55,1754025309,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.10457879282007491
56,1754025314,5.0,0.0,5.0,0.0,5.0,0.209496,0.206491,70.0,288.0,0.10613671762654919
57,1754025319,5.0,0.0,5.0,0.0,5.0,0.219423,0.228718,70.0,288.0,0.10490364251118066
58,1754025324,5.0,0.0,5.0,0.0,5.0,0.219423,0.228718,70.0,288.0,0.1028063246651809
59,1754025329,5.0,0.0,5.0,0.0,5.0,0.219423,0.228718,70.0,288.0,0.09834919907437738
60,1754025334,5.0,0.0,5.0,0.0,5.0,0.219423,0.228718,70.0,288.0,0.10279650139744882
61,1754025339,5.0,0.0,5.0,0.0,5.0,0.219423,0.228718,70.0,288.0,0.10513697933491498
