,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753970952,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753970957,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
2,1753970962,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
3,1753970967,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,
4,1753970972,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.012069366321440513
5,1753970977,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.023822590410983505
6,1753970982,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.03156527577113087
7,1753970987,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.04291195953644855
8,1753970992,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.05964883719698495
9,1753970997,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.06664715082014533
10,1753971002,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.08108317799726687
11,1753971007,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.10036816856669475
12,1753971012,5.0,0.0,5.0,0.0,5.0,3.982826,0.460816,70.0,288.0,0.11496384187439786
13,1753971017,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.12775811409092228
14,1753971022,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.13672053121433284
15,1753971027,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.14165371262486176
16,1753971032,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.15004117718002383
17,1753971037,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.14943688420059964
18,1753971042,5.0,0.0,5.0,0.0,5.0,2.231322,0.435611,70.0,288.0,0.15557477549080334
19,1753971047,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.1557236034735266
20,1753971052,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.15699103729720243
21,1753971057,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.1574305199354161
22,1753971062,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.15986234112475745
23,1753971067,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.1654763149511787
24,1753971072,5.0,0.0,5.0,0.0,5.0,0.442379,0.542551,70.0,288.0,0.15908799027736964
25,1753971077,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.166252858231295
26,1753971082,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.1711890914207935
27,1753971087,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.17248493473550416
28,1753971092,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.16663967957085773
29,1753971097,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.16671489391375152
30,1753971102,5.0,0.0,5.0,0.0,5.0,0.491287,0.578426,70.0,288.0,0.17184846215872884
31,1753971107,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.17044942665425072
32,1753971112,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.17587887344623795
33,1753971117,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.175733638625932
34,1753971122,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.18159305852621496
35,1753971127,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.18567310095502282
36,1753971132,5.0,0.0,5.0,0.0,5.0,0.525711,0.657928,70.0,288.0,0.1807581348131019
37,1753971137,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.18675349483433126
38,1753971142,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.19013234392390993
39,1753971147,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.18959885385373265
40,1753971152,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.18633094338256248
41,1753971157,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.18532213735583836
42,1753971162,5.0,0.0,5.0,0.0,5.0,0.621607,0.612957,70.0,288.0,0.1751669560867252
43,1753971167,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.16571730885310298
44,1753971172,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.15675380347621085
45,1753971177,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.15753768381321814
46,1753971182,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.15336759677812678
47,1753971187,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.16164997646447174
48,1753971192,5.0,0.0,5.0,0.0,5.0,0.596624,0.481265,70.0,288.0,0.16304433137107577
49,1753971197,5.0,0.0,5.0,0.0,5.0,0.503907,0.455622,70.0,288.0,0.16208292701192456
50,1753971202,5.0,0.0,5.0,0.0,5.0,0.503907,0.455622,70.0,288.0,0.1661192641433441
51,1753971207,5.0,0.0,5.0,0.0,5.0,0.503907,0.455622,70.0,288.0,0.16690011370888225
52,1753971212,5.0,0.0,5.0,0.0,5.0,0.503907,0.455622,70.0,288.0,0.16681316448776876
