,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753970952,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753970957,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753970962,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753970967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753970972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
5,1753970977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.006802143617858051
6,1753970982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.022982833922034214
7,1753970987,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.02783375991270495
8,1753970992,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.034412852130770416
9,1753970997,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.0449265924365833
10,1753971002,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.050942311729151285
11,1753971007,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.05841225580799223
12,1753971012,5.0,0.0,5.0,0.0,5.0,9.745418,0.174031,70.0,288.0,0.0672117451799205
13,1753971017,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.07440656260499551
14,1753971022,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.07276354330968574
15,1753971027,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.08156320459003599
16,1753971032,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.08538578426404314
17,1753971037,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.08114205248880536
18,1753971042,5.0,0.0,5.0,0.0,5.0,4.427611,0.179442,70.0,288.0,0.08409612140501335
19,1753971047,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.08606846472060933
20,1753971052,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.08397512358319949
21,1753971057,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.08676813334209366
22,1753971062,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.08881342347615274
23,1753971067,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.09070638654212428
24,1753971072,5.0,0.0,5.0,0.0,5.0,0.172091,0.173429,70.0,288.0,0.08877181853675595
25,1753971077,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.08978414893449072
26,1753971082,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.08957170245283709
27,1753971087,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.08969402456316797
28,1753971092,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.09326799221422373
29,1753971097,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.09277023159941204
30,1753971102,5.0,0.0,5.0,0.0,5.0,0.214487,0.180225,70.0,288.0,0.09060908905952789
31,1753971107,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.09232195566625123
32,1753971112,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.09428988785040009
33,1753971117,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.09497628659296739
34,1753971122,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.09036530729363632
35,1753971127,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.09514793320623596
36,1753971132,5.0,0.0,5.0,0.0,5.0,0.244536,0.199459,70.0,288.0,0.098465685445325
37,1753971137,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.10393846538909461
38,1753971142,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.10602096804830939
39,1753971147,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.10244447626184197
40,1753971152,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.1011766342965876
41,1753971157,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.10056563647303784
42,1753971162,5.0,0.0,5.0,0.0,5.0,0.238424,0.22428,70.0,288.0,0.09989193213603259
