,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753974356,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0008648841400079585
1,1753974361,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0016136100265639755
2,1753974366,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0018219396256003138
3,1753974371,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0018219396256003138
4,1753974376,5.0,0.0,1.0,0.0,5.0,0.065082,0.200159,70.0,-112.0,0.006420518285842496
5,1753974381,5.0,0.0,1.0,0.0,5.0,0.065082,0.200159,70.0,-112.0,0.007759808970877425
6,1753974386,5.0,0.0,1.0,0.1488822774411773,5.0,0.065082,0.200159,70.0,-112.0,0.007759808970877425
7,1753974391,5.0,0.0,1.0,0.1488822774411773,5.0,0.065082,0.200159,70.0,-112.0,0.015293917274939176
8,1753974396,5.0,0.0,1.0,0.1488822774411773,5.0,0.065082,0.200159,70.0,-112.0,0.015293917274939176
9,1753974401,5.0,0.0,1.0,0.1488822774411773,5.0,0.065082,0.200159,70.0,-112.0,0.01958533582841031
10,1753974406,5.0,0.0,1.0,0.1488822774411773,5.0,0.153187,0.068598,70.0,-112.0,0.01958533582841031
11,1753974411,5.0,0.0,1.0,0.1488822774411773,5.0,0.153187,0.068598,70.0,-112.0,0.02219948603305268
12,1753974416,5.0,0.0,1.0,0.014986023176054472,5.0,0.153187,0.068598,70.0,-112.0,0.02219948603305268
13,1753974421,5.0,0.0,1.0,0.014986023176054472,5.0,0.153187,0.068598,70.0,-112.0,0.018777044173942967
14,1753974426,5.0,0.0,1.0,0.014986023176054472,5.0,0.153187,0.068598,70.0,-112.0,0.018777044173942967
15,1753974431,5.0,0.0,1.0,0.014986023176054472,5.0,0.153187,0.068598,70.0,-112.0,0.018777044173942967
16,1753974436,5.0,0.0,1.0,0.014986023176054472,5.0,0.134814,0.186241,70.0,-112.0,0.012254211384369263
17,1753974441,5.0,0.0,1.0,0.014986023176054472,5.0,0.134814,0.186241,70.0,-112.0,0.011142797328699721
18,1753974446,5.0,0.0,1.0,0.05251513278868566,5.0,0.134814,0.186241,70.0,-112.0,0.011142797328699721
19,1753974451,5.0,0.0,1.0,0.05251513278868566,5.0,0.134814,0.186241,70.0,-112.0,0.005795359644396529
20,1753974456,5.0,0.0,1.0,0.05251513278868566,5.0,0.134814,0.186241,70.0,-112.0,0.007302477156941615
21,1753974461,5.0,0.0,1.0,0.05251513278868566,5.0,0.134814,0.186241,70.0,-112.0,0.007302477156941615
22,1753974466,5.0,0.0,1.0,0.05251513278868566,5.0,0.069522,0.050176,70.0,-112.0,0.007302477156941615
23,1753974471,5.0,0.0,1.0,0.05251513278868566,5.0,0.069522,0.050176,70.0,-112.0,0.008104660298556833
24,1753974476,5.0,0.0,1.0,0.004614798212507589,5.0,0.069522,0.050176,70.0,-112.0,0.008104660298556833
25,1753974481,5.0,0.0,1.0,0.004614798212507589,5.0,0.069522,0.050176,70.0,-112.0,0.007629511478541327
26,1753974486,5.0,0.0,1.0,0.004614798212507589,5.0,0.069522,0.050176,70.0,-112.0,0.00887921111386755
27,1753974491,5.0,0.0,1.0,0.004614798212507589,5.0,0.069522,0.050176,70.0,-112.0,0.007558730347312984
28,1753974496,5.0,0.0,1.0,0.004614798212507589,5.0,0.08869,0.081423,70.0,-112.0,0.007558730347312983
29,1753974501,5.0,0.0,1.0,0.004614798212507589,5.0,0.08869,0.081423,70.0,-112.0,0.004439644444444429
30,1753974506,5.0,0.0,1.0,0.09795697210351552,5.0,0.08869,0.081423,70.0,-112.0,0.004824342470264667
31,1753974511,5.0,0.0,1.0,0.09795697210351552,5.0,0.08869,0.081423,70.0,-112.0,0.009719152926467129
32,1753974516,5.0,0.0,1.0,0.09795697210351552,5.0,0.08869,0.081423,70.0,-112.0,0.009499499974998745
33,1753974521,5.0,0.0,1.0,0.09795697210351552,5.0,0.08869,0.081423,70.0,-112.0,0.013228314689161923
34,1753974526,5.0,0.0,1.0,0.09795697210351552,5.0,0.150383,0.225819,70.0,-112.0,0.013228314689161923
35,1753974531,5.0,0.0,1.0,0.09795697210351552,5.0,0.150383,0.225819,70.0,-112.0,0.01499895920537591
36,1753974536,5.0,0.0,1.0,0.0075754296092379455,5.0,0.150383,0.225819,70.0,-112.0,0.015402658167762925
37,1753974541,5.0,0.0,1.0,0.0075754296092379455,5.0,0.150383,0.225819,70.0,-112.0,0.018131855070087716
38,1753974546,5.0,0.0,1.0,0.0075754296092379455,5.0,0.150383,0.225819,70.0,-112.0,0.018131855070087716
39,1753974551,5.0,0.0,1.0,0.0075754296092379455,5.0,0.150383,0.225819,70.0,-112.0,0.020019847900965122
40,1753974556,5.0,0.0,1.0,0.0075754296092379455,5.0,0.151783,0.201573,70.0,-112.0,0.013965747902821683
41,1753974561,5.0,0.0,1.0,0.0075754296092379455,5.0,0.151783,0.201573,70.0,-112.0,0.013965747902821683
42,1753974566,5.0,0.0,1.0,0.02503662894057328,5.0,0.151783,0.201573,70.0,-112.0,0.013965747902821683
43,1753974571,5.0,0.0,1.0,0.02503662894057328,5.0,0.151783,0.201573,70.0,-112.0,0.008415803108808304
44,1753974576,5.0,0.0,1.0,0.02503662894057328,5.0,0.151783,0.201573,70.0,-112.0,0.008415803108808304
45,1753974581,5.0,0.0,1.0,0.02503662894057328,5.0,0.151783,0.201573,70.0,-112.0,0.004835219382478956
46,1753974586,5.0,0.0,1.0,0.02503662894057328,5.0,0.118922,0.034745,70.0,-112.0,0.006966874814154044
47,1753974591,5.0,0.0,1.0,0.02503662894057328,5.0,0.118922,0.034745,70.0,-112.0,0.006966874814154044
48,1753974596,5.0,0.0,1.0,0.012672098544086739,5.0,0.118922,0.034745,70.0,-112.0,0.008783632982021073
49,1753974601,5.0,0.0,1.0,0.012672098544086739,5.0,0.118922,0.034745,70.0,-112.0,0.008783632982021073
50,1753974606,5.0,0.0,1.0,0.012672098544086739,5.0,0.118922,0.034745,70.0,-112.0,0.007308312689750205
51,1753974611,5.0,0.0,1.0,0.012672098544086739,5.0,0.118922,0.034745,70.0,-112.0,0.007308312689750205
52,1753974616,5.0,0.0,1.0,0.012672098544086739,5.0,0.096417,0.201901,70.0,-112.0,0.007761533391915626
53,1753974621,5.0,0.0,1.0,0.012672098544086739,5.0,0.096417,0.201901,70.0,-112.0,0.006475093835485721
54,1753974626,5.0,0.0,1.0,0.0,5.0,0.096417,0.201901,70.0,-112.0,0.006475093835485721
55,1753974631,5.0,0.0,1.0,0.0,5.0,0.096417,0.201901,70.0,-112.0,0.0033670291410311313
56,1753974636,5.0,0.0,1.0,0.0,5.0,0.096417,0.201901,70.0,-112.0,0.0033670291410311313
57,1753974641,5.0,0.0,1.0,0.0,5.0,0.096417,0.201901,70.0,-112.0,0.0033670291410311313
58,1753974646,5.0,0.0,1.0,0.0,5.0,0.181985,0.07762,70.0,-112.0,0.002561849172409277
59,1753974651,5.0,0.0,1.0,0.0,5.0,0.181985,0.07762,70.0,-112.0,0.00283725858465643
60,1753974656,5.0,0.0,1.0,0.13461370899799602,5.0,0.181985,0.07762,70.0,-112.0,0.003304912946965838
61,1753974661,5.0,0.0,1.0,0.13461370899799602,5.0,0.181985,0.07762,70.0,-112.0,0.0070518265490084504
62,1753974666,5.0,0.0,1.0,0.13461370899799602,5.0,0.181985,0.07762,70.0,-112.0,0.008316108118415396
63,1753974671,5.0,0.0,1.0,0.13461370899799602,5.0,0.181985,0.07762,70.0,-112.0,0.008316108118415396
64,1753974676,5.0,0.0,1.0,0.13461370899799602,5.0,0.178711,0.029856,70.0,-112.0,0.006848222634313764
65,1753974681,5.0,0.0,1.0,0.13461370899799602,5.0,0.178711,0.029856,70.0,-112.0,0.010265992300761743
66,1753974686,5.0,0.0,1.0,0.05641352129884492,5.0,0.178711,0.029856,70.0,-112.0,0.010265992300761743
67,1753974691,5.0,0.0,1.0,0.05641352129884492,5.0,0.178711,0.029856,70.0,-112.0,0.012788590830391475
68,1753974696,5.0,0.0,1.0,0.05641352129884492,5.0,0.178711,0.029856,70.0,-112.0,0.012788590830391475
69,1753974701,5.0,0.0,1.0,0.05641352129884492,5.0,0.178711,0.029856,70.0,-112.0,0.013248156258211437
70,1753974706,5.0,0.0,1.0,0.05641352129884492,5.0,0.060262,0.055368,70.0,-112.0,0.012164596347622108
71,1753974711,5.0,0.0,1.0,0.05641352129884492,5.0,0.060262,0.055368,70.0,-112.0,0.012164596347622108
72,1753974716,5.0,0.0,1.0,0.02616797814008493,5.0,0.060262,0.055368,70.0,-112.0,0.01037264993398114
73,1753974721,5.0,0.0,1.0,0.02616797814008493,5.0,0.060262,0.055368,70.0,-112.0,0.010998699820966223
74,1753974726,5.0,0.0,1.0,0.02616797814008493,5.0,0.060262,0.055368,70.0,-112.0,0.012843071983379362
75,1753974731,5.0,0.0,1.0,0.02616797814008493,5.0,0.060262,0.055368,70.0,-112.0,0.014885527653326305
76,1753974736,5.0,0.0,1.0,0.02616797814008493,5.0,0.08734,0.240611,70.0,-112.0,0.014885527653326305
77,1753974741,5.0,0.0,1.0,0.02616797814008493,5.0,0.08734,0.240611,70.0,-112.0,0.018717657175616284
78,1753974746,5.0,0.0,1.0,0.03602713788801522,5.0,0.08734,0.240611,70.0,-112.0,0.018717657175616284
79,1753974751,5.0,0.0,1.0,0.03602713788801522,5.0,0.08734,0.240611,70.0,-112.0,0.019939850949191804
80,1753974756,5.0,0.0,1.0,0.03602713788801522,5.0,0.08734,0.240611,70.0,-112.0,0.016794561015856236
81,1753974761,5.0,0.0,1.0,0.03602713788801522,5.0,0.08734,0.240611,70.0,-112.0,0.015718501126344816
82,1753974766,5.0,0.0,1.0,0.03602713788801522,5.0,0.105253,0.0155,70.0,-112.0,0.0194038268380876
83,1753974771,5.0,0.0,1.0,0.03602713788801522,5.0,0.105253,0.0155,70.0,-112.0,0.0194038268380876
84,1753974776,5.0,0.0,1.0,0.005526889594723616,5.0,0.105253,0.0155,70.0,-112.0,0.015928016709389533
85,1753974781,5.0,0.0,1.0,0.005526889594723616,5.0,0.105253,0.0155,70.0,-112.0,0.014131121718377075
86,1753974786,5.0,0.0,1.0,0.005526889594723616,5.0,0.105253,0.0155,70.0,-112.0,0.014131121718377075
87,1753974791,5.0,0.0,1.0,0.005526889594723616,5.0,0.105253,0.0155,70.0,-112.0,0.0066044013412846795
88,1753974796,5.0,0.0,1.0,0.005526889594723616,5.0,0.095559,0.170077,70.0,-112.0,0.0066044013412846795
89,1753974801,5.0,0.0,1.0,0.005526889594723616,5.0,0.095559,0.170077,70.0,-112.0,0.003670162021255904
90,1753974806,5.0,0.0,1.0,0.07737006485914628,5.0,0.095559,0.170077,70.0,-112.0,0.0053201564245809775
91,1753974811,5.0,0.0,1.0,0.07737006485914628,5.0,0.095559,0.170077,70.0,-112.0,0.0053201564245809775
92,1753974816,5.0,0.0,1.0,0.07737006485914628,5.0,0.095559,0.170077,70.0,-112.0,0.0053201564245809775
93,1753974821,5.0,0.0,1.0,0.07737006485914628,5.0,0.095559,0.170077,70.0,-112.0,0.009113535237548463
94,1753974826,5.0,0.0,1.0,0.07737006485914628,5.0,0.097417,0.05274,70.0,-112.0,0.009113535237548463
95,1753974831,5.0,0.0,1.0,0.07737006485914628,5.0,0.097417,0.05274,70.0,-112.0,0.009113535237548463
