,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753971825,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753971830,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753971835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753971840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753971845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.011426657170920947
5,1753971850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.025522777289303758
6,1753971855,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.030872981032093176
7,1753971860,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.05009932094825102
8,1753971865,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.06164815994097916
9,1753971870,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.0720681579486871
10,1753971875,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.09274897906562841
11,1753971880,5.0,0.0,5.0,0.0,5.0,1.99104,0.387989,70.0,288.0,0.102399125247064
12,1753971885,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.12006602826017265
13,1753971890,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.1347149366678572
14,1753971895,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.14897318078718963
15,1753971900,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.15073734030916797
16,1753971905,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.15356756916035053
17,1753971910,5.0,0.0,5.0,0.0,5.0,1.201187,0.499702,70.0,288.0,0.15430512787044046
18,1753971915,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.14814787622305933
19,1753971920,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.14559768955183877
20,1753971925,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.1471519859060428
21,1753971930,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.14076631806694995
22,1753971935,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.1480964511354529
23,1753971940,5.0,0.0,5.0,0.0,5.0,0.468324,0.43429,70.0,288.0,0.13945355871864937
24,1753971945,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.14845054950610173
25,1753971950,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.1539085212322645
26,1753971955,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.1539085212322645
27,1753971960,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.15339853132136905
28,1753971965,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.14983153669767563
29,1753971970,5.0,0.0,5.0,0.0,5.0,0.497711,0.551906,70.0,288.0,0.15494564878992265
30,1753971975,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.1476664991389724
31,1753971980,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.15405068271270536
32,1753971985,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.1565307929958009
33,1753971990,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.15996700423923327
34,1753971995,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.1611732143643698
35,1753972000,5.0,0.0,5.0,0.0,5.0,0.549098,0.675676,70.0,288.0,0.16594251212054856
36,1753972005,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.16418058569702362
37,1753972010,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.18276523162737576
38,1753972015,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.18101012310203407
39,1753972020,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.18291988036210294
40,1753972025,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.18172712108489703
41,1753972030,5.0,0.0,5.0,0.0,5.0,0.694107,0.69319,70.0,288.0,0.1817114482902629
42,1753972035,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.17422233006117574
43,1753972040,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.16669080876864836
44,1753972045,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.1551703900386252
45,1753972050,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.14808592665445658
46,1753972055,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.15944635380932287
47,1753972060,5.0,0.0,5.0,0.0,5.0,0.675151,0.455462,70.0,288.0,0.1511283827081209
48,1753972065,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.1598977919700631
49,1753972070,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.15619463610239695
50,1753972075,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.1518750750647619
51,1753972080,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.15772085021571028
52,1753972085,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.1595354468293473
53,1753972090,5.0,0.0,5.0,0.0,5.0,0.545031,0.634672,70.0,288.0,0.1637277722465627
54,1753972095,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.15761191440742217
55,1753972100,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.1580287932064048
56,1753972105,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.14709295346308243
57,1753972110,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.14992505029342465
58,1753972115,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.14853884742656492
59,1753972120,5.0,0.0,5.0,0.0,5.0,0.551846,0.422974,70.0,288.0,0.15321668115876305
60,1753972125,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.14869461928161112
61,1753972130,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.15136169265516097
62,1753972135,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.15646809955930985
63,1753972140,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.1598269326391783
64,1753972145,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.16273965206670513
65,1753972150,5.0,0.0,5.0,0.0,5.0,0.538285,0.749394,70.0,288.0,0.16225300793323003
66,1753972155,5.0,0.0,5.0,0.0,5.0,0.539127,0.441643,70.0,288.0,0.16282068308434627
67,1753972160,5.0,0.0,5.0,0.0,5.0,0.539127,0.441643,70.0,288.0,0.15800457003745919
