,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753973526,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.000574948308179858
1,1753973531,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.000574948308179858
2,1753973536,5.0,0.0,1.0,,5.0,0.18639,0.878625,70.0,-112.0,0.0006479386892177718
3,1753973541,5.0,0.0,1.0,,5.0,0.18639,0.878625,70.0,-112.0,0.00770291229001561
4,1753973546,5.0,0.0,1.0,1.2550211941448122,5.0,0.18639,0.878625,70.0,-112.0,0.009803267724411816
5,1753973551,5.0,0.0,1.0,1.2550211941448122,5.0,0.18639,0.878625,70.0,-112.0,0.022640897863673726
6,1753973556,5.0,0.0,1.0,1.2550211941448122,5.0,0.18639,0.878625,70.0,-112.0,0.022640897863673726
7,1753973561,5.0,0.0,1.0,1.2550211941448122,5.0,0.18639,0.878625,70.0,-112.0,0.022640897863673726
8,1753973566,5.0,0.0,1.0,1.2550211941448122,5.0,0.891352,0.69099,70.0,-112.0,0.03093210477907983
9,1753973571,5.0,0.0,1.0,1.2550211941448122,5.0,0.891352,0.69099,70.0,-112.0,0.04220691420162514
10,1753973576,5.0,0.0,1.0,0.13285418396728993,5.0,0.891352,0.69099,70.0,-112.0,0.04220691420162514
11,1753973581,5.0,0.0,1.0,0.13285418396728993,5.0,0.891352,0.69099,70.0,-112.0,0.04220691420162514
12,1753973586,5.0,0.0,1.0,0.13285418396728993,5.0,0.891352,0.69099,70.0,-112.0,0.04993563009972796
13,1753973591,5.0,0.0,1.0,0.13285418396728993,5.0,0.891352,0.69099,70.0,-112.0,0.04000265560844074
14,1753973596,5.0,0.0,1.0,0.13285418396728993,5.0,0.510569,0.236272,70.0,-112.0,0.04000265560844074
15,1753973601,5.0,0.0,1.0,0.13285418396728993,5.0,0.510569,0.236272,70.0,-112.0,0.03617475942926675
16,1753973606,5.0,0.0,1.0,0.2187265794008286,5.0,0.510569,0.236272,70.0,-112.0,0.03617475942926675
17,1753973611,5.0,0.0,1.0,0.2187265794008286,5.0,0.510569,0.236272,70.0,-112.0,0.014759371221281764
18,1753973616,5.0,0.0,1.0,0.2187265794008286,5.0,0.510569,0.236272,70.0,-112.0,0.014759371221281764
19,1753973621,5.0,0.0,1.0,0.2187265794008286,5.0,0.510569,0.236272,70.0,-112.0,0.014759371221281764
20,1753973626,5.0,0.0,1.0,0.2187265794008286,5.0,0.193114,0.17571,70.0,-112.0,0.01491902632886233
21,1753973631,5.0,0.0,1.0,0.2187265794008286,5.0,0.193114,0.17571,70.0,-112.0,0.011870208074182842
22,1753973636,5.0,0.0,1.0,0.28846638980517464,5.0,0.193114,0.17571,70.0,-112.0,0.01310268704008671
23,1753973641,5.0,0.0,1.0,0.28846638980517464,5.0,0.193114,0.17571,70.0,-112.0,0.01310268704008671
24,1753973646,5.0,0.0,1.0,0.28846638980517464,5.0,0.193114,0.17571,70.0,-112.0,0.013208765957446826
25,1753973651,5.0,0.0,1.0,0.28846638980517464,5.0,0.193114,0.17571,70.0,-112.0,0.01300777867337947
26,1753973656,5.0,0.0,1.0,0.28846638980517464,5.0,0.216876,0.203621,70.0,-112.0,0.015254017493897506
27,1753973661,5.0,0.0,1.0,0.28846638980517464,5.0,0.216876,0.203621,70.0,-112.0,0.013035235904868485
28,1753973666,5.0,0.0,1.0,0.6937305798473855,5.0,0.216876,0.203621,70.0,-112.0,0.013609405569472138
29,1753973671,5.0,0.0,1.0,0.6937305798473855,5.0,0.216876,0.203621,70.0,-112.0,0.01292026535195284
30,1753973676,5.0,0.0,1.0,0.6937305798473855,5.0,0.216876,0.203621,70.0,-112.0,0.011098041372189782
31,1753973681,5.0,0.0,1.0,0.6937305798473855,5.0,0.216876,0.203621,70.0,-112.0,0.019855866874212483
32,1753973686,5.0,0.0,1.0,0.6937305798473855,5.0,0.546473,0.931416,70.0,-112.0,0.02085884201619723
33,1753973691,5.0,0.0,1.0,0.6937305798473855,5.0,0.546473,0.931416,70.0,-112.0,0.02085884201619723
34,1753973696,5.0,0.0,1.0,1.36296607344496,5.0,0.546473,0.931416,70.0,-112.0,0.03247223422422474
35,1753973701,5.0,0.0,1.0,1.36296607344496,5.0,0.546473,0.931416,70.0,-112.0,0.03247223422422474
36,1753973706,5.0,0.0,1.0,1.36296607344496,5.0,0.546473,0.931416,70.0,-112.0,0.043136161251504074
37,1753973711,5.0,0.0,1.0,1.36296607344496,5.0,0.546473,0.931416,70.0,-112.0,0.043136161251504074
38,1753973716,5.0,0.0,1.0,1.36296607344496,5.0,0.683519,0.224798,70.0,-112.0,0.03496953565803369
39,1753973721,5.0,0.0,1.0,1.36296607344496,5.0,0.683519,0.224798,70.0,-112.0,0.03496953565803369
40,1753973726,5.0,0.0,1.0,0.0,5.0,0.683519,0.224798,70.0,-112.0,0.033864115188641394
41,1753973731,5.0,0.0,1.0,0.0,5.0,0.683519,0.224798,70.0,-112.0,0.024381489930774086
42,1753973736,5.0,0.0,1.0,0.0,5.0,0.683519,0.224798,70.0,-112.0,0.024381489930774086
43,1753973741,5.0,0.0,1.0,0.0,5.0,0.683519,0.224798,70.0,-112.0,0.011478846212421269
44,1753973746,5.0,0.0,1.0,0.0,5.0,0.229854,0.395681,70.0,-112.0,0.014336700678889388
45,1753973751,5.0,0.0,1.0,0.0,5.0,0.229854,0.395681,70.0,-112.0,0.014336700678889388
46,1753973756,5.0,0.0,1.0,0.19305458936536085,5.0,0.229854,0.395681,70.0,-112.0,0.011933211486632999
47,1753973761,5.0,0.0,1.0,0.19305458936536085,5.0,0.229854,0.395681,70.0,-112.0,0.011933211486632999
48,1753973766,5.0,0.0,1.0,0.19305458936536085,5.0,0.229854,0.395681,70.0,-112.0,0.013815497640711171
49,1753973771,5.0,0.0,1.0,0.19305458936536085,5.0,0.229854,0.395681,70.0,-112.0,0.013815497640711171
50,1753973776,5.0,0.0,1.0,0.19305458936536085,5.0,0.207398,0.219386,70.0,-112.0,0.018569346894762848
51,1753973781,5.0,0.0,1.0,0.19305458936536085,5.0,0.207398,0.219386,70.0,-112.0,0.01440905905711061
52,1753973786,5.0,0.0,1.0,0.0,5.0,0.207398,0.219386,70.0,-112.0,0.01440905905711061
53,1753973791,5.0,0.0,1.0,0.0,5.0,0.207398,0.219386,70.0,-112.0,0.011762676036221421
54,1753973796,5.0,0.0,1.0,0.0,5.0,0.207398,0.219386,70.0,-112.0,0.008791804163916745
55,1753973801,5.0,0.0,1.0,0.0,5.0,0.207398,0.219386,70.0,-112.0,0.008791804163916745
56,1753973806,5.0,0.0,1.0,0.0,5.0,0.141914,0.261862,70.0,-112.0,0.0037293948848756376
57,1753973811,5.0,0.0,1.0,0.0,5.0,0.141914,0.261862,70.0,-112.0,0.0037293948848756376
58,1753973816,5.0,0.0,1.0,0.45839971277994923,5.0,0.141914,0.261862,70.0,-112.0,0.0037293948848756376
59,1753973821,5.0,0.0,1.0,0.45839971277994923,5.0,0.141914,0.261862,70.0,-112.0,0.0037293948848756385
60,1753973826,5.0,0.0,1.0,0.45839971277994923,5.0,0.141914,0.261862,70.0,-112.0,0.012226388062333296
