,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1753973526,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,-191.0,0.013797019696938622
1,1753973531,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,-191.0,0.015147931342207089
2,1753973536,1.0,0.0,1.0,0.0,1.0,0.083333,0.333333,14.0,-192.0,0.016210939743221624
3,1753973541,1.0,0.0,1.0,0.0,1.0,0.083333,0.333333,14.0,-192.0,0.011602343698276434
4,1753973546,1.0,0.0,1.0,0.012535715826813417,1.0,0.083333,0.333333,14.0,-192.0,0.011602343698276434
5,1753973551,1.0,0.0,1.0,0.012535715826813417,1.0,0.083333,0.333333,14.0,-192.0,0.011602343698276433
6,1753973556,1.0,0.0,1.0,0.012535715826813417,1.0,0.083333,0.333333,14.0,-192.0,0.002029758939594118
7,1753973561,1.0,0.0,1.0,0.012535715826813417,1.0,0.083333,0.333333,14.0,-192.0,0.002029758939594118
8,1753973566,1.0,0.0,1.0,0.012535715826813417,1.0,0.138079,0.006436,14.0,-192.0,0.0017320432887836807
9,1753973571,1.0,0.0,1.0,0.012535715826813417,1.0,0.138079,0.006436,14.0,-192.0,0.0021783054692508766
10,1753973576,1.0,0.0,1.0,0.0,1.0,0.138079,0.006436,14.0,-192.0,0.0021783054692508766
11,1753973581,1.0,0.0,1.0,0.0,1.0,0.138079,0.006436,14.0,-192.0,0.002032012827768347
12,1753973586,1.0,0.0,1.0,0.0,1.0,0.138079,0.006436,14.0,-192.0,0.0020252675908054053
13,1753973591,1.0,0.0,1.0,0.0,1.0,0.138079,0.006436,14.0,-192.0,0.0020252675908054053
14,1753973596,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.0020368019598017927
15,1753973601,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.0018036551077788177
16,1753973606,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.0018036551077788177
17,1753973611,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.0017156037184222967
18,1753973616,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.001701471374445039
19,1753973621,1.0,0.0,1.0,0.0,1.0,0.138177,0.0,14.0,-191.0,0.00164393304660299
20,1753973626,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0016705694131335898
21,1753973631,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0016705694131335898
22,1753973636,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0016731209325609674
23,1753973641,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0015408421153020855
24,1753973646,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0015285015511695625
25,1753973651,1.0,0.0,1.0,0.0,1.0,0.152872,0.4,14.0,-192.0,0.0015285015511695625
