,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753969269,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753969274,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753969279,5.0,0.0,3.0,,5.0,17.059601,17.059601,70.0,71.0,
3,1753969284,5.0,0.0,3.0,,5.0,17.059601,17.059601,70.0,71.0,
4,1753969289,5.0,0.0,3.0,0.0,5.0,17.059601,17.059601,70.0,71.0,0.02376926402019821
5,1753969294,5.0,0.0,3.0,0.0,5.0,17.059601,17.059601,70.0,71.0,0.03700696056601592
6,1753969299,5.0,0.0,3.0,0.0,5.0,17.059601,17.059601,70.0,71.0,0.04438944550837569
7,1753969304,5.0,0.0,3.0,0.0,5.0,17.059601,17.059601,70.0,71.0,0.04928390647884416
8,1753969309,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.05661828717246159
9,1753969314,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.06093113970570427
10,1753969319,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.06652481387570183
11,1753969324,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.08285003777837978
12,1753969329,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.09164289665442069
13,1753969334,5.0,0.0,5.0,0.0,5.0,2.607608,0.15044,70.0,288.0,0.09307041014874025
14,1753969339,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.09675193806859711
15,1753969344,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.0932535033397621
16,1753969349,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.09837992702244205
17,1753969354,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.10429607093738472
18,1753969359,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.10045036443545308
19,1753969364,5.0,0.0,5.0,0.0,5.0,0.14991,0.154432,70.0,288.0,0.09691863735000572
20,1753969369,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.101217668637629
21,1753969374,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.10351235042419746
22,1753969379,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.10422189080020547
23,1753969384,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.10337525728629446
24,1753969389,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.10369632246949922
25,1753969394,5.0,0.0,5.0,0.0,5.0,0.179174,0.1873,70.0,288.0,0.09662644606806929
26,1753969399,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10406209754016214
27,1753969404,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10343310079815189
28,1753969409,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10585437454396447
29,1753969414,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10380105461029096
30,1753969419,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10777589315232515
31,1753969424,5.0,0.0,5.0,0.0,5.0,0.185756,0.179102,70.0,288.0,0.10539933455226955
32,1753969429,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.11116291150263088
33,1753969434,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.11082042413971133
34,1753969439,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.11535588258007758
35,1753969444,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.11412461957236172
36,1753969449,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.11949007924747967
37,1753969454,5.0,0.0,5.0,0.0,5.0,0.196976,0.198504,70.0,288.0,0.12205314914889948
38,1753969459,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.12464643825829468
39,1753969464,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.12200548852934646
40,1753969469,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.11430988728334415
41,1753969474,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.11868056303785761
42,1753969479,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.11854897544943005
43,1753969484,5.0,0.0,5.0,0.0,5.0,0.228852,0.212199,70.0,288.0,0.11625799329006095
44,1753969489,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.1126402758391033
45,1753969494,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.10767628236255727
46,1753969499,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.10770983687707955
47,1753969504,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.10467569452573153
48,1753969509,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.10483419684927708
49,1753969514,5.0,0.0,5.0,0.0,5.0,0.223506,0.19065,70.0,288.0,0.11075923515758627
50,1753969519,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.10918559352906246
51,1753969524,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.11537723280723201
52,1753969529,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.11248337060545274
53,1753969534,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.11616358147971713
54,1753969539,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.1141974007944229
55,1753969544,5.0,0.0,5.0,0.0,5.0,0.207416,0.205398,70.0,288.0,0.11377111120135915
56,1753969549,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.10462831069184558
57,1753969554,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.10769717653547003
58,1753969559,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.10273714754410739
59,1753969564,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.09491185176957434
60,1753969569,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.10291558109313106
61,1753969574,5.0,0.0,5.0,0.0,5.0,0.206002,0.151202,70.0,288.0,0.10466572945718608
62,1753969579,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.10412733881261847
63,1753969584,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.10833370240503107
64,1753969589,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.11057764901393524
65,1753969594,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.1115984588763016
66,1753969599,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.11142083485838988
67,1753969604,5.0,0.0,5.0,0.0,5.0,0.202958,0.235576,70.0,288.0,0.11158813309118881
68,1753969609,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.11576440886455389
69,1753969614,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.10469271048679996
70,1753969619,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.11230160836887104
71,1753969624,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.1124917034061095
72,1753969629,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.10980749654656814
73,1753969634,5.0,0.0,5.0,0.0,5.0,0.213612,0.183118,70.0,288.0,0.1074083158085555
74,1753969639,5.0,0.0,5.0,0.0,5.0,0.200549,0.186099,70.0,288.0,0.10742462036210455
