,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753976137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.0007261707914277158
1,1753976142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.0004513379173466669
2,1753976147,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.0003985689894320316
3,1753976152,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.0003458000615173964
4,1753976157,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.00032197284531486705
5,1753976162,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.012418454359765308
6,1753976167,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.01830548462345902
7,1753976172,5.0,0.0,5.0,0.0,5.0,0.033333,0.666666,70.0,-212.0,0.023257446560537378
8,1753976177,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.0312777355762506
9,1753976182,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.03811411743048988
10,1753976187,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.04424142660424131
11,1753976192,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.05306354348517926
12,1753976197,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.06132990807296887
13,1753976202,5.0,0.0,5.0,0.0,5.0,0.111359,0.135423,70.0,288.0,0.06913067560706909
14,1753976207,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.07608443105716206
15,1753976212,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.08494695377129317
16,1753976217,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.08496390601151843
17,1753976222,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.08793232594077197
18,1753976227,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.08371682559343893
19,1753976232,5.0,0.0,5.0,0.0,5.0,0.164633,0.16653,70.0,288.0,0.08916839570046811
20,1753976237,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.08899938216962394
21,1753976242,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.08827810735849484
22,1753976247,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.0874629995568201
23,1753976252,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.08616137020863468
24,1753976257,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.08640992475020948
25,1753976262,5.0,0.0,5.0,0.0,5.0,0.166463,0.159472,70.0,288.0,0.09148464816213865
26,1753976267,5.0,0.0,5.0,0.0,5.0,0.173599,0.163921,70.0,288.0,0.08793365568326528
