,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754072536,5.0,0.0,5.0,1.0,5.0,19.761458,34.153186,30.0,4.0,0.19134974064068683
1,1754072541,5.0,0.0,5.0,1.0,5.0,19.761458,34.153186,30.0,4.0,0.19837029869954903
2,1754072546,5.0,0.0,5.0,1.0,5.0,25.315116,11.842554,30.0,27.0,0.20587879108697596
3,1754072551,5.0,0.0,5.0,1.0,5.0,25.315116,11.842554,30.0,27.0,0.20510788910636385
4,1754072556,5.0,0.0,5.0,0.0,5.0,25.315116,11.842554,30.0,27.0,0.21689250634957521
5,1754072561,5.0,0.0,5.0,0.0,5.0,25.315116,11.842554,30.0,27.0,0.2141883849324113
6,1754072566,5.0,0.0,5.0,0.0,5.0,25.315116,11.842554,30.0,27.0,0.1995901254398832
7,1754072571,5.0,0.0,5.0,0.0,5.0,25.315116,11.842554,30.0,27.0,0.19593857355987776
8,1754072576,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.1746639930064349
9,1754072581,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.19325446657807238
10,1754072586,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.18924900072526743
11,1754072591,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.18979844972881532
12,1754072596,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.19143337703592192
13,1754072601,5.0,0.0,5.0,0.0,5.0,19.038498,23.353321,30.0,15.0,0.209948482408228
14,1754072606,5.0,0.0,5.0,0.0,5.0,34.328064,38.259703,30.0,0.0,0.21593087950799747
15,1754072611,5.0,0.0,5.0,0.0,5.0,34.328064,38.259703,30.0,0.0,0.2203259556730079
16,1754072616,5.0,0.0,5.0,1.0,5.0,34.328064,38.259703,30.0,0.0,0.2151351449678285
17,1754072621,5.0,0.0,5.0,1.0,5.0,34.328064,38.259703,30.0,0.0,0.21495591419027074
18,1754072626,5.0,0.0,5.0,1.0,5.0,34.328064,38.259703,30.0,0.0,0.21013480350952693
19,1754072631,5.0,0.0,5.0,1.0,5.0,34.328064,38.259703,30.0,0.0,0.2189591195268177
20,1754072636,5.0,0.0,5.0,1.0,5.0,38.297717,45.119271,30.0,-7.0,0.21501023597521046
21,1754072641,5.0,0.0,5.0,1.0,5.0,38.297717,45.119271,30.0,-7.0,0.21209848787062327
22,1754072646,5.0,0.0,5.0,27.413618724884053,5.0,38.297717,45.119271,30.0,-7.0,0.20864096960478298
23,1754072651,5.0,0.0,5.0,27.413618724884053,5.0,38.297717,45.119271,30.0,-7.0,0.2049027522712141
24,1754072656,5.0,0.0,5.0,27.413618724884053,5.0,38.297717,45.119271,30.0,-7.0,0.18807978710480552
25,1754072661,5.0,0.0,5.0,27.413618724884053,5.0,38.297717,45.119271,30.0,-7.0,0.1923145471314951
26,1754072666,5.0,0.0,5.0,27.413618724884053,5.0,54.517615,62.208177,30.0,-24.0,0.18153427647414225
27,1754072671,5.0,0.0,5.0,27.413618724884053,5.0,54.517615,62.208177,30.0,-24.0,0.1835160202465307
28,1754072676,5.0,0.0,5.0,157.96884604229652,5.0,54.517615,62.208177,30.0,-24.0,0.18315759176751725
29,1754072681,5.0,0.0,5.0,157.96884604229652,5.0,54.517615,62.208177,30.0,-24.0,0.17804061848723485
30,1754072686,5.0,0.0,5.0,157.96884604229652,5.0,54.517615,62.208177,30.0,-24.0,0.1657887756585123
31,1754072691,5.0,0.0,5.0,157.96884604229652,5.0,54.517615,62.208177,30.0,-24.0,0.17249191574099476
32,1754072696,5.0,0.0,5.0,157.96884604229652,5.0,64.032646,63.623161,30.0,-25.0,0.1728042992048507
33,1754072701,5.0,0.0,5.0,157.96884604229652,5.0,64.032646,63.623161,30.0,-25.0,0.17013158971359016
34,1754072706,5.0,0.0,5.0,48.532226633408165,5.0,64.032646,63.623161,30.0,-25.0,0.17394707484726116
35,1754072711,5.0,0.0,5.0,48.532226633408165,5.0,64.032646,63.623161,30.0,-25.0,0.16888910756217926
36,1754072716,5.0,0.0,5.0,48.532226633408165,5.0,64.032646,63.623161,30.0,-25.0,0.1725918045596613
37,1754072721,5.0,0.0,5.0,48.532226633408165,5.0,64.032646,63.623161,30.0,-25.0,0.17853059584549094
38,1754072726,5.0,0.0,5.0,48.532226633408165,5.0,71.047404,65.53537,30.0,-27.0,0.1813176025696196
39,1754072731,5.0,0.0,5.0,48.532226633408165,5.0,71.047404,65.53537,30.0,-27.0,0.17802893669803077
40,1754072736,5.0,0.0,5.0,53.78843687979095,5.0,71.047404,65.53537,30.0,-27.0,0.17669099308631495
41,1754072741,5.0,0.0,5.0,53.78843687979095,5.0,71.047404,65.53537,30.0,-27.0,0.17509165387380277
42,1754072746,5.0,0.0,5.0,53.78843687979095,5.0,71.047404,65.53537,30.0,-27.0,0.16010734253705872
43,1754072751,5.0,0.0,5.0,53.78843687979095,5.0,71.047404,65.53537,30.0,-27.0,0.1591198812890153
44,1754072756,5.0,0.0,5.0,53.78843687979095,5.0,94.046524,0.0,30.0,39.0,0.12119688826942099
45,1754072761,5.0,0.0,5.0,53.78843687979095,5.0,94.046524,0.0,30.0,39.0,0.19129926621456506
