,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754073549,5.0,0.0,5.0,0.0,5.0,0.242835,0.391621,70.0,288.0,0.09796477083239227
1,1754073554,5.0,0.0,5.0,0.0,5.0,0.242835,0.391621,70.0,288.0,0.1016690386393069
2,1754073559,5.0,0.0,5.0,0.0,5.0,0.242835,0.391621,70.0,288.0,0.10430803971958513
3,1754073564,5.0,0.0,5.0,0.0,5.0,0.242835,0.391621,70.0,288.0,0.10924141525280787
4,1754073569,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.10152679860385437
5,1754073574,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.10334236153216529
6,1754073579,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.09951625317452878
7,1754073584,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.10074084238660366
8,1754073589,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.0883053163674286
9,1754073594,5.0,0.0,5.0,0.0,5.0,0.260901,0.184355,70.0,288.0,0.0916235850700213
10,1754073599,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.08973045365550679
11,1754073604,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.09396612224877313
12,1754073609,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.09500255973496555
13,1754073614,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.10039141636623512
14,1754073619,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.10192546624435918
15,1754073624,5.0,0.0,5.0,0.0,5.0,0.188457,0.212646,70.0,288.0,0.10862511524365161
16,1754073629,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.11076232323385743
17,1754073634,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.11023992669932886
18,1754073639,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.10915541295823684
19,1754073644,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.11319224188566704
20,1754073649,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.11164135999716412
21,1754073654,5.0,0.0,5.0,0.0,5.0,0.219552,0.197128,70.0,288.0,0.10695396207892123
22,1754073659,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.10822256486491104
23,1754073664,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.10967321312767947
24,1754073669,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.10407695107767594
25,1754073674,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.10039340069346649
26,1754073679,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.10022858786577783
27,1754073684,5.0,0.0,5.0,0.0,5.0,0.222417,0.216596,70.0,288.0,0.09037208055178804
28,1754073689,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.08637809731788725
29,1754073694,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.09056555503538227
30,1754073699,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.0883502604139937
31,1754073704,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.08676608201093575
32,1754073709,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.0853507821313245
33,1754073714,5.0,0.0,5.0,0.0,5.0,0.18639,0.187861,70.0,288.0,0.082150078042328
34,1754073719,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.08855179480525505
35,1754073724,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.08801047897361053
36,1754073729,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.08900880816933916
37,1754073734,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.08955045070174425
38,1754073739,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.09140651922224322
39,1754073744,5.0,0.0,5.0,0.0,5.0,0.206044,0.25226,70.0,288.0,0.09023064256798057
40,1754073749,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.09325545350973409
41,1754073754,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.0907391169604015
42,1754073759,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.08400093748710374
43,1754073764,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.08464221304093376
44,1754073769,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.08281367967156969
45,1754073774,5.0,0.0,5.0,0.0,5.0,0.220215,0.177673,70.0,288.0,0.07802851673108605
46,1754073779,,,,0.0,,,,,,0.07237130065154712
47,1754073784,,,,0.0,,,,,,0.06858963897267982
48,1754073789,,,,,,,,,,0.057552688058306066
49,1754073794,,,,,,,,,,0.04849070497191523
50,1754073799,,,,,,,,,,0.08748513362949446
51,1754073804,,,,,,,,,,0.0851799146666146
52,1754073809,5.0,0.0,5.0,,5.0,0.290855,2.630442,70.0,286.0,0.09950114224469819
53,1754073814,5.0,0.0,5.0,,5.0,0.290855,2.630442,70.0,286.0,0.07449048631529634
54,1754073819,5.0,0.0,5.0,0.0,5.0,0.290855,2.630442,70.0,286.0,0.07388217270847242
55,1754073824,5.0,0.0,5.0,0.0,5.0,0.290855,2.630442,70.0,286.0,0.07550782069941753
56,1754073829,5.0,0.0,5.0,0.0,5.0,0.290855,2.630442,70.0,286.0,0.06023023617048997
57,1754073834,5.0,0.0,5.0,0.0,5.0,0.290855,2.630442,70.0,286.0,0.08374941210106034
58,1754073839,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.08823367774906049
59,1754073844,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.10155974001485601
60,1754073849,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.1081034358664928
61,1754073854,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.1124980503661745
62,1754073859,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.10002920547443872
63,1754073864,5.0,0.0,5.0,0.0,5.0,0.44897,0.700398,70.0,288.0,0.10512371955124625
64,1754073869,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.09991293095099127
65,1754073874,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.08960612171978857
66,1754073879,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.0867099286286233
67,1754073884,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.08523788610027205
68,1754073889,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.07487559771301305
69,1754073894,5.0,0.0,5.0,0.0,5.0,0.423399,0.238035,70.0,288.0,0.07457538556412481
70,1754073899,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.06847032041919235
71,1754073904,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.07542798818006154
72,1754073909,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.07605556017644478
73,1754073914,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.08189747260880657
74,1754073919,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.08312135549998491
75,1754073924,5.0,0.0,5.0,0.0,5.0,0.383507,0.417867,70.0,288.0,0.08801124882493798
76,1754073929,5.0,0.0,5.0,0.0,5.0,0.358542,0.340837,70.0,288.0,0.08632096520327487
77,1754073934,5.0,0.0,5.0,0.0,5.0,0.358542,0.340837,70.0,288.0,0.08813093991245792
78,1754073939,5.0,0.0,5.0,0.0,5.0,0.358542,0.340837,70.0,288.0,0.09208043276547685
79,1754073944,5.0,0.0,5.0,0.0,5.0,0.358542,0.340837,70.0,288.0,0.08244427753746471
80,1754073949,5.0,0.0,5.0,0.0,5.0,0.358542,0.340837,70.0,288.0,0.08503658927775257
