,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1754083308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1754083313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1754083318,1.0,0.0,1.0,0.0,1.0,57.731873,57.731873,70.0,-269.0,
3,1754083323,1.0,0.0,1.0,0.0,1.0,57.731873,57.731873,70.0,-269.0,
4,1754083328,1.0,0.0,1.0,0.6150549987296017,1.0,57.731873,57.731873,70.0,-269.0,0.008939650268931957
5,1754083333,1.0,0.0,1.0,0.6150549987296017,1.0,57.731873,57.731873,70.0,-269.0,0.011746076177466635
6,1754083338,1.0,0.0,1.0,0.6150549987296017,1.0,57.731873,57.731873,70.0,-269.0,0.02410781874706833
7,1754083343,1.0,0.0,1.0,0.6150549987296017,1.0,57.731873,57.731873,70.0,-269.0,0.04161840049873166
8,1754083348,2.0,0.0,2.0,0.6150549987296017,2.0,13.009134,0.890414,70.0,-12.0,0.04881103215962816
9,1754083353,2.0,0.0,2.0,0.6150549987296017,2.0,13.009134,0.890414,70.0,-12.0,0.06297405665458193
10,1754083358,2.0,0.0,2.0,1.3393416242352583,2.0,13.009134,0.890414,70.0,-12.0,0.07106579594121351
11,1754083363,2.0,0.0,2.0,1.3393416242352583,2.0,13.009134,0.890414,70.0,-12.0,0.07853651697624722
12,1754083368,2.0,0.0,2.0,1.3393416242352583,2.0,13.009134,0.890414,70.0,-12.0,0.08759714527211038
13,1754083373,2.0,0.0,2.0,1.3393416242352583,2.0,13.009134,0.890414,70.0,-12.0,0.09638949871485666
14,1754083378,2.0,0.0,2.0,1.3393416242352583,2.0,4.68546,0.456445,70.0,-12.0,0.09693660159298864
15,1754083383,2.0,0.0,2.0,1.3393416242352583,2.0,4.68546,0.456445,70.0,-12.0,0.10071740073868923
16,1754083388,2.0,0.0,2.0,0.49567927458209393,2.0,4.68546,0.456445,70.0,-12.0,0.10012969812579126
17,1754083393,2.0,0.0,2.0,0.49567927458209393,2.0,4.68546,0.456445,70.0,-12.0,0.10217687048093718
18,1754083398,2.0,0.0,2.0,0.49567927458209393,2.0,4.68546,0.456445,70.0,-12.0,0.09309987427665783
19,1754083403,2.0,0.0,2.0,0.49567927458209393,2.0,4.68546,0.456445,70.0,-12.0,0.08427451456986783
20,1754083408,1.0,1.0,1.0,0.49567927458209393,1.0,1.115011,2.121022,70.0,-114.0,0.3642375773866313
21,1754083413,1.0,1.0,1.0,0.49567927458209393,1.0,1.115011,2.121022,70.0,-114.0,0.41195597978086346
22,1754083418,1.0,1.0,1.0,2.1135630549769098,1.0,1.115011,2.121022,70.0,-114.0,0.5514236405194759
23,1754083423,1.0,1.0,1.0,2.1135630549769098,1.0,1.115011,2.121022,70.0,-114.0,0.6153870200904853
24,1754083428,1.0,1.0,1.0,2.1135630549769098,1.0,1.115011,2.121022,70.0,-114.0,0.6637010217069745
25,1754083433,1.0,1.0,1.0,2.1135630549769098,1.0,1.115011,2.121022,70.0,-114.0,0.7890961525550942
26,1754083438,1.0,0.0,1.0,2.1135630549769098,1.0,1.707611,3.101942,70.0,-115.0,0.8813398343411892
27,1754083443,1.0,0.0,1.0,2.1135630549769098,1.0,1.707611,3.101942,70.0,-115.0,0.964106586322965
28,1754083448,1.0,0.0,1.0,4.260084259848866,1.0,1.707611,3.101942,70.0,-115.0,0.9976597884170999
29,1754083453,1.0,0.0,1.0,4.260084259848866,1.0,1.707611,3.101942,70.0,-115.0,0.9993055897368763
30,1754083458,1.0,0.0,1.0,4.260084259848866,1.0,1.707611,3.101942,70.0,-115.0,0.9987208367514355
31,1754083463,1.0,0.0,1.0,4.260084259848866,1.0,1.707611,3.101942,70.0,-115.0,0.9987208367514355
32,1754083468,1.0,0.0,1.0,4.260084259848866,1.0,2.6792,2.407359,70.0,-114.0,0.9986318747490966
33,1754083473,1.0,0.0,1.0,4.260084259848866,1.0,2.6792,2.407359,70.0,-114.0,0.9994119961037013
34,1754083478,1.0,0.0,1.0,1.6819334881933499,1.0,2.6792,2.407359,70.0,-114.0,0.9988343584681195
35,1754083483,1.0,0.0,1.0,1.6819334881933499,1.0,2.6792,2.407359,70.0,-114.0,0.9988343584681195
36,1754083488,1.0,0.0,1.0,1.6819334881933499,1.0,2.6792,2.407359,70.0,-114.0,0.9982791596787007
37,1754083493,1.0,0.0,1.0,1.6819334881933499,1.0,2.6792,2.407359,70.0,-114.0,0.9984551255660766
38,1754083498,1.0,0.0,1.0,1.6819334881933499,1.0,3.143966,4.838098,70.0,-116.0,0.9984551255660766
39,1754083503,1.0,0.0,1.0,1.6819334881933499,1.0,3.143966,4.838098,70.0,-116.0,0.9984551255660766
40,1754083508,1.0,0.0,1.0,3.199015419103957,1.0,3.143966,4.838098,70.0,-116.0,0.9997318635947571
41,1754083513,1.0,0.0,1.0,3.199015419103957,1.0,3.143966,4.838098,70.0,-116.0,0.9997318635947571
42,1754083518,1.0,0.0,1.0,3.199015419103957,1.0,3.143966,4.838098,70.0,-116.0,0.9990518002717389
43,1754083523,1.0,0.0,1.0,3.199015419103957,1.0,3.143966,4.838098,70.0,-116.0,0.9990518002717389
44,1754083528,1.0,0.0,1.0,3.199015419103957,1.0,3.930184,7.411289,70.0,-119.0,0.9987322904312798
45,1754083533,1.0,0.0,1.0,3.199015419103957,1.0,3.930184,7.411289,70.0,-119.0,0.9995576800155633
46,1754083538,1.0,0.0,1.0,5.679555562126676,1.0,3.930184,7.411289,70.0,-119.0,0.9995576800155633
47,1754083543,1.0,0.0,1.0,5.679555562126676,1.0,3.930184,7.411289,70.0,-119.0,0.9994078927463881
48,1754083548,1.0,0.0,1.0,5.679555562126676,1.0,3.930184,7.411289,70.0,-119.0,0.9985807055975093
49,1754083553,1.0,0.0,1.0,5.679555562126676,1.0,3.930184,7.411289,70.0,-119.0,0.9985807055975094
50,1754083558,1.0,0.0,1.0,5.679555562126676,1.0,5.545039,4.945614,70.0,-116.0,0.998939641766976
51,1754083563,1.0,0.0,1.0,5.679555562126676,1.0,5.545039,4.945614,70.0,-116.0,0.998939641766976
52,1754083568,1.0,0.0,1.0,3.411649622824188,1.0,5.545039,4.945614,70.0,-116.0,0.9993763412642872
53,1754083573,1.0,0.0,1.0,3.411649622824188,1.0,5.545039,4.945614,70.0,-116.0,1.0000943277011187
54,1754083578,1.0,0.0,1.0,3.411649622824188,1.0,5.545039,4.945614,70.0,-116.0,1.0000943277011185
55,1754083583,1.0,0.0,1.0,3.411649622824188,1.0,5.545039,4.945614,70.0,-116.0,1.0000943277011185
56,1754083588,1.0,0.0,1.0,3.411649622824188,1.0,5.219531,4.438346,70.0,-116.0,1.0002788264259335
57,1754083593,1.0,0.0,1.0,3.411649622824188,1.0,5.219531,4.438346,70.0,-116.0,1.0002788264259335
58,1754083598,1.0,0.0,1.0,3.6467656049393913,1.0,5.219531,4.438346,70.0,-116.0,0.9999513932726126
59,1754083603,1.0,0.0,1.0,3.6467656049393913,1.0,5.219531,4.438346,70.0,-116.0,0.8564853184023943
60,1754083608,1.0,0.0,1.0,3.6467656049393913,1.0,5.219531,4.438346,70.0,-116.0,1.0000866491458604
61,1754083613,1.0,0.0,1.0,3.6467656049393913,1.0,5.219531,4.438346,70.0,-116.0,0.9998112625985666
62,1754083618,1.0,0.0,1.0,3.6467656049393913,1.0,4.377276,4.507776,70.0,-116.0,0.8596651143544269
63,1754083623,1.0,0.0,1.0,3.6467656049393913,1.0,4.377276,4.507776,70.0,-116.0,0.9990555672158675
64,1754083628,1.0,0.0,1.0,3.7900993411086064,1.0,4.377276,4.507776,70.0,-116.0,0.8191034583254628
65,1754083633,1.0,0.0,1.0,3.7900993411086064,1.0,4.377276,4.507776,70.0,-116.0,0.9999007698505062
66,1754083638,1.0,0.0,1.0,3.7900993411086064,1.0,4.377276,4.507776,70.0,-116.0,0.9999007698505062
67,1754083643,1.0,0.0,1.0,3.7900993411086064,1.0,4.377276,4.507776,70.0,-116.0,0.9986807164877219
