,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1754081445,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.001437698037117814
1,1754081450,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0008146538127090301
2,1754081455,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.002334437587551584
3,1754081460,5.0,0.0,5.0,,5.0,0.056215,0.165433,70.0,288.0,0.004536969155653904
4,1754081465,5.0,0.0,5.0,0.0,5.0,0.056215,0.165433,70.0,288.0,0.01730213274463768
5,1754081470,5.0,0.0,5.0,0.0,5.0,0.056215,0.165433,70.0,288.0,0.020320176905104625
6,1754081475,5.0,0.0,5.0,0.0,5.0,0.056215,0.165433,70.0,288.0,0.03366998669413559
7,1754081480,5.0,0.0,5.0,0.0,5.0,0.056215,0.165433,70.0,288.0,0.04194043724892338
8,1754081485,5.0,0.0,5.0,0.0,5.0,0.056215,0.165433,70.0,288.0,0.05116637461607992
9,1754081490,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.06000413667095278
10,1754081495,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.07231082161653576
11,1754081500,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.08369590294210605
12,1754081505,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.09052646920182551
13,1754081510,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.09893814077347049
14,1754081515,5.0,0.0,5.0,0.0,5.0,0.315747,0.486901,70.0,288.0,0.10328332001630584
15,1754081520,5.0,0.0,5.0,0.0,5.0,0.474859,0.110312,70.0,288.0,0.10154546437281588
16,1754081525,5.0,0.0,5.0,0.0,5.0,0.474859,0.110312,70.0,288.0,0.09355554467927876
17,1754081530,5.0,0.0,5.0,0.0,5.0,0.474859,0.110312,70.0,288.0,0.09391061178317886
18,1754081535,5.0,0.0,5.0,0.0,5.0,0.474859,0.110312,70.0,288.0,0.0856198346674102
