,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1754085047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,,
1,1754085052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,,
2,1754085057,1.0,0.0,0.0,0.0,1.0,1.965301,2.158361,14.0,-214.0,,
3,1754085062,1.0,0.0,0.0,0.0,1.0,1.965301,2.158361,14.0,-214.0,,
4,1754085067,1.0,0.0,0.0,0.021508961085702463,1.0,1.965301,2.158361,14.0,-214.0,,
5,1754085072,1.0,0.0,0.0,0.021508961085702463,1.0,1.965301,2.158361,14.0,-214.0,0.006646850091187501,0.006646850091187501
6,1754085077,1.0,0.0,0.0,0.021508961085702463,1.0,1.965301,2.158361,14.0,-214.0,0.00805853155431678,0.00805853155431678
7,1754085082,1.0,0.0,0.0,0.021508961085702463,1.0,1.965301,2.158361,14.0,-214.0,0.00738140585005007,0.00738140585005007
8,1754085087,1.0,0.0,1.0,0.021508961085702463,1.0,0.830336,0.02137,14.0,-192.0,0.008474516185892258,0.008474516185892258
9,1754085092,1.0,0.0,1.0,0.021508961085702463,1.0,0.830336,0.02137,14.0,-192.0,0.009567626521734448,0.009567626521734448
10,1754085097,1.0,0.0,1.0,0.02394443532699721,1.0,0.830336,0.02137,14.0,-192.0,0.01043752772286045,0.01043752772286045
11,1754085102,1.0,0.0,1.0,0.02394443532699721,1.0,0.830336,0.02137,14.0,-192.0,0.011507282004927717,0.011507282004927717
12,1754085107,1.0,0.0,1.0,0.02394443532699721,1.0,0.830336,0.02137,14.0,-192.0,0.011816154459064325,0.011816154459064325
13,1754085112,1.0,0.0,1.0,0.02394443532699721,1.0,0.830336,0.02137,14.0,-192.0,0.007851255730427763,0.007851255730427763
14,1754085117,1.0,0.0,1.0,0.02394443532699721,1.0,0.247015,0.014317,14.0,-192.0,0.009496529459241324,0.009496529459241324
15,1754085122,1.0,0.0,1.0,0.02394443532699721,1.0,0.247015,0.014317,14.0,-192.0,0.008851402442645344,0.008851402442645344
16,1754085127,1.0,0.0,1.0,0.011928945254051726,1.0,0.247015,0.014317,14.0,-192.0,0.008851402442645344,0.008851402442645344
17,1754085132,1.0,0.0,1.0,0.011928945254051726,1.0,0.247015,0.014317,14.0,-192.0,0.009484538730223958,0.009484538730223958
18,1754085137,1.0,0.0,1.0,0.011928945254051726,1.0,0.247015,0.014317,14.0,-192.0,0.007682212912072234,0.007682212912072234
19,1754085142,1.0,0.0,1.0,0.011928945254051726,1.0,0.247015,0.014317,14.0,-192.0,0.006656513653270434,0.006656513653270434
20,1754085147,1.0,0.0,1.0,0.011928945254051726,1.0,0.023618,0.022853,14.0,-192.0,0.006656513653270434,0.006656513653270434
21,1754085152,1.0,0.0,1.0,0.011928945254051726,1.0,0.023618,0.022853,14.0,-192.0,0.006656513653270434,0.006656513653270434
22,1754085157,1.0,0.0,1.0,0.012874087118906094,1.0,0.023618,0.022853,14.0,-192.0,0.005992569045112174,0.005992569045112174
23,1754085162,1.0,0.0,1.0,0.012874087118906094,1.0,0.023618,0.022853,14.0,-192.0,0.005992569045112174,0.005992569045112174
24,1754085167,1.0,0.0,1.0,0.012874087118906094,1.0,0.023618,0.022853,14.0,-192.0,0.00559901773079164,0.00559901773079164
25,1754085172,1.0,0.0,1.0,0.012874087118906094,1.0,0.023618,0.022853,14.0,-192.0,0.005709258686063606,0.005709258686063606
26,1754085177,1.0,0.0,1.0,0.012874087118906094,1.0,0.017358,0.018252,14.0,-192.0,0.005709258686063606,0.005709258686063606
27,1754085182,1.0,0.0,1.0,0.012874087118906094,1.0,0.017358,0.018252,14.0,-192.0,0.006151517942106393,0.006151517942106393
28,1754085187,1.0,0.0,1.0,0.024442163677994448,1.0,0.017358,0.018252,14.0,-192.0,0.006151517942106393,0.006151517942106393
29,1754085192,1.0,0.0,1.0,0.024442163677994448,1.0,0.017358,0.018252,14.0,-192.0,0.0073564799672935395,0.0073564799672935395
30,1754085197,1.0,0.0,1.0,0.024442163677994448,1.0,0.017358,0.018252,14.0,-192.0,0.0073564799672935395,0.0073564799672935395
31,1754085202,1.0,0.0,1.0,0.024442163677994448,1.0,0.017358,0.018252,14.0,-192.0,0.007803591109478328,0.007803591109478328
32,1754085207,1.0,0.0,1.0,0.024442163677994448,1.0,0.056298,0.174244,14.0,-192.0,0.007803591109478328,0.007803591109478328
33,1754085212,1.0,0.0,1.0,0.024442163677994448,1.0,0.056298,0.174244,14.0,-192.0,0.007321428571428573,0.007321428571428573
34,1754085217,1.0,0.0,1.0,0.008726304982374635,1.0,0.056298,0.174244,14.0,-192.0,0.007875322374762291,0.007875322374762291
35,1754085222,1.0,0.0,1.0,0.008726304982374635,1.0,0.056298,0.174244,14.0,-192.0,0.007875322374762291,0.007875322374762291
36,1754085227,1.0,0.0,1.0,0.008726304982374635,1.0,0.056298,0.174244,14.0,-192.0,0.0076706235749701415,0.0076706235749701415
37,1754085232,1.0,0.0,1.0,0.008726304982374635,1.0,0.056298,0.174244,14.0,-192.0,0.00581362335984138,0.00581362335984138
38,1754085237,1.0,0.0,1.0,0.008726304982374635,1.0,0.090003,0.020579,14.0,-192.0,0.006793930984866003,0.006793930984866003
39,1754085242,1.0,0.0,1.0,0.008726304982374635,1.0,0.090003,0.020579,14.0,-192.0,0.006743669160043634,0.006743669160043634
40,1754085247,1.0,0.0,1.0,0.012751837128798215,1.0,0.090003,0.020579,14.0,-192.0,0.006743669160043634,0.006743669160043634
41,1754085252,1.0,0.0,1.0,0.012751837128798215,1.0,0.090003,0.020579,14.0,-192.0,0.00651463046757164,0.00651463046757164
42,1754085257,1.0,0.0,1.0,0.012751837128798215,1.0,0.090003,0.020579,14.0,-192.0,0.007146855217858066,0.007146855217858066
43,1754085262,1.0,0.0,1.0,0.012751837128798215,1.0,0.090003,0.020579,14.0,-192.0,0.007587119298084432,0.007587119298084432
