,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754084163,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754084168,0.0,0.0,0.0,17.511669019159832,0.0,0.0,0.0,70.0,-211.0,
2,1754084173,0.0,0.0,0.0,17.511669019159832,0.0,0.0,0.0,70.0,-211.0,
3,1754084178,0.0,0.0,0.0,17.511669019159832,0.0,0.0,0.0,70.0,-211.0,0.009047291332997068
4,1754084183,0.0,0.0,0.0,17.511669019159832,0.0,0.0,0.0,70.0,-211.0,0.015476651964770795
5,1754084188,5.0,0.0,5.0,17.511669019159832,5.0,2.971706,0.163522,70.0,288.0,0.01780697251650929
6,1754084193,5.0,0.0,5.0,17.511669019159832,5.0,2.971706,0.163522,70.0,288.0,0.02587709412100681
7,1754084198,5.0,0.0,5.0,0.0,5.0,2.971706,0.163522,70.0,288.0,0.030085683668103998
8,1754084203,5.0,0.0,5.0,0.0,5.0,2.971706,0.163522,70.0,288.0,0.034561883365228904
9,1754084208,5.0,0.0,5.0,0.0,5.0,2.971706,0.163522,70.0,288.0,0.043777882812125885
10,1754084213,5.0,0.0,5.0,0.0,5.0,2.971706,0.163522,70.0,288.0,0.048590795011968106
11,1754084218,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.055140267570074564
12,1754084223,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.061466508527933165
13,1754084228,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.06687573184222896
14,1754084233,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.06186935377870845
15,1754084238,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.0627161162506524
16,1754084243,5.0,0.0,5.0,0.0,5.0,1.409312,0.138213,70.0,288.0,0.06001693950321385
17,1754084248,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.05973584941150695
18,1754084253,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.055971807768435335
19,1754084258,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.056071807630780825
20,1754084263,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.047026545851329274
21,1754084268,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.04566137066570563
22,1754084273,5.0,0.0,5.0,0.0,5.0,0.127908,0.115728,70.0,288.0,0.04873971362957774
23,1754084278,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.04975598417581954
24,1754084283,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.04938124234976537
25,1754084288,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.051427688064715385
26,1754084293,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.052127452889559354
27,1754084298,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.05259904433854426
28,1754084303,5.0,0.0,5.0,0.0,5.0,0.094185,0.081498,70.0,288.0,0.05578983430512586
29,1754084308,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.0539705248249938
30,1754084313,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.06159095428145202
31,1754084318,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.06605646532177993
32,1754084323,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.06663949204986153
33,1754084328,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.06856976720519728
34,1754084333,5.0,0.0,5.0,0.0,5.0,0.125947,0.21239,70.0,288.0,0.07003208945540768
35,1754084338,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.07228873381639937
36,1754084343,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.06837845347306622
37,1754084348,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.06959370542350951
38,1754084353,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.06828231500999435
39,1754084358,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.06855025418239315
40,1754084363,5.0,0.0,5.0,0.0,5.0,0.150471,0.164279,70.0,288.0,0.06891529654950417
41,1754084368,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.06940820567860793
42,1754084373,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.06946467494402717
43,1754084378,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.07226025460091656
44,1754084383,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.07456803039783536
45,1754084388,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.0747281647245463
46,1754084393,5.0,0.0,5.0,0.0,5.0,0.153635,0.150568,70.0,288.0,0.0771425787018857
47,1754084398,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.07853270170618742
48,1754084403,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.08166121657652675
49,1754084408,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.08048191139164486
50,1754084413,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.07852957042165484
51,1754084418,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.07051117214321355
52,1754084423,5.0,0.0,5.0,0.0,5.0,0.202394,0.207491,70.0,288.0,0.07783128509166001
53,1754084428,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.07765774868176634
54,1754084433,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.07286084939376118
55,1754084438,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.06609121165006773
56,1754084443,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.06352971877506007
57,1754084448,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.06330953939513997
58,1754084453,5.0,0.0,5.0,0.0,5.0,0.181178,0.09255,70.0,288.0,0.06316192776342615
59,1754084458,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.056544288364312974
60,1754084463,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.062223944487952675
61,1754084468,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.061771237888465044
62,1754084473,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.0622676778114295
63,1754084478,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.055490085702470694
64,1754084483,5.0,0.0,5.0,0.0,5.0,0.121909,0.127792,70.0,288.0,0.06368506433070228
65,1754084488,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.06185664179168025
66,1754084493,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.0643931870658524
67,1754084498,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.06467577327503084
68,1754084503,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.06561171244066147
69,1754084508,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.06522992390238469
70,1754084513,5.0,0.0,5.0,0.0,5.0,0.122923,0.126969,70.0,288.0,0.0693174352815307
71,1754084518,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.06961095313005104
72,1754084523,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.06982501788273957
73,1754084528,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.0729088024479724
74,1754084533,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.07388974362393114
75,1754084538,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.07501314972461502
76,1754084543,5.0,0.0,5.0,0.0,5.0,0.15106,0.18544,70.0,288.0,0.07621120781654991
