,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754077082,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754077087,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1754077092,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1754077097,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
4,1754077102,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,0.01259555023927265
5,1754077107,5.0,0.0,5.0,,5.0,10.286845,0.578332,70.0,288.0,0.03905592346371207
6,1754077112,5.0,0.0,5.0,,5.0,10.286845,0.578332,70.0,288.0,0.05140237850208586
7,1754077117,5.0,0.0,5.0,0.0,5.0,10.286845,0.578332,70.0,288.0,0.06491380985150505
8,1754077122,5.0,0.0,5.0,0.0,5.0,10.286845,0.578332,70.0,288.0,0.08402859228384885
9,1754077127,5.0,0.0,5.0,0.0,5.0,10.286845,0.578332,70.0,288.0,0.09798387415212671
10,1754077132,5.0,0.0,5.0,0.0,5.0,10.286845,0.578332,70.0,288.0,0.10994159908207778
11,1754077137,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.13107913308126592
12,1754077142,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.1509215384303178
13,1754077147,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.156271823321517
14,1754077152,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.1691668839262488
15,1754077157,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.17143764649754223
16,1754077162,5.0,0.0,5.0,0.0,5.0,4.54566,0.814529,70.0,288.0,0.16862259584104056
17,1754077167,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.16167708497412003
18,1754077172,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.16019518073114128
19,1754077177,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.14233134197866815
20,1754077182,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.14349900663637752
21,1754077187,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.1405464093806103
22,1754077192,5.0,0.0,5.0,0.0,5.0,0.522339,0.375952,70.0,288.0,0.13763196120937823
23,1754077197,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.1368558929075917
24,1754077202,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.13701156905984363
25,1754077207,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.14183162098551266
26,1754077212,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.13921299453137564
27,1754077217,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.14436571299502016
28,1754077222,5.0,0.0,5.0,0.0,5.0,0.327979,0.352993,70.0,288.0,0.15475308478850971
29,1754077227,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.16675586239736317
30,1754077232,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.1746639976075217
31,1754077237,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.18426294624588502
32,1754077242,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.18859550850908627
33,1754077247,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.19797116963740544
34,1754077252,5.0,0.0,5.0,0.0,5.0,0.482285,0.840531,70.0,288.0,0.19684243217630165
35,1754077257,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.19204844774016075
36,1754077262,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.19457959299875605
37,1754077267,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.19000434418541712
38,1754077272,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.20052930872725674
39,1754077277,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.18399346537021605
40,1754077282,5.0,0.0,5.0,0.0,5.0,0.572971,0.485066,70.0,288.0,0.18753275373704759
41,1754077287,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.17559056044370888
42,1754077292,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.18530166812497673
43,1754077297,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.17582969558005707
44,1754077302,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.18453916201619455
45,1754077307,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.17256425139863318
46,1754077312,5.0,0.0,5.0,0.0,5.0,0.558387,0.537353,70.0,288.0,0.2015034615094542
47,1754077317,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.19925608503741055
48,1754077322,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.2096675663684676
49,1754077327,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.2100066456757146
50,1754077332,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.21720845994075375
51,1754077337,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.20943264696511243
52,1754077342,5.0,0.0,5.0,0.0,5.0,0.738491,0.714136,70.0,288.0,0.20382193210438826
53,1754077347,5.0,0.0,5.0,0.0,5.0,0.652804,0.368553,70.0,288.0,0.1947619184733582
