,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754075253,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0015550297160466652
1,1754075258,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0015550297160466652
2,1754075263,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0013291117279666898
3,1754075268,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0013291117279666898
4,1754075273,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.011003086627149142
5,1754075278,5.0,1.0,5.0,,5.0,3.229509,0.213547,70.0,288.0,0.022327315115143947
6,1754075283,5.0,1.0,5.0,,5.0,3.229509,0.213547,70.0,288.0,0.025878851552306792
7,1754075288,5.0,1.0,5.0,0.0,5.0,3.229509,0.213547,70.0,288.0,0.02900061361447134
8,1754075293,5.0,1.0,5.0,0.0,5.0,3.229509,0.213547,70.0,288.0,0.034086709621132784
9,1754075298,5.0,1.0,5.0,0.0,5.0,3.229509,0.213547,70.0,288.0,0.03685756905852629
10,1754075303,5.0,1.0,5.0,0.0,5.0,3.229509,0.213547,70.0,288.0,0.041156452994472445
11,1754075308,5.0,0.0,5.0,0.0,5.0,3.564867,0.389679,70.0,288.0,0.04545996273051726
12,1754075313,5.0,0.0,5.0,0.0,5.0,3.564867,0.389679,70.0,288.0,0.04837199792255882
13,1754075318,5.0,0.0,5.0,0.0,5.0,3.564867,0.389679,70.0,288.0,0.03874233281895298
14,1754075323,5.0,0.0,5.0,0.0,5.0,3.564867,0.389679,70.0,288.0,0.03738909147338174
15,1754075328,5.0,0.0,5.0,0.0,5.0,3.564867,0.389679,70.0,288.0,0.03172533326935734
