,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1754075253,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0010104887175416714
1,1754075258,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0010104887175416714
2,1754075263,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0009360840237554073
3,1754075268,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.000831681490893689
4,1754075273,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.044876946491758114
5,1754075278,5.0,1.0,4.0,,5.0,47.104705,295.079079,70.0,-207.0,0.10824421552559646
6,1754075283,5.0,1.0,4.0,,5.0,47.104705,295.079079,70.0,-207.0,0.19703609633471275
7,1754075288,5.0,1.0,4.0,667.7214266779114,5.0,47.104705,295.079079,70.0,-207.0,0.26612276865714796
8,1754075293,5.0,1.0,4.0,667.7214266779114,5.0,47.104705,295.079079,70.0,-207.0,0.5323068934842498
9,1754075298,5.0,1.0,4.0,667.7214266779114,5.0,47.104705,295.079079,70.0,-207.0,0.80138394588657
10,1754075303,5.0,1.0,4.0,667.7214266779114,5.0,47.104705,295.079079,70.0,-207.0,1.2250374252456422
11,1754075308,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.5365192516540938
12,1754075313,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.7341549930004165
13,1754075318,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.7596921570814184
14,1754075323,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.5585562972222222
15,1754075328,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.5680666186931018
16,1754075333,13.0,0.0,9.0,667.7214266779114,13.0,365.169113,439.105802,70.0,349.0,1.521134163173057
17,1754075338,6.0,7.0,6.0,46.61298927042962,6.0,391.23465,48.603676,70.0,740.0,1.8195974569843947
18,1754075343,6.0,7.0,6.0,46.61298927042962,6.0,391.23465,48.603676,70.0,740.0,1.4440742742449677
19,1754075348,6.0,7.0,6.0,30.0,6.0,391.23465,48.603676,70.0,740.0,1.4335159473724064
20,1754075353,6.0,7.0,6.0,30.0,6.0,391.23465,48.603676,70.0,740.0,1.2601258122351529
21,1754075358,6.0,7.0,6.0,30.0,6.0,391.23465,48.603676,70.0,740.0,1.043534534355741
22,1754075363,6.0,7.0,6.0,30.0,6.0,391.23465,48.603676,70.0,740.0,1.0560715514364634
23,1754075368,2.0,11.0,2.0,30.0,2.0,93.443723,41.568475,70.0,-53.0,0.979091801752299
24,1754075373,2.0,11.0,2.0,30.0,2.0,93.443723,41.568475,70.0,-53.0,0.9865603300651109
25,1754075378,2.0,11.0,2.0,4.830068755581905,2.0,93.443723,41.568475,70.0,-53.0,1.110444774217252
26,1754075383,2.0,11.0,2.0,4.830068755581905,2.0,93.443723,41.568475,70.0,-53.0,1.1192505445619627
27,1754075388,2.0,11.0,2.0,4.830068755581905,2.0,93.443723,41.568475,70.0,-53.0,0.9549399751371812
28,1754075393,2.0,11.0,2.0,4.830068755581905,2.0,93.443723,41.568475,70.0,-53.0,0.7897041054098333
29,1754075398,1.0,1.0,1.0,4.830068755581905,1.0,24.388384,6.587283,70.0,-118.0,0.10016109462714338
30,1754075403,1.0,1.0,1.0,4.830068755581905,1.0,24.388384,6.587283,70.0,-118.0,0.1037000286409914
31,1754075408,1.0,1.0,1.0,3.3742119424015176,1.0,24.388384,6.587283,70.0,-118.0,0.09969580123910315
32,1754075413,1.0,1.0,1.0,3.3742119424015176,1.0,24.388384,6.587283,70.0,-118.0,0.23707310017823893
33,1754075418,1.0,1.0,1.0,3.3742119424015176,1.0,24.388384,6.587283,70.0,-118.0,0.24406181486772466
34,1754075423,1.0,1.0,1.0,3.3742119424015176,1.0,24.388384,6.587283,70.0,-118.0,0.26955087952282025
35,1754075428,1.0,0.0,1.0,3.3742119424015176,1.0,8.702074,15.525955,70.0,-127.0,0.4440776239757819
36,1754075433,1.0,0.0,1.0,3.3742119424015176,1.0,8.702074,15.525955,70.0,-127.0,0.49046003972272867
37,1754075438,1.0,0.0,1.0,13.90458806505368,1.0,8.702074,15.525955,70.0,-127.0,0.6156417379804988
38,1754075443,1.0,0.0,1.0,13.90458806505368,1.0,8.702074,15.525955,70.0,-127.0,0.6761744866664057
39,1754075448,1.0,0.0,1.0,13.90458806505368,1.0,8.702074,15.525955,70.0,-127.0,0.7433519004805017
40,1754075453,1.0,0.0,1.0,13.90458806505368,1.0,8.702074,15.525955,70.0,-127.0,0.6480873820301085
41,1754075458,1.0,0.0,1.0,13.90458806505368,1.0,11.807585,11.662359,70.0,-123.0,0.9514487756933031
42,1754075463,1.0,0.0,1.0,13.90458806505368,1.0,11.807585,11.662359,70.0,-123.0,0.9976695591221116
43,1754075468,1.0,0.0,1.0,26.47863350114285,1.0,11.807585,11.662359,70.0,-123.0,0.9984117052925405
44,1754075473,1.0,0.0,1.0,26.47863350114285,1.0,11.807585,11.662359,70.0,-123.0,0.9989277832791057
45,1754075478,1.0,0.0,1.0,26.47863350114285,1.0,11.807585,11.662359,70.0,-123.0,0.9989277832791057
46,1754075483,1.0,0.0,1.0,26.47863350114285,1.0,11.807585,11.662359,70.0,-123.0,0.9986207993671105
47,1754075488,1.0,0.0,1.0,26.47863350114285,1.0,17.933841,21.766255,70.0,-133.0,0.9983458723227282
48,1754075493,1.0,0.0,1.0,26.47863350114285,1.0,17.933841,21.766255,70.0,-133.0,0.9983458723227282
49,1754075498,1.0,0.0,1.0,11.506499097026007,1.0,17.933841,21.766255,70.0,-133.0,0.8509610085069446
50,1754075503,1.0,0.0,1.0,11.506499097026007,1.0,17.933841,21.766255,70.0,-133.0,0.9996605092592592
51,1754075508,1.0,0.0,1.0,11.506499097026007,1.0,17.933841,21.766255,70.0,-133.0,0.9996605092592592
52,1754075513,1.0,0.0,1.0,11.506499097026007,1.0,17.933841,21.766255,70.0,-133.0,1.0001725538107729
53,1754075518,1.0,0.0,1.0,11.506499097026007,1.0,16.866693,11.444927,70.0,-123.0,0.9999924370537392
54,1754075523,1.0,0.0,1.0,11.506499097026007,1.0,16.866693,11.444927,70.0,-123.0,1.0002061405961635
55,1754075528,1.0,0.0,1.0,9.184126182551621,1.0,16.866693,11.444927,70.0,-123.0,0.8573589778217405
56,1754075533,1.0,0.0,1.0,9.184126182551621,1.0,16.866693,11.444927,70.0,-123.0,1.0010415207911059
57,1754075538,1.0,0.0,1.0,9.184126182551621,1.0,16.866693,11.444927,70.0,-123.0,1.0010415207911059
58,1754075543,1.0,0.0,1.0,9.184126182551621,1.0,16.866693,11.444927,70.0,-123.0,0.8579772386771112
59,1754075548,1.0,0.0,1.0,9.184126182551621,1.0,12.785768,15.575439,70.0,-127.0,0.8263899311706537
60,1754075553,1.0,0.0,1.0,9.184126182551621,1.0,12.785768,15.575439,70.0,-127.0,0.9996358913026429
61,1754075558,1.0,0.0,1.0,17.191351390034537,1.0,12.785768,15.575439,70.0,-127.0,0.9988885746899807
62,1754075563,1.0,0.0,1.0,17.191351390034537,1.0,12.785768,15.575439,70.0,-127.0,0.8615968894798133
63,1754075568,1.0,0.0,1.0,17.191351390034537,1.0,12.785768,15.575439,70.0,-127.0,0.999187484137631
64,1754075573,1.0,0.0,1.0,17.191351390034537,1.0,12.785768,15.575439,70.0,-127.0,0.9987254790792607
65,1754075578,1.0,0.0,1.0,17.191351390034537,1.0,14.400671,13.964866,70.0,-125.0,0.9986574353121597
66,1754075583,1.0,0.0,1.0,17.191351390034537,1.0,14.400671,13.964866,70.0,-125.0,0.9982194705947502
67,1754075588,1.0,0.0,1.0,19.401878819004136,1.0,14.400671,13.964866,70.0,-125.0,0.9982194705947502
68,1754075593,1.0,0.0,1.0,19.401878819004136,1.0,14.400671,13.964866,70.0,-125.0,0.850647929605217
69,1754075598,1.0,0.0,1.0,19.401878819004136,1.0,14.400671,13.964866,70.0,-125.0,0.9992887056108714
70,1754075603,1.0,0.0,1.0,19.401878819004136,1.0,14.400671,13.964866,70.0,-125.0,0.9992887056108714
71,1754075608,1.0,0.0,1.0,19.401878819004136,1.0,18.121633,23.371093,70.0,-135.0,0.9992887056108714
72,1754075613,1.0,0.0,1.0,19.401878819004136,1.0,18.121633,23.371093,70.0,-135.0,0.9992616116924237
73,1754075618,1.0,0.0,1.0,25.743621603507787,1.0,18.121633,23.371093,70.0,-135.0,0.9992616116924237
74,1754075623,1.0,0.0,1.0,25.743621603507787,1.0,18.121633,23.371093,70.0,-135.0,0.9992616116924237
75,1754075628,1.0,0.0,1.0,25.743621603507787,1.0,18.121633,23.371093,70.0,-135.0,0.9995483798694936
76,1754075633,1.0,0.0,1.0,25.743621603507787,1.0,18.121633,23.371093,70.0,-135.0,1.0005786789472688
77,1754075638,1.0,0.0,1.0,25.743621603507787,1.0,20.64071,17.054883,70.0,-129.0,1.001241316057651
78,1754075643,1.0,0.0,1.0,25.743621603507787,1.0,20.64071,17.054883,70.0,-129.0,1.001241316057651
