,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754075253,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0007123002084781097
1,1754075258,1.0,0.0,1.0,18.357860639076158,0.0,0.0,0.0,70.0,-111.0,0.0007123002084781097
2,1754075263,1.0,0.0,1.0,18.357860639076158,0.0,0.0,0.0,70.0,-111.0,0.0005345864093531426
3,1754075268,1.0,0.0,1.0,18.357860639076158,0.0,0.0,0.0,70.0,-111.0,0.006961129058973348
4,1754075273,1.0,0.0,1.0,18.357860639076158,0.0,0.0,0.0,70.0,-111.0,0.01777832094531863
5,1754075278,5.0,1.0,5.0,18.357860639076158,5.0,60.641619,327.81264,70.0,-39.0,0.02403550966843205
6,1754075283,5.0,1.0,5.0,18.357860639076158,5.0,60.641619,327.81264,70.0,-39.0,0.034075680945244775
7,1754075288,5.0,1.0,5.0,270.70882326967023,5.0,60.641619,327.81264,70.0,-39.0,0.039777353478249726
8,1754075293,5.0,1.0,5.0,270.70882326967023,5.0,60.641619,327.81264,70.0,-39.0,0.03891208388171193
9,1754075298,5.0,1.0,5.0,270.70882326967023,5.0,60.641619,327.81264,70.0,-39.0,0.04792893079509753
10,1754075303,5.0,1.0,5.0,270.70882326967023,5.0,60.641619,327.81264,70.0,-39.0,0.05607993831832918
11,1754075308,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.06981217619681118
12,1754075313,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.07115623613093199
13,1754075318,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.07021983890805901
14,1754075323,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.07742338477884092
15,1754075328,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.0734303854106197
16,1754075333,14.0,0.0,14.0,270.70882326967023,14.0,389.296072,439.018949,70.0,749.0,0.07499631943777013
17,1754075338,14.0,0.0,14.0,36.96541719901044,14.0,389.999775,203.862066,70.0,985.0,0.2360619545636012
18,1754075343,14.0,0.0,14.0,36.96541719901044,14.0,389.999775,203.862066,70.0,985.0,0.25742436341964625
19,1754075348,14.0,0.0,14.0,16.0,14.0,389.999775,203.862066,70.0,985.0,0.25520724875116124
20,1754075353,14.0,0.0,14.0,16.0,14.0,389.999775,203.862066,70.0,985.0,0.2204547498867484
21,1754075358,14.0,0.0,14.0,16.0,14.0,389.999775,203.862066,70.0,985.0,0.20239586499618714
22,1754075363,14.0,0.0,14.0,16.0,14.0,389.999775,203.862066,70.0,985.0,0.1656376182085083
23,1754075368,5.0,9.0,5.0,16.0,5.0,83.73706,52.407298,70.0,236.0,0.12722724457928045
24,1754075373,5.0,9.0,5.0,16.0,5.0,83.73706,52.407298,70.0,236.0,0.12781489934195597
25,1754075378,5.0,9.0,5.0,0.0,5.0,83.73706,52.407298,70.0,236.0,0.14508027276576815
26,1754075383,5.0,9.0,5.0,0.0,5.0,83.73706,52.407298,70.0,236.0,0.14767411467574387
27,1754075388,5.0,9.0,5.0,0.0,5.0,83.73706,52.407298,70.0,236.0,0.17157478323468847
28,1754075393,5.0,9.0,5.0,0.0,5.0,83.73706,52.407298,70.0,236.0,0.16546767649285868
29,1754075398,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.17805615317262172
30,1754075403,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.19797496919807772
31,1754075408,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.18685001951917715
32,1754075413,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.20142767358300687
33,1754075418,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.20280228119423738
34,1754075423,5.0,0.0,5.0,0.0,5.0,25.723753,10.338882,70.0,278.0,0.19826552399468805
35,1754075428,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.1885947893805121
36,1754075433,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.20451758793930594
37,1754075438,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.20394637779591226
38,1754075443,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.18992751232002433
39,1754075448,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.18392179289414448
40,1754075453,5.0,0.0,5.0,0.0,5.0,10.343932,17.267307,70.0,271.0,0.1932175642946068
41,1754075458,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.19787880704477837
42,1754075463,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.19321216300594626
43,1754075468,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.20067725039408135
44,1754075473,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.21386486744090083
45,1754075478,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.22099423550701922
46,1754075483,5.0,0.0,5.0,0.0,5.0,14.244423,14.719494,70.0,274.0,0.23695391500535157
47,1754075488,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.23695391500535157
48,1754075493,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.23137927383417034
49,1754075498,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.24502673244332165
50,1754075503,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.24100455929266673
51,1754075508,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.24680999674463389
52,1754075513,5.0,0.0,5.0,0.0,5.0,21.262129,23.931144,70.0,265.0,0.22077306884119952
53,1754075518,5.0,0.0,5.0,0.0,5.0,19.577768,12.50003,70.0,276.0,0.22912653369735925
54,1754075523,5.0,0.0,5.0,0.0,5.0,19.577768,12.50003,70.0,276.0,0.2190505165852695
55,1754075528,5.0,0.0,5.0,0.0,5.0,19.577768,12.50003,70.0,276.0,0.2062749503158688
56,1754075533,5.0,0.0,5.0,0.0,5.0,19.577768,12.50003,70.0,276.0,0.19905021329309502
57,1754075538,5.0,0.0,5.0,0.0,5.0,19.577768,12.50003,70.0,276.0,0.18430665708509308
