,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754142583,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754142588,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1754142593,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1754142598,5.0,0.0,3.0,,5.0,4.22965,0.052874,70.0,88.0,0.00989217410520328
4,1754142603,5.0,0.0,3.0,,5.0,4.22965,0.052874,70.0,88.0,0.018567467567076376
5,1754142608,5.0,0.0,3.0,0.0,5.0,4.22965,0.052874,70.0,88.0,0.023380871240999936
6,1754142613,5.0,0.0,3.0,0.0,5.0,4.22965,0.052874,70.0,88.0,0.027336961628629416
7,1754142618,5.0,0.0,3.0,0.0,5.0,4.22965,0.052874,70.0,88.0,0.034212101939388784
8,1754142623,5.0,0.0,3.0,0.0,5.0,4.22965,0.052874,70.0,88.0,0.037562615317984646
9,1754142628,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.04239796012404861
10,1754142633,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.04676605859653415
11,1754142638,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.0552813777269655
12,1754142643,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.05667128924620181
13,1754142648,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.06198781397722957
14,1754142653,5.0,0.0,5.0,0.0,5.0,1.364422,0.116835,70.0,288.0,0.05927671816171089
15,1754142658,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.05934583614911491
16,1754142663,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.061739822587390546
17,1754142668,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.05938655557814358
18,1754142673,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.057018001968640646
19,1754142678,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.05829490063037645
20,1754142683,5.0,0.0,5.0,0.0,5.0,0.128786,0.10544,70.0,288.0,0.0570139097182768
21,1754142688,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.055609489758483586
22,1754142693,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.05576983280731331
23,1754142698,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.05370365052306843
24,1754142703,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.05149210989263589
25,1754142708,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.0532800245921923
26,1754142713,5.0,0.0,5.0,0.0,5.0,0.117889,0.10078,70.0,288.0,0.05387594659604124
27,1754142718,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05305659949028478
28,1754142723,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05466214962335545
29,1754142728,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05456169496457064
30,1754142733,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05458302118015493
31,1754142738,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05548139297688548
32,1754142743,5.0,0.0,5.0,0.0,5.0,0.096341,0.096201,70.0,288.0,0.05421891214921873
