,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1754149498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
1,1754149503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
2,1754149508,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,-211.0,
3,1754149513,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,-211.0,
4,1754149518,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,-211.0,
5,1754149523,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,-211.0,0.007719150248835804
6,1754149528,1.0,0.0,1.0,4.0,1.0,1.506368,0.017582,14.0,-192.0,0.009405714892822865
7,1754149533,1.0,0.0,1.0,4.0,1.0,1.506368,0.017582,14.0,-192.0,0.011092279536809926
8,1754149538,1.0,0.0,1.0,0.0046979894651009565,1.0,1.506368,0.017582,14.0,-192.0,0.012778844180796988
9,1754149543,1.0,0.0,1.0,0.0046979894651009565,1.0,1.506368,0.017582,14.0,-192.0,0.009714786404028435
10,1754149548,1.0,0.0,1.0,0.0046979894651009565,1.0,1.506368,0.017582,14.0,-192.0,0.010831936877962087
11,1754149553,1.0,0.0,1.0,0.0046979894651009565,1.0,1.506368,0.017582,14.0,-192.0,0.010463438074292253
12,1754149558,1.0,0.0,1.0,0.0046979894651009565,1.0,0.694029,0.015927,14.0,-192.0,0.01143695040865291
13,1754149563,1.0,0.0,1.0,0.0046979894651009565,1.0,0.694029,0.015927,14.0,-192.0,0.0067464013287401575
14,1754149568,1.0,0.0,1.0,0.0024656818981012634,1.0,0.694029,0.015927,14.0,-192.0,0.0067464013287401575
15,1754149573,1.0,0.0,1.0,0.0024656818981012634,1.0,0.694029,0.015927,14.0,-192.0,0.0065459197624907215
16,1754149578,1.0,0.0,1.0,0.0024656818981012634,1.0,0.694029,0.015927,14.0,-192.0,0.0065459197624907215
17,1754149583,1.0,0.0,1.0,0.0024656818981012634,1.0,0.694029,0.015927,14.0,-192.0,0.006608300828863969
18,1754149588,1.0,0.0,1.0,0.0024656818981012634,1.0,0.050013,0.168887,14.0,-192.0,0.0059538043478260866
19,1754149593,1.0,0.0,1.0,0.0024656818981012634,1.0,0.050013,0.168887,14.0,-192.0,0.0059538043478260866
20,1754149598,1.0,0.0,1.0,0.010623284313642891,1.0,0.050013,0.168887,14.0,-192.0,0.0059538043478260866
21,1754149603,1.0,0.0,1.0,0.010623284313642891,1.0,0.050013,0.168887,14.0,-192.0,0.0056084069895319935
22,1754149608,1.0,0.0,1.0,0.010623284313642891,1.0,0.050013,0.168887,14.0,-192.0,0.0056084069895319935
23,1754149613,1.0,0.0,1.0,0.010623284313642891,1.0,0.050013,0.168887,14.0,-192.0,0.004316934450618095
24,1754149618,1.0,0.0,1.0,0.010623284313642891,1.0,0.069623,0.012782,14.0,-192.0,0.0052467451341399254
25,1754149623,1.0,0.0,1.0,0.010623284313642891,1.0,0.069623,0.012782,14.0,-192.0,0.005312282124037291
26,1754149628,1.0,0.0,1.0,0.006192314897767948,1.0,0.069623,0.012782,14.0,-192.0,0.005312282124037291
27,1754149633,1.0,0.0,1.0,0.006192314897767948,1.0,0.069623,0.012782,14.0,-192.0,0.005657302715934254
28,1754149638,1.0,0.0,1.0,0.006192314897767948,1.0,0.069623,0.012782,14.0,-192.0,0.005578710124826628
29,1754149643,1.0,0.0,1.0,0.006192314897767948,1.0,0.069623,0.012782,14.0,-192.0,0.005578710124826628
30,1754149648,1.0,0.0,1.0,0.006192314897767948,1.0,0.068193,0.016276,14.0,-192.0,0.005407896301581637
