,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754147784,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754147789,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754147794,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1754147799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.004623106835426478
4,1754147804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.013751325585778216
5,1754147809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.03930744973063899
6,1754147814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.04403059290180662
7,1754147819,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.053009726721646985
8,1754147824,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.0676823974144645
9,1754147829,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.0771490843527492
10,1754147834,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.08598306572149722
11,1754147839,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.09483932504628367
12,1754147844,5.0,0.0,5.0,0.0,5.0,5.070484,0.175384,70.0,288.0,0.1035760102919595
13,1754147849,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.09775652658766129
14,1754147854,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.10904713916979461
15,1754147859,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.09888885926914327
16,1754147864,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.10238738212021986
17,1754147869,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.09986379394259128
18,1754147874,5.0,0.0,5.0,0.0,5.0,2.5854,0.194716,70.0,288.0,0.10208717466901418
19,1754147879,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.09438707058851405
20,1754147884,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.0930698241109913
21,1754147889,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.0944646621525578
22,1754147894,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.09473236760251662
23,1754147899,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.09113374157956344
24,1754147904,5.0,0.0,5.0,0.0,5.0,0.174938,0.146946,70.0,288.0,0.08937784774526215
25,1754147909,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.09159025330030676
26,1754147914,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.08961339322295621
27,1754147919,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.0873955536841383
28,1754147924,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.0892318516488655
29,1754147929,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.09040776595628527
30,1754147934,5.0,0.0,5.0,0.0,5.0,0.164961,0.122687,70.0,288.0,0.09178500937906496
31,1754147939,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.09271920977453543
32,1754147944,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.09342912125059577
33,1754147949,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.09915262706181185
34,1754147954,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.10263749192209054
35,1754147959,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.10554078606855455
36,1754147964,5.0,0.0,5.0,0.0,5.0,0.175465,0.212287,70.0,288.0,0.10181430423064114
37,1754147969,5.0,0.0,5.0,0.0,5.0,0.195139,0.20193,70.0,288.0,0.10979251055311398
38,1754147974,5.0,0.0,5.0,0.0,5.0,0.195139,0.20193,70.0,288.0,0.11238798782087782
