,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754144268,1.0,0.0,1.0,,0.0,0.0,0.0,160.0,-11.0,0.0006842926829268291
1,1754144273,1.0,0.0,1.0,,0.0,0.0,0.0,160.0,-11.0,0.0006842926829268291
2,1754144278,5.0,0.0,5.0,,5.0,7.048386,78.193493,160.0,710.0,0.00046862222222222215
3,1754144283,5.0,0.0,5.0,,5.0,7.048386,78.193493,160.0,710.0,0.009558255786817009
4,1754144288,5.0,0.0,5.0,0.0,5.0,7.048386,78.193493,160.0,710.0,0.0180346946459997
5,1754144293,5.0,0.0,5.0,0.0,5.0,7.048386,78.193493,160.0,710.0,0.04196832218031367
6,1754144298,5.0,0.0,5.0,0.0,5.0,7.048386,78.193493,160.0,710.0,0.07097709112705725
7,1754144303,5.0,0.0,5.0,0.0,5.0,7.048386,78.193493,160.0,710.0,0.09003553988531016
8,1754144308,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.101500467648742
9,1754144313,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.12087517062539185
10,1754144318,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.14310723031664496
11,1754144323,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.1623942128623352
12,1754144328,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.1774859161294281
13,1754144333,5.0,0.0,5.0,0.0,5.0,11.63375,1.908879,160.0,787.0,0.20347823998593312
14,1754144338,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.22744566719795517
15,1754144343,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.22123865250534588
16,1754144348,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.2230783157029466
17,1754144353,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.2270576762967751
18,1754144358,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.21966955975294647
19,1754144363,5.0,0.0,5.0,0.0,5.0,3.907415,2.420542,160.0,786.0,0.2201509126802047
20,1754144368,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.2201509126802047
21,1754144373,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.21036076330823203
22,1754144378,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.213049960906934
23,1754144383,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.20564495088058712
24,1754144388,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.20429085296509344
25,1754144393,5.0,0.0,5.0,0.0,5.0,1.919756,1.915134,160.0,787.0,0.18032387958304996
26,1754144398,5.0,0.0,5.0,0.0,5.0,1.586847,1.506585,160.0,787.0,0.18887620108792802
27,1754144403,5.0,0.0,5.0,0.0,5.0,1.586847,1.506585,160.0,787.0,0.19126129577892273
28,1754144408,5.0,0.0,5.0,0.0,5.0,1.586847,1.506585,160.0,787.0,0.19457352508188092
29,1754144413,5.0,0.0,5.0,0.0,5.0,1.586847,1.506585,160.0,787.0,0.19605738867855751
30,1754144418,5.0,0.0,5.0,0.0,5.0,1.586847,1.506585,160.0,787.0,0.20223778353721214
