Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1754145107,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145108,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145109,33,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145110,66,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145111,99,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145112,132,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145113,165,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145114,198,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145115,231,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1754145116,264,,Aggregated,2.333333,0.000000,2600,4400,4700,5400,6700,6700,7700,7700,7700,7700,7700,124,0,2600.0,3031.57594355364,28.7648169323802,7674.832625314593,309.4758064516129
1754145117,297,,Aggregated,2.333333,0.000000,2600,4400,4700,5400,6700,6700,7700,7700,7700,7700,7700,124,0,2600.0,3031.57594355364,28.7648169323802,7674.832625314593,309.4758064516129
1754145118,330,,Aggregated,2.333333,0.000000,2600,4400,4700,5400,6700,6700,7700,7700,7700,7700,7700,124,0,2600.0,3031.57594355364,28.7648169323802,7674.832625314593,309.4758064516129
1754145119,363,,Aggregated,28.333333,0.000000,1000,3000,4000,4700,6700,7700,8000,8300,8700,8700,8700,444,0,1000.0,2246.6220048105192,9.999535977840424,8660.755367949605,177.14864864864865
1754145120,396,,Aggregated,28.333333,0.000000,1000,3000,4000,4700,6700,7700,8000,8300,8700,8700,8700,444,0,1000.0,2246.6220048105192,9.999535977840424,8660.755367949605,177.14864864864865
1754145121,429,,Aggregated,28.333333,0.000000,1000,3000,4000,4700,6700,7700,8000,8300,8700,8700,8700,444,0,1000.0,2246.6220048105192,9.999535977840424,8660.755367949605,177.14864864864865
1754145122,462,,Aggregated,50.900000,0.000000,77,120,1600,2600,4700,6700,7800,8000,8700,8700,8700,835,0,77,1218.2855317123724,7.385740056633949,8660.755367949605,186.01676646706588
1754145123,495,,Aggregated,50.900000,0.000000,77,120,1600,2600,4700,6700,7800,8000,8700,8700,8700,835,0,77,1218.2855317123724,7.385740056633949,8660.755367949605,186.01676646706588
1754145124,528,,Aggregated,50.900000,0.000000,77,120,1600,2600,4700,6700,7800,8000,8700,8700,8700,835,0,77,1218.2855317123724,7.385740056633949,8660.755367949605,186.01676646706588
1754145125,561,,Aggregated,91.000000,0.000000,52,100,120,240,3800,5700,7500,7900,8700,8700,8700,1261,0,52,822.3369328362733,7.385740056633949,8660.755367949605,190.85646312450436
1754145126,594,,Aggregated,91.000000,0.000000,52,100,120,240,3800,5700,7500,7900,8700,8700,8700,1261,0,52,822.3369328362733,7.385740056633949,8660.755367949605,190.85646312450436
1754145127,627,,Aggregated,91.000000,0.000000,52,100,120,240,3800,5700,7500,7900,8700,8700,8700,1261,0,52,822.3369328362733,7.385740056633949,8660.755367949605,190.85646312450436
1754145128,660,,Aggregated,127.500000,0.000000,40,79,110,120,2600,4700,6700,7700,8700,8700,8700,1745,0,40,607.882824131317,6.762943230569363,8660.755367949605,192.36905444126074
1754145129,693,,Aggregated,127.500000,0.000000,40,79,110,120,2600,4700,6700,7700,8700,8700,8700,1745,0,40,607.882824131317,6.762943230569363,8660.755367949605,192.36905444126074
1754145130,726,,Aggregated,127.500000,0.000000,40,79,110,120,2600,4700,6700,7700,8700,8700,8700,1745,0,40,607.882824131317,6.762943230569363,8660.755367949605,192.36905444126074
1754145131,748,,Aggregated,144.500000,0.000000,35,67,100,110,650,4000,6700,7700,8400,8700,8700,2330,0,35,468.22199269673536,6.762943230569363,8660.755367949605,194.78454935622318
1754145132,737,,Aggregated,144.500000,0.000000,35,67,100,110,650,4000,6700,7700,8400,8700,8700,2330,0,35,468.22199269673536,6.762943230569363,8660.755367949605,194.78454935622318
1754145133,726,,Aggregated,144.500000,0.000000,35,67,100,110,650,4000,6700,7700,8400,8700,8700,2330,0,35,468.22199269673536,6.762943230569363,8660.755367949605,194.78454935622318
1754145134,715,,Aggregated,165.000000,0.000000,32,56,86,100,250,3000,5700,7300,8400,8700,8700,2860,0,32,387.64806697470743,6.762943230569363,8660.755367949605,197.84405594405595
1754145135,704,,Aggregated,165.000000,0.000000,32,56,86,100,250,3000,5700,7300,8400,8700,8700,2860,0,32,387.64806697470743,6.762943230569363,8660.755367949605,197.84405594405595
1754145136,693,,Aggregated,165.000000,0.000000,32,56,86,100,250,3000,5700,7300,8400,8700,8700,2860,0,32,387.64806697470743,6.762943230569363,8660.755367949605,197.84405594405595
1754145137,682,,Aggregated,177.700000,0.000000,30,48,73,94,130,2600,5700,6900,8300,8700,8700,3385,0,30,332.61187833402323,6.762943230569363,8660.755367949605,197.22097488921713
1754145138,671,,Aggregated,177.700000,0.000000,30,48,73,94,130,2600,5700,6900,8300,8700,8700,3385,0,30,332.61187833402323,6.762943230569363,8660.755367949605,197.22097488921713
1754145139,660,,Aggregated,177.700000,0.000000,30,48,73,94,130,2600,5700,6900,8300,8700,8700,3385,0,30,332.61187833402323,6.762943230569363,8660.755367949605,197.22097488921713
1754145140,649,,Aggregated,177.700000,0.000000,29,42,61,83,120,1800,4700,6700,8300,8700,8700,3872,0,29,294.7773898168552,6.762943230569363,8660.755367949605,194.32877066115702
1754145141,638,,Aggregated,177.700000,0.000000,29,42,61,83,120,1800,4700,6700,8300,8700,8700,3872,0,29,294.7773898168552,6.762943230569363,8660.755367949605,194.32877066115702
1754145142,627,,Aggregated,177.700000,0.000000,29,42,61,83,120,1800,4700,6700,8300,8700,8700,3872,0,29,294.7773898168552,6.762943230569363,8660.755367949605,194.32877066115702
1754145143,616,,Aggregated,170.900000,0.000000,28,39,57,74,120,1300,4700,6700,8300,8700,8700,4356,0,28,265.30877301166703,5.8825574815273285,8660.755367949605,192.73553719008265
1754145144,605,,Aggregated,170.900000,0.000000,28,39,57,74,120,1300,4700,6700,8300,8700,8700,4356,0,28,265.30877301166703,5.8825574815273285,8660.755367949605,192.73553719008265
1754145145,594,,Aggregated,170.900000,0.000000,28,39,57,74,120,1300,4700,6700,8300,8700,8700,4356,0,28,265.30877301166703,5.8825574815273285,8660.755367949605,192.73553719008265
1754145146,587,,Aggregated,165.400000,0.000000,28,38,54,67,120,630,4700,6000,8300,8700,8700,4803,0,28,243.88845369833294,5.8825574815273285,8660.755367949605,191.9970851551114
1754145147,587,,Aggregated,165.400000,0.000000,28,38,54,67,120,630,4700,6000,8300,8700,8700,4803,0,28,243.88845369833294,5.8825574815273285,8660.755367949605,191.9970851551114
1754145148,587,,Aggregated,165.400000,0.000000,28,38,54,67,120,630,4700,6000,8300,8700,8700,4803,0,28,243.88845369833294,5.8825574815273285,8660.755367949605,191.9970851551114
1754145149,597,,Aggregated,157.300000,0.000000,28,36,49,62,110,280,4400,5800,8300,8700,8700,5244,0,28,225.63498625357747,5.8825574815273285,8660.755367949605,193.44660564454614
1754145150,607,,Aggregated,157.300000,0.000000,28,36,49,62,110,280,4400,5800,8300,8700,8700,5244,0,28,225.63498625357747,5.8825574815273285,8660.755367949605,193.44660564454614
1754145151,617,,Aggregated,157.300000,0.000000,28,36,49,62,110,280,4400,5800,8300,8700,8700,5244,0,28,225.63498625357747,5.8825574815273285,8660.755367949605,193.44660564454614
1754145152,627,,Aggregated,151.100000,0.000000,27,35,47,60,110,260,4000,5700,8300,8700,8700,5709,0,27,209.76111057863216,5.8825574815273285,8660.755367949605,194.21247153617097
1754145153,637,,Aggregated,151.100000,0.000000,27,35,47,60,110,260,4000,5700,8300,8700,8700,5709,0,27,209.76111057863216,5.8825574815273285,8660.755367949605,194.21247153617097
1754145154,647,,Aggregated,151.100000,0.000000,27,35,47,60,110,260,4000,5700,8300,8700,8700,5709,0,27,209.76111057863216,5.8825574815273285,8660.755367949605,194.21247153617097
1754145155,657,,Aggregated,149.300000,0.000000,27,35,46,59,110,230,3800,5700,8000,8700,8700,6207,0,27,195.8615034602586,5.8825574815273285,8660.755367949605,193.87095215079748
1754145156,667,,Aggregated,149.300000,0.000000,27,35,46,59,110,230,3800,5700,8000,8700,8700,6207,0,27,195.8615034602586,5.8825574815273285,8660.755367949605,193.87095215079748
1754145157,677,,Aggregated,149.300000,0.000000,27,35,46,59,110,230,3800,5700,8000,8700,8700,6207,0,27,195.8615034602586,5.8825574815273285,8660.755367949605,193.87095215079748
