,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754151289,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754151294,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1754151299,5.0,0.0,3.0,,5.0,11.757831,13.550803,70.0,75.0,
3,1754151304,5.0,0.0,3.0,,5.0,11.757831,13.550803,70.0,75.0,
4,1754151309,5.0,0.0,3.0,0.0,5.0,11.757831,13.550803,70.0,75.0,0.019134300843008756
5,1754151314,5.0,0.0,3.0,0.0,5.0,11.757831,13.550803,70.0,75.0,0.02831753337312505
6,1754151319,5.0,0.0,3.0,0.0,5.0,11.757831,13.550803,70.0,75.0,0.0340351806841866
7,1754151324,5.0,0.0,3.0,0.0,5.0,11.757831,13.550803,70.0,75.0,0.038774948585475616
8,1754151329,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.04457815810125282
9,1754151334,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.04706992012364098
10,1754151339,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.05446185224744583
11,1754151344,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.05993820479023116
12,1754151349,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.06253612910939119
13,1754151354,5.0,0.0,5.0,0.0,5.0,2.359232,0.099595,70.0,288.0,0.0621892436287593
14,1754151359,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.06429189005591626
15,1754151364,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.06407609346644913
16,1754151369,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.06185328625821239
17,1754151374,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.060439336358508275
18,1754151379,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.05745827520949024
19,1754151384,5.0,0.0,5.0,0.0,5.0,0.14037,0.12862,70.0,288.0,0.059040995555334055
20,1754151389,5.0,0.0,5.0,0.0,5.0,0.103687,0.096875,70.0,288.0,0.05687505718881229
21,1754151394,5.0,0.0,5.0,0.0,5.0,0.103687,0.096875,70.0,288.0,0.05380501923772453
