,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754157369,0.0,0.0,0.0,118.0,0.0,-1e-06,0.0,70.0,-211.0,
1,1754157374,0.0,0.0,0.0,118.0,0.0,-1e-06,0.0,70.0,-211.0,0.007104547872223905
2,1754157379,0.0,0.0,0.0,118.0,0.0,-1e-06,0.0,70.0,-211.0,0.024757528262560387
3,1754157384,0.0,0.0,0.0,118.0,0.0,-1e-06,0.0,70.0,-211.0,0.04471745676594153
4,1754157389,5.0,0.0,5.0,118.0,5.0,51.110369,2.728325,70.0,286.0,0.07101227988367768
5,1754157394,5.0,0.0,5.0,118.0,5.0,51.110369,2.728325,70.0,286.0,0.09703740879644332
6,1754157399,5.0,0.0,5.0,0.0,5.0,51.110369,2.728325,70.0,286.0,0.12734638566903295
7,1754157404,5.0,0.0,5.0,0.0,5.0,51.110369,2.728325,70.0,286.0,0.1373240941983947
8,1754157409,5.0,0.0,5.0,0.0,5.0,51.110369,2.728325,70.0,286.0,0.1636787782314243
9,1754157414,5.0,0.0,5.0,0.0,5.0,51.110369,2.728325,70.0,286.0,0.1809230234763044
10,1754157419,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.19812407594353001
11,1754157424,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.2193766826084825
12,1754157429,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.23878478793984906
13,1754157434,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.23093173602095393
14,1754157439,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.23090407604381671
15,1754157444,5.0,0.0,5.0,0.0,5.0,24.033087,2.144446,70.0,286.0,0.21987302812189027
16,1754157449,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.2239376880881252
17,1754157454,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.2402915925426532
18,1754157459,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.24705547874926428
19,1754157464,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.23937468112826943
20,1754157469,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.23645055167294443
21,1754157474,5.0,0.0,5.0,0.0,5.0,1.682626,1.981577,70.0,287.0,0.2321762481354614
22,1754157479,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.19966076242903974
23,1754157484,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.2155603671537039
24,1754157489,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.19563074075354772
25,1754157494,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.18870659071205553
26,1754157499,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.190849400085162
27,1754157504,5.0,0.0,5.0,0.0,5.0,1.667069,1.898122,70.0,287.0,0.1836731555824209
28,1754157509,5.0,0.0,5.0,0.0,5.0,2.325268,4.873728,70.0,284.0,0.18311677903926193
29,1754157514,5.0,0.0,5.0,0.0,5.0,2.325268,4.873728,70.0,284.0,0.1905222612721935
