,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754162791,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
1,1754162796,5.0,0.0,0.0,0.07734450180374636,5.0,1.0,1.0,70.0,-212.0,
2,1754162801,5.0,0.0,0.0,0.07734450180374636,5.0,1.0,1.0,70.0,-212.0,0.011082697762135555
3,1754162806,5.0,0.0,0.0,0.07734450180374636,5.0,1.0,1.0,70.0,-212.0,0.02623616658291051
4,1754162811,5.0,0.0,0.0,0.07734450180374636,5.0,1.0,1.0,70.0,-212.0,0.028866036913931997
5,1754162816,5.0,0.0,5.0,0.07734450180374636,5.0,0.768382,0.062443,70.0,288.0,0.03340864958314249
6,1754162821,5.0,0.0,5.0,0.07734450180374636,5.0,0.768382,0.062443,70.0,288.0,0.03631771731049066
7,1754162826,5.0,0.0,5.0,0.0,5.0,0.768382,0.062443,70.0,288.0,0.03368391794022002
8,1754162831,5.0,0.0,5.0,0.0,5.0,0.768382,0.062443,70.0,288.0,0.04227101181704869
9,1754162836,5.0,0.0,5.0,0.0,5.0,0.768382,0.062443,70.0,288.0,0.046124460584651375
10,1754162841,5.0,0.0,5.0,0.0,5.0,0.768382,0.062443,70.0,288.0,0.05082803219684872
11,1754162846,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.05611505423055021
12,1754162851,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.048309181986049346
13,1754162856,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.047136759203630064
14,1754162861,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.05187746564339666
15,1754162866,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.05110073689839626
16,1754162871,5.0,0.0,5.0,0.0,5.0,0.382271,0.088732,70.0,288.0,0.05375989370028553
17,1754162876,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.05295851807716941
18,1754162881,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.054182514265391335
19,1754162886,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.05276072754666724
20,1754162891,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.05162217300093132
21,1754162896,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.049424534603829416
22,1754162901,5.0,0.0,5.0,0.0,5.0,0.098596,0.110696,70.0,288.0,0.049198389971229016
23,1754162906,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.049969303477035196
24,1754162911,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.04970938976167338
25,1754162916,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.04831489761604216
26,1754162921,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.05146177656782763
27,1754162926,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.04948387545759726
28,1754162931,5.0,0.0,5.0,0.0,5.0,0.089826,0.08185,70.0,288.0,0.055213125704565415
29,1754162936,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.05793768789949039
30,1754162941,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.058118852371180196
31,1754162946,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.060637865210876385
32,1754162951,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.06095297565443395
33,1754162956,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.06021600355788
34,1754162961,5.0,0.0,5.0,0.0,5.0,0.124409,0.136965,70.0,288.0,0.062205234031228226
35,1754162966,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.058888913920018694
36,1754162971,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.05805406011810506
37,1754162976,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.05417085530229137
38,1754162981,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.052429192737492795
39,1754162986,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.05224539597632751
40,1754162991,5.0,0.0,5.0,0.0,5.0,0.128296,0.088315,70.0,288.0,0.05316986035967873
41,1754162996,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.0532320249972387
42,1754163001,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.05203357460293817
43,1754163006,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.056952358995826464
44,1754163011,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.060388826270215634
45,1754163016,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.06355361129492984
46,1754163021,5.0,0.0,5.0,0.0,5.0,0.108924,0.151604,70.0,288.0,0.06117012029083771
47,1754163026,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.0701398379762137
48,1754163031,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.06958221781313066
49,1754163036,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.06955059344722848
50,1754163041,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.07075508009082204
51,1754163046,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.06906681427564683
52,1754163051,5.0,0.0,5.0,0.0,5.0,0.141913,0.136438,70.0,288.0,0.06491658184384856
53,1754163056,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.06817603895666623
54,1754163061,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.06921129810179877
55,1754163066,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.05778361935783683
56,1754163071,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.06612723377057084
57,1754163076,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.0686187042600422
58,1754163081,5.0,0.0,5.0,0.0,5.0,0.150367,0.145902,70.0,288.0,0.06704770413491308
59,1754163086,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.06769157576487816
60,1754163091,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.0681572035987727
61,1754163096,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.07005479462937435
62,1754163101,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.07198190729931397
63,1754163106,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.07082795018637283
64,1754163111,5.0,0.0,5.0,0.0,5.0,0.139595,0.142809,70.0,288.0,0.0642313273131205
65,1754163116,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.06892239678026682
66,1754163121,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.06748742541524598
67,1754163126,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.07124759734029829
68,1754163131,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.06939574998770562
69,1754163136,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.07153081989284382
70,1754163141,5.0,0.0,5.0,0.0,5.0,0.145835,0.169767,70.0,288.0,0.07158754283555173
71,1754163146,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07044913317515686
72,1754163151,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07149465244650374
73,1754163156,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07690760233496885
74,1754163161,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07678023208663246
75,1754163166,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07714348413043134
76,1754163171,5.0,0.0,5.0,0.0,5.0,0.161629,0.153748,70.0,288.0,0.07714348413043134
77,1754163176,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.07631508823172514
78,1754163181,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.07705680060447129
79,1754163186,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.08096714939822988
80,1754163191,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.08138361488621049
81,1754163196,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.08117256406886449
82,1754163201,5.0,0.0,5.0,0.0,5.0,0.180193,0.264199,70.0,288.0,0.08638012212183534
83,1754163206,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.08449010813386837
84,1754163211,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.08756314401311573
85,1754163216,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.0865510576314565
86,1754163221,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.08636005324846541
87,1754163226,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.07928312026313065
88,1754163231,5.0,0.0,5.0,0.0,5.0,0.246015,0.189944,70.0,288.0,0.08341551577044476
89,1754163236,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.08220850912653309
90,1754163241,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.07651801383562712
91,1754163246,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.07753301965552725
92,1754163251,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.07153021488841224
93,1754163256,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.07483169063976826
94,1754163261,5.0,0.0,5.0,0.0,5.0,0.234999,0.1652,70.0,288.0,0.07604724596910611
95,1754163266,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.07279486957460796
96,1754163271,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.07591330199588395
97,1754163276,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.0767328005995094
98,1754163281,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.07783723691041852
99,1754163286,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.0785694322316914
100,1754163291,5.0,0.0,5.0,0.0,5.0,0.172186,0.188066,70.0,288.0,0.07703145851396234
101,1754163296,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.07713467033255259
102,1754163301,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.08394379379948289
103,1754163306,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.08645215463709709
104,1754163311,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.08822067145247052
105,1754163316,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.08728197958379538
106,1754163321,5.0,0.0,5.0,0.0,5.0,0.187706,0.225262,70.0,288.0,0.0873541864204495
107,1754163326,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08835007371785095
108,1754163331,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08903888786075083
109,1754163336,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08542653334883266
110,1754163341,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08155576287221411
111,1754163346,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08645501853457997
112,1754163351,5.0,0.0,5.0,0.0,5.0,0.214782,0.167245,70.0,288.0,0.08391167443947553
113,1754163356,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.08565766926576268
114,1754163361,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.08606166868385894
115,1754163366,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.08352363258303377
116,1754163371,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.0837658309384608
117,1754163376,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.08676820240621047
118,1754163381,5.0,0.0,5.0,0.0,5.0,0.238969,0.229508,70.0,288.0,0.0858956590416193
119,1754163386,5.0,0.0,5.0,0.0,5.0,0.234487,0.252023,70.0,288.0,0.08356611148859948
120,1754163391,5.0,0.0,5.0,0.0,5.0,0.234487,0.252023,70.0,288.0,0.08182742337244003
