,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754162791,5.0,0.0,1.0,,5.0,0.115468,1.154687,70.0,-113.0,0.0006157650973515438
1,1754162796,5.0,0.0,1.0,0.0,5.0,0.115468,1.154687,70.0,-113.0,0.0006157650973515438
2,1754162801,5.0,0.0,1.0,0.0,5.0,0.115468,1.154687,70.0,-113.0,0.00840996839823621
3,1754162806,5.0,0.0,1.0,0.0,5.0,0.115468,1.154687,70.0,-113.0,0.01779253290854883
4,1754162811,5.0,0.0,1.0,0.0,5.0,0.115468,1.154687,70.0,-113.0,0.019932269754887995
5,1754162816,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.035585373153829744
6,1754162821,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.046577195009504094
7,1754162826,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.0601735084031804
8,1754162831,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.07510181280071469
9,1754162836,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.09635390176763801
10,1754162841,5.0,0.0,5.0,0.0,5.0,0.914628,0.898919,70.0,288.0,0.10094089949595278
11,1754162846,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.1369676864664404
12,1754162851,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.15545616496828396
13,1754162856,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.16498449049732408
14,1754162861,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.17087495731419233
15,1754162866,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.17806988029723422
16,1754162871,5.0,0.0,5.0,0.0,5.0,1.78421,2.481014,70.0,286.0,0.18409843106368617
17,1754162876,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.17862881925652613
18,1754162881,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.1896126209155024
19,1754162886,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.1743734870434972
20,1754162891,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.1808851451874692
21,1754162896,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.1843459279709725
22,1754162901,5.0,0.0,5.0,0.0,5.0,3.18992,4.973822,70.0,284.0,0.1853206577783264
23,1754162906,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.1955128260418875
24,1754162911,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.19526483408071377
25,1754162916,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.19333826582112304
26,1754162921,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.18607737600307725
27,1754162926,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.19519948864641765
28,1754162931,5.0,0.0,5.0,0.0,5.0,4.42913,3.943838,70.0,285.0,0.19949535860733006
29,1754162936,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.20942144981368366
30,1754162941,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.20880349108793536
31,1754162946,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.2208896339179417
32,1754162951,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.21319489352409157
33,1754162956,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.2225965462439155
34,1754162961,5.0,0.0,5.0,0.0,5.0,5.845321,6.59524,70.0,282.0,0.22766451325688528
35,1754162966,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.22301306415473895
36,1754162971,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.21955705250789295
37,1754162976,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.2058078430864419
38,1754162981,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.19544876367240568
39,1754162986,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.19382770581688308
40,1754162991,5.0,0.0,5.0,0.0,5.0,5.821061,3.43605,70.0,285.0,0.1960400437477869
41,1754162996,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.17556137140837957
42,1754163001,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.1902350505366628
43,1754163006,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.20729819551838535
44,1754163011,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.20947730369511813
45,1754163016,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.21794377439710252
46,1754163021,5.0,0.0,5.0,0.0,5.0,5.790813,8.829011,70.0,280.0,0.22343622076338357
47,1754163026,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.24236004950941453
48,1754163031,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.2479207637676154
49,1754163036,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.2441385112272367
50,1754163041,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.24227844116947014
51,1754163046,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.24259373227047476
52,1754163051,5.0,0.0,5.0,0.0,5.0,8.45957,7.227615,70.0,281.0,0.2430947293754433
53,1754163056,5.0,0.0,5.0,0.0,5.0,9.169905,9.232234,70.0,279.0,0.2418654232686685
54,1754163061,5.0,0.0,5.0,0.0,5.0,9.169905,9.232234,70.0,279.0,0.23580354465027295
