,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754160227,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754160232,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754160237,5.0,0.0,5.0,,5.0,6.074518,0.141784,70.0,288.0,
3,1754160242,5.0,0.0,5.0,,5.0,6.074518,0.141784,70.0,288.0,0.005349276986731203
4,1754160247,5.0,0.0,5.0,0.0,5.0,6.074518,0.141784,70.0,288.0,0.021215998346912613
5,1754160252,5.0,0.0,5.0,0.0,5.0,6.074518,0.141784,70.0,288.0,0.024485691375297054
6,1754160257,5.0,0.0,5.0,0.0,5.0,6.074518,0.141784,70.0,288.0,0.03610793092395667
7,1754160262,5.0,0.0,5.0,0.0,5.0,6.074518,0.141784,70.0,288.0,0.04482141770779732
8,1754160267,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.05422112899745013
9,1754160272,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.061456575658905326
10,1754160277,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.08384132455798515
11,1754160282,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.0917735315933746
12,1754160287,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.10622247038163754
13,1754160292,5.0,0.0,5.0,0.0,5.0,1.792339,0.306467,70.0,288.0,0.1208982229371152
14,1754160297,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.12389007832388672
15,1754160302,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.12989647773169608
16,1754160307,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.1343680094777447
17,1754160312,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.1343680094777447
18,1754160317,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.12003883327840693
19,1754160322,5.0,0.0,5.0,0.0,5.0,0.27774,0.297151,70.0,288.0,0.13657561431226853
20,1754160327,5.0,0.0,5.0,0.0,5.0,0.342314,0.342581,70.0,288.0,0.1326121202576636
21,1754160332,5.0,0.0,5.0,0.0,5.0,0.342314,0.342581,70.0,288.0,0.12845238539800793
